case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,evidence_fields,red_flag_fields,price_validation_status,production_input,notes
low_birthrate_kids_education_counterexample,EDUCATION_SPECIALTY_SERVICES,KIDS_BIRTHRATE,키즈교육_저출산,KR,failed_rerating,EDUCATION_SPECIALTY_SERVICES,WATCH_YELLOW_FIRST,kids_education,birthrate_decline|offline_fixed_cost,needs_price_backfill,false,Kids education is structurally exposed to low birthrate.
education_regulation_4c,EDUCATION_SPECIALTY_SERVICES,EDU_REG_4C,사교육규제,KR,4c_thesis_break,EDUCATION_SPECIALTY_SERVICES,WATCH_YELLOW_FIRST,private_education_revenue,regulation|price_cut,needs_price_backfill,false,Regulatory pressure can break education pricing.
convenience_store_pb_efficiency_candidate,RETAIL_ECOMMERCE_LOGISTICS,CONV_PB,편의점_PB효율,KR,success_candidate,RETAIL_DOMESTIC_CONSUMER,WATCH_YELLOW_FIRST,same_store_sales|pb_mix|opm_improvement,rent_labor_pressure|competition,needs_price_backfill,false,Convenience store candidate needs per-store economics.
cold_chain_recurring_logistics_candidate,RETAIL_ECOMMERCE_LOGISTICS,COLD_CHAIN,콜드체인반복물류,KR,success_candidate,RETAIL_DOMESTIC_CONSUMER,WATCH_YELLOW_FIRST,cold_chain_contracts|repeat_logistics_revenue,logistics_cost_up|customer_loss,needs_price_backfill,false,Cold-chain can be structural if contracts repeat and margins hold.
ecommerce_fresh_loss_counterexample,RETAIL_ECOMMERCE_LOGISTICS,FRESH_LOSS,신선식품이커머스적자,KR,failed_rerating,RETAIL_DOMESTIC_CONSUMER,WATCH_YELLOW_FIRST,ecommerce_sales_growth,fresh_delivery_loss|logistics_cost_up,needs_price_backfill,false,Fresh e-commerce sales growth without FCF is not structural.
home_shopping_structural_decline_counterexample,RETAIL_ECOMMERCE_LOGISTICS,HOMESHOP_DECLINE,홈쇼핑구조둔화,KR,failed_rerating,RETAIL_DOMESTIC_CONSUMER,WATCH_YELLOW_FIRST,home_shopping_revenue,channel_decline|competition,needs_price_backfill,false,Home-shopping structural decline should cap Green.
cement_price_hike_candidate,BUILDING_MATERIALS_REIT,CEMENT_PRICE,시멘트가격인상,KR,success_candidate,CONSTRUCTION_REAL_ESTATE_CREDIT,WATCH_YELLOW_FIRST,price_hike|cost_stability,volume_decline|pf_stress,needs_price_backfill,false,Price hike needs shipment and cost support.
reit_rate_cut_dividend_candidate,BUILDING_MATERIALS_REIT,REIT_DIV,리츠금리하락배당,KR,success_candidate,CONSTRUCTION_REAL_ESTATE_CREDIT,WATCH_YELLOW_FIRST,rate_down|dividend_coverage|occupancy,refinancing_stress|vacancy_up,needs_price_backfill,false,REIT candidate needs occupancy and dividend coverage.
pf_delinquency_building_materials_4c,BUILDING_MATERIALS_REIT,PF_MATERIALS_4C,PF연체_건자재,KR,4c_thesis_break,CONSTRUCTION_REAL_ESTATE_CREDIT,WATCH_YELLOW_FIRST,building_materials_exposure,pf_stress|housing_starts_down,needs_price_backfill,false,PF delinquency can overwhelm material price hikes.
vacancy_dividend_cut_reit_4c,BUILDING_MATERIALS_REIT,REIT_VACANCY_4C,리츠공실배당삭감,KR,4c_thesis_break,CONSTRUCTION_REAL_ESTATE_CREDIT,WATCH_YELLOW_FIRST,reit_income,vacancy_up|dividend_cut,needs_price_backfill,false,Vacancy plus dividend cut is hard REIT risk.
douzone_bizon_cloud_erp_candidate,CLOUD_AI_SOFTWARE_INFRA,012510,더존비즈온,KR,success_candidate,PLATFORM_SOFTWARE_INTERNET,GREEN_POSSIBLE,cloud_erp|recurring_revenue|smb_lock_in,ai_cost_overrun|churn,needs_price_backfill,false,Cloud ERP case needs margin/FCF backfill.
ai_feature_no_fcf_counterexample,CLOUD_AI_SOFTWARE_INFRA,AI_SW_NO_FCF,AI기능_무현금흐름,KR,failed_rerating,PLATFORM_SOFTWARE_INTERNET,GREEN_POSSIBLE,ai_feature_launch,no_paid_usage|no_fcf,needs_price_backfill,false,AI feature without paid usage is not score evidence.
cloud_cost_margin_pressure_4c,CLOUD_AI_SOFTWARE_INFRA,CLOUD_MARGIN_4C,클라우드비용_마진압박,KR,4c_thesis_break,PLATFORM_SOFTWARE_INTERNET,GREEN_POSSIBLE,cloud_growth,ai_cost_overrun|opm_decline,needs_price_backfill,false,Cloud growth can break if costs destroy margin.
saas_churn_counterexample,CLOUD_AI_SOFTWARE_INFRA,SAAS_CHURN,SaaS_Churn,US,failed_rerating,PLATFORM_SOFTWARE_INTERNET,GREEN_POSSIBLE,subscription_revenue,churn|retention_down,needs_price_backfill,false,Subscription label needs retention evidence.
icon_global_cro_scale_candidate,CRO_CLINICAL_SERVICE,ICLR,ICON,US,success_candidate,CDMO_HEALTHCARE_CONTRACT,WATCH_YELLOW_FIRST,global_cro_scale|clinical_service_revenue,funding_cycle|customer_concentration,needs_price_backfill,false,Global CRO scale candidate.
medpace_growth_cro_candidate,CRO_CLINICAL_SERVICE,MEDP,Medpace,US,success_candidate,CDMO_HEALTHCARE_CONTRACT,WATCH_YELLOW_FIRST,cro_revenue_growth|net_income_growth,customer_concentration|funding_cycle,needs_price_backfill,false,Medpace is growth-CRO reference.
biotech_funding_crunch_4c,CRO_CLINICAL_SERVICE,CRO_FUNDING_4C,바이오펀딩크런치,US,4c_thesis_break,CDMO_HEALTHCARE_CONTRACT,WATCH_YELLOW_FIRST,clinical_service_exposure,biotech_funding_cycle_down|order_cancellation,needs_price_backfill,false,Funding crunch can break CRO demand.
customer_budget_cut_cro_counterexample,CRO_CLINICAL_SERVICE,CRO_BUDGET_CUT,CRO고객예산축소,US,failed_rerating,CDMO_HEALTHCARE_CONTRACT,WATCH_YELLOW_FIRST,clinical_volume,customer_budget_cut|volume_without_margin,needs_price_backfill,false,Clinical volume without margin is insufficient.
kfashion_global_channel_candidate,APPAREL_BRAND_OEM,KFASHION_CHANNEL,K패션글로벌채널,KR,success_candidate,EXPORT_RECURRING_CONSUMER,WATCH_YELLOW_FIRST,global_channel_expansion|repeat_brand_purchase,inventory_build|markdown,needs_price_backfill,false,K-fashion candidate requires repeat channels and inventory control.
apparel_oem_customer_diversification_candidate,APPAREL_BRAND_OEM,APPAREL_OEM,의류OEM고객다변화,KR,success_candidate,EXPORT_RECURRING_CONSUMER,WATCH_YELLOW_FIRST,order_visibility|customer_diversification|opm_improvement,order_slowdown|margin_squeeze,needs_price_backfill,false,OEM candidate needs diversified customers and margin.
inventory_markdown_4c,APPAREL_BRAND_OEM,APPAREL_MARKDOWN_4C,의류재고할인4C,KR,4c_thesis_break,EXPORT_RECURRING_CONSUMER,WATCH_YELLOW_FIRST,brand_sales,inventory_increase|discount_sales,needs_price_backfill,false,Inventory and markdown can break apparel thesis.
fashion_cycle_single_brand_counterexample,APPAREL_BRAND_OEM,FASHION_FAD,단일브랜드유행,KR,failed_rerating,EXPORT_RECURRING_CONSUMER,WATCH_YELLOW_FIRST,single_brand_hype,single_fad_brand|channel_concentration,needs_price_backfill,false,Single brand fad remains Watch.
sk_hynix_hbm_success_case,MEMORY_HBM_CAPACITY,000660,SK하이닉스 HBM,KR,structural_success,MEMORY_HBM_CAPACITY,GREEN_POSSIBLE,hbm_demand|supply_discipline|medium_term_revision,capex_reversal|memory_price_down,needs_price_backfill,false,HBM structural success candidate; exact price path must be source-filled.
sk_hynix_4b_crowding_watch,MEMORY_HBM_CAPACITY,000660,SK하이닉스 4B crowding,KR,4b_watch,MEMORY_HBM_CAPACITY,GREEN_POSSIBLE,one_to_two_year_price_surge|global_crowding,capex_reversal|revision_slowdown,needs_price_backfill,false,Successful HBM rerating needs 4B-watch after large price move.
simple_dram_rebound_counterexample,MEMORY_HBM_CAPACITY,DRAM_REBOUND,단순DRAM반등,KR,failed_rerating,MEMORY_HBM_CAPACITY,GREEN_POSSIBLE,memory_price_rebound,no_medium_term_revision|cycle_only,needs_price_backfill,false,Simple DRAM rebound is cyclical unless medium-term evidence exists.
ai_capex_cut_memory_4c,MEMORY_HBM_CAPACITY,MEMORY_CAPEX_4C,AI_CAPEX둔화_메모리,KR,4c_thesis_break,MEMORY_HBM_CAPACITY,GREEN_POSSIBLE,hbm_exposure,customer_ai_capex_slowdown|memory_price_down,needs_price_backfill,false,Customer AI CAPEX slowdown is a hard memory risk.
sk_square_nav_discount_candidate,VALUE_UP_SHAREHOLDER_RETURN,402340,SK스퀘어,KR,success_candidate,VALUE_UP_SHAREHOLDER_RETURN,GREEN_POSSIBLE,nav_discount|buyback_cancellation|subsidiary_value,subsidiary_value_damage|execution_risk,needs_price_backfill,false,Value-up candidate needs execution and NAV logic.
financial_valueup_pbr_roe_candidate,VALUE_UP_SHAREHOLDER_RETURN,FIN_VALUEUP,금융Value-up,KR,success_candidate,VALUE_UP_SHAREHOLDER_RETURN,GREEN_POSSIBLE,pbr_roe_gap|shareholder_return|roe_improvement,credit_cost_up|return_retreat,needs_price_backfill,false,Financial value-up needs ROE and return execution.
buyback_no_cancel_counterexample,VALUE_UP_SHAREHOLDER_RETURN,BUYBACK_NO_CANCEL,자사주미소각,KR,failed_rerating,VALUE_UP_SHAREHOLDER_RETURN,GREEN_POSSIBLE,buyback_announcement,buyback_no_cancel|policy_headline_only,needs_price_backfill,false,Buyback without cancellation can be value trap.
low_roe_value_trap_counterexample,VALUE_UP_SHAREHOLDER_RETURN,LOW_ROE_TRAP,저ROE저PBR함정,KR,failed_rerating,VALUE_UP_SHAREHOLDER_RETURN,GREEN_POSSIBLE,low_pbr,low_roe_value_trap|no_return_execution,needs_price_backfill,false,Low PBR without ROE/return improvement is not Green.
