target_id,stage1,stage2,stage3,stage4b,stage4c,loop9_penalty_axes,gate_only,production_scoring_changed
RARE_EARTH_MAGNET_SUPPLY_CHAIN,rare_earth_magnet_supply_chain|ndfeb_magnet|domestic_magnet_production|china_export_control,apple_prepayment|dod_customer|magnet_production_schedule|recycled_feedstock|offtake_contract,magnet_ramp_up|customer_qualification|revenue_recognized|fcf_conversion,magnet_supply_chain_premium_crowded|policy_premium_overgeneralized,magnet_ramp_delay|customer_qualification_failure|feedstock_shortage|policy_support_change,magnet_ramp|customer_qualification|feedstock|policy_support,false,false
RARE_METALS_EXPORT_CONTROL_EVENT,rare_earth_export_control|export_license_delay|yttrium_export_delay|dysprosium_shortage|terbium_shortage,company_supply_contract|production_capacity|customer_offtake|strategic_supply_chain,price_floor|offtake_contract|production_ramp_up|fcf_conversion,rare_earth_export_control_rally_crowded|price_spike_overgeneralized|no_production_capacity_rally,export_control_relief|truce_extension|price_normalization|production_capacity_absent,export_control_relief|price_spike|no_production_capacity|policy_truce,false,false
RARE_EARTH_CAPITAL_RAISE_DILUTION,rare_earth_contract_after_rally|strategic_resource_capex|government_support,capital_raise_risk_detected,not_applicable_gate_only,rare_earth_rally_after_price_floor|valuation_moved_before_production,common_stock_offering|share_dilution|capex_funding_gap|policy_dependency,capital_raise|dilution|capex|valuation_runup,true,false
LITHIUM_ESS_DEMAND_CYCLE,lithium_price_rebound|mine_shutdown|ev_or_ess_demand|capex_cut,low_cost_mine|offtake_contract|fcf_defense|capex_discipline,durable_fcf|restart_supply_risk_controlled|low_cost_position|price_defense,lithium_rebound_crowded|mine_restart_ignored|sodium_ion_ignored,lithium_price_crash|mine_restart_supply_rebound|ev_demand_slowdown|sodium_ion_substitution,lithium_price|mine_restart|ev_demand|sodium_ion,false,false
PRECIOUS_METALS_SAFE_HAVEN_MINERS,gold_silver_price|safe_haven_demand|real_rate_drop|mine_output,realized_gold_price|aisc_control|fcf_improvement|buyback_or_dividend,cost_control|capital_return|production_stable|jurisdiction_risk_controlled,record_gold_price_crowded|miner_group_overheat|safe_haven_narrative_crowded,gold_price_correction|aisc_rise|production_drop|jurisdiction_risk,gold_price|aisc|production|jurisdiction,false,false
GOLD_MINER_JURISDICTION_RERATING,jurisdiction_safety_premium|gold_mna|canada_us_assets|safe_haven_gold,safe_jurisdiction_assets|mna_synergy|production_profile|aisc_control,fcf_conversion|reserve_replacement|capital_return|jurisdiction_discount_narrows,jurisdiction_safety_premium_crowded|gold_mna_premium_full,mna_dilution|integration_failure|production_miss|gold_price_reversal,mna_dilution|integration|gold_price|production,false,false
GENERAL_TRADING_RESOURCE_INFRA,resource_rights|energy_contract|buyback_dividend|conglomerate_discount_rerating,long_term_offtake|project_stake|fcf|capital_return|valuation_discount,resource_infra_fcf_frame|capital_allocation_execution|valuation_discount_narrows,sogo_shosha_story_crowded|resource_infra_rerating_full,commodity_price_drop|project_delay|capital_allocation_retreat|fx_hit,commodity|fx|conglomerate_discount|project_delay,false,false
LNG_ENERGY_TRADING_DISTRIBUTION,lng_long_term_contract|energy_security|lpg_distribution|project_news,long_term_contract|fid_status|project_equity_investment|margin_visible,repeat_fcf|project_stake|energy_security_value|margin_visible,lng_contract_story_crowded|energy_security_premium_full,fid_delay|financing_delay|lng_price_reversal|project_delay,fid|lng_price|project_financing|margin,false,false
PAPER_PACKAGING_CYCLE,paper_price|corrugated_spread|packaging_mna|plastic_replacement,volume_recovery|price_cost_spread|mna_synergy|cash_return,durable_spread|scale_economics|cash_return|fcf_stable,packaging_mna_premium_crowded|consolidation_narrative_overpriced,low_volume|price_pressure|competition_remedy|plant_divestment|mature_industry_limit,cost|competition|mature_industry|regulatory_remedy,false,false
PACKAGING_CONSOLIDATION_REMEDY,packaging_mna|consolidation|scale_economics_claim,competition_remedy|plant_divestment|mna_synergy|cash_return,synergy_realization|fcf_stable|regulatory_remedy_completed|cash_return,mna_premium_crowded|consolidation_synergy_overpriced,plant_divestment|regulatory_remedy_delay|synergy_shortfall|mature_industry_limit,regulatory_remedy|plant_divestment|synergy|mature_industry,false,false
ADVANCED_MATERIAL_SPECULATIVE_THEME,graphene_mxene_ferrite_superconductor_theme|paper_or_preprint|sns_theme,commercial_contract|qualified_customer|revenue_conversion,commercial_revenue|repeat_customer|fcf_path,speculative_material_theme_overheat|paper_only_price_run,no_commercialization|paper_only|no_revenue|dilution,commercialization|customer_validation|revenue|dilution,false,false
SPECULATIVE_SCIENCE_THEME,paper_or_preprint|sns_science_theme|lab_result,independent_replication|commercial_customer|revenue_path,commercial_revenue|repeat_customer|fcf_path,science_theme_overheat|retail_crowding,replication_failure|commercial_product_absent|no_customer|dilution,replication|commercial_product|customer|revenue,false,false
EVENT_PREMIUM_GOVERNANCE_OVERLAY,tender_offer|hostile_takeover|governance_battle|event_day_price_reaction,event_premium_detected,not_applicable_gate_only,not_applicable_gate_only,event_premium_misclassified_as_structural|capital_structure_risk|governance_dispute,event_premium|governance|capital_structure|hostile_takeover,true,false
COMMODITY_PRICE_4C_OVERLAY,commodity_price_breakout_or_crash|spread_reversal|supply_restart|dividend_change,commodity_4c_risk_detected,not_applicable_gate_only,not_applicable_gate_only,price_crash|supply_restart|dividend_cut|capex_cut|demand_destruction,commodity_price|supply_restart|dividend|capex,true,false
DISCLOSURE_CONFIDENCE_CAP,large_resource_contract|offtake_contract|price_floor_claim|customer_confidential,disclosure_gap_detected,not_applicable_cap_only,not_applicable_cap_only,contract_value_missing|price_terms_missing|counterparty_undisclosed|duration_missing,contract_value|price_terms|counterparty|duration,true,false
