case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,validation_group,evidence_fields,red_flag_fields,price_validation_status,production_input,notes
betterhelp_privacy_ftc_counterexample,TELEHEALTH_BEHAVIORAL_HEALTH,BH_PRIV,BetterHelp privacy FTC counterexample,US,failed_rerating,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,watch_to_green,online_therapy,privacy_settlement|privacy,needs_price_backfill,false,Sensitive-health privacy risk can cap platform valuation.
telehealth_dtc_ad_cost_counterexample,TELEHEALTH_BEHAVIORAL_HEALTH,TEL_DTC_CAC,Telehealth DTC ad cost counterexample,US,failed_rerating,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,watch_to_green,dtc_healthcare,dtc_ad_dependency|cac,needs_price_backfill,false,DTC ad spend can make revenue growth low quality.
barrick_record_gold_price_profit_candidate,PRECIOUS_METALS_SAFE_HAVEN_MINERS,GOLD_BARRICK,Barrick record gold price profit candidate,US,cyclical_success,COMMODITY_SPREAD,WATCH_YELLOW_FIRST,cycle_event,realized_price_up|aisc_stable_or_down|fcf_growth|buyback_or_dividend,gold_price_reversal|jurisdiction,needs_price_backfill,false,"Gold miner success needs realized price, cost control, FCF, and capital return."
gold_price_correction_4b_watch,PRECIOUS_METALS_SAFE_HAVEN_MINERS,GOLD_4B,Gold price correction 4B watch,GLOBAL,4b_watch,COMMODITY_SPREAD,WATCH_YELLOW_FIRST,cycle_event,gold_price_breakout,commodity_peak_reversal|gold_price_reversal,needs_price_backfill,false,Gold price peak can create 4B-watch before miner fundamentals break.
miner_aisc_inflation_counterexample,PRECIOUS_METALS_SAFE_HAVEN_MINERS,AISC_INFL,Miner AISC inflation counterexample,GLOBAL,failed_rerating,COMMODITY_SPREAD,WATCH_YELLOW_FIRST,cycle_event,safe_haven_demand,aisc_spike|production_decline,needs_price_backfill,false,Gold price benefit can disappear if AISC rises.
jurisdiction_risk_gold_miner_4c,PRECIOUS_METALS_SAFE_HAVEN_MINERS,GOLD_JUR_4C,Jurisdiction risk gold miner 4C,GLOBAL,4c_thesis_break,COMMODITY_SPREAD,WATCH_YELLOW_FIRST,cycle_event,silver_price_breakout|gold_price_breakout,political_risk|mine_disruption,needs_price_backfill,false,Jurisdiction or mine disruption can break miner FCF path.
kiosk_recurring_service_candidate,SERVICE_KIOSK_SELF_CHECKOUT,KIOSK_RECUR,Kiosk recurring service candidate,GLOBAL,success_candidate,RETAIL_DOMESTIC_CONSUMER,WATCH_YELLOW_FIRST,watch_to_green,maintenance_recurring_revenue|payment_fee_revenue,customer_friction|retailer_retreat,needs_price_backfill,false,Kiosk recurring service is stronger than one-time hardware.
target_dollar_general_self_checkout_theft_counterexample,SERVICE_KIOSK_SELF_CHECKOUT,SELF_THEFT,Target Dollar General self-checkout theft counterexample,US,failed_rerating,RETAIL_DOMESTIC_CONSUMER,WATCH_YELLOW_FIRST,watch_to_green,self_checkout,theft_loss_spike|retailer_rollbacks,needs_price_backfill,false,Retailer retreat after theft blocks automation Green.
pseudo_automation_worker_burden_counterexample,SERVICE_KIOSK_SELF_CHECKOUT,PSEUDO_WORK,Pseudo automation worker burden counterexample,GLOBAL,failed_rerating,RETAIL_DOMESTIC_CONSUMER,WATCH_YELLOW_FIRST,watch_to_green,retail_automation,pseudo_automation|customer_backlash,needs_price_backfill,false,Automation that shifts workload without margin benefit is weak evidence.
one_off_kiosk_hardware_sales_counterexample,SERVICE_KIOSK_SELF_CHECKOUT,KIOSK_HW_ONE,One-off kiosk hardware sales counterexample,GLOBAL,failed_rerating,RETAIL_DOMESTIC_CONSUMER,WATCH_YELLOW_FIRST,watch_to_green,kiosk_installation,one_off_hardware|hardware_sales_reversal,needs_price_backfill,false,One-off kiosk sales should not be treated as recurring visibility.
meta_corning_fiber_contract_success_candidate,OPTICAL_NETWORKING_AI_DATACENTER,GLW_META_R36,Meta Corning fiber contract success candidate,US,success_candidate,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,green_possible,hyperscaler_long_contract|direct_ai_datacenter_supply|bottleneck_optical_component,hyperscaler_concentration|valuation_crowding,needs_price_backfill,false,AI data-center optical contract can become a Green-eligible bottleneck case.
optical_networking_valuation_crowding_4b,OPTICAL_NETWORKING_AI_DATACENTER,OPTICAL_CROWD_4B,Optical networking valuation crowding 4B,US,4b_watch,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,green_possible,ai_datacenter_network,valuation_crowding|valuation_unwind,needs_price_backfill,false,Optical demand can still become 4B-watch if price outruns revisions.
optical_customer_concentration_counterexample,OPTICAL_NETWORKING_AI_DATACENTER,OPTICAL_CONC,Optical customer concentration counterexample,GLOBAL,failed_rerating,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,green_possible,fiber_optic_cable,hyperscaler_concentration|hyperscaler_order_cut,needs_price_backfill,false,Customer concentration can cap optical visibility.
ai_datacenter_capex_delay_optical_4c,OPTICAL_NETWORKING_AI_DATACENTER,OPTICAL_CAPEX_4C,AI datacenter capex delay optical 4C,GLOBAL,4c_thesis_break,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,green_possible,optical_transceiver,capex_delay|inventory_glut,needs_price_backfill,false,AI data-center capex delay can break optical component demand.
ai_datacenter_load_forecasting_candidate,AI_GRID_FLEXIBILITY_SOFTWARE,AIGRID_LOAD,AI datacenter load forecasting candidate,GLOBAL,success_candidate,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,watch_to_green,load_forecasting|ai_datacenter_grid_stress,proof_of_concept_only|no_revenue,needs_price_backfill,false,Load forecasting is useful only if it converts into customer revenue.
grid_flexible_datacenter_candidate,AI_GRID_FLEXIBILITY_SOFTWARE,AIGRID_FLEX,Grid flexible datacenter candidate,GLOBAL,success_candidate,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,watch_to_green,utility_or_datacenter_customer|interconnection_savings,utility_adoption_delay|regulation,needs_price_backfill,false,Flexible data centers need utility/customer adoption and recurring software revenue.
smart_grid_poc_no_revenue_counterexample,AI_GRID_FLEXIBILITY_SOFTWARE,GRID_POC,Smart-grid PoC no revenue counterexample,GLOBAL,failed_rerating,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,watch_to_green,smart_grid_flexibility,proof_of_concept_only|no_revenue,needs_price_backfill,false,PoC or research headline should not become score evidence.
utility_adoption_delay_4c,AI_GRID_FLEXIBILITY_SOFTWARE,UTILITY_DELAY_4C,Utility adoption delay 4C,GLOBAL,4c_thesis_break,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,watch_to_green,grid_interconnection,utility_adoption_delay|pilot_nonconversion,needs_price_backfill,false,Utility adoption delay can break software commercialization.
betterhelp_privacy_ftc_4c,PHARMA_CHANNEL_AND_PRIVACY_RISK,BH_PRIV_4C,BetterHelp privacy FTC 4C,US,4c_thesis_break,BIOTECH_PRE_REVENUE_REGULATORY,REDTEAM_FIRST,red_flag,online_medical_platform,privacy_settlement|ftc_or_fda_warning,needs_price_backfill,false,Sensitive-health privacy settlement is 4C-style platform risk.
teladoc_betterhelp_impairment_4c,PHARMA_CHANNEL_AND_PRIVACY_RISK,TDOC_IMPAIR_4C,Teladoc BetterHelp impairment 4C,US,4c_thesis_break,BIOTECH_PRE_REVENUE_REGULATORY,REDTEAM_FIRST,red_flag,dtc_drug_platform,impairment|cac_spike,needs_price_backfill,false,Impairment and CAC pressure can break online-health thesis.
legal_telehealth_b2b_contract_candidate,PHARMA_CHANNEL_AND_PRIVACY_RISK,LEGAL_TEL_B2B,Legal telehealth B2B contract candidate,US,success_candidate,BIOTECH_PRE_REVENUE_REGULATORY,REDTEAM_FIRST,red_flag,b2b_b2b2c_contract|privacy_compliance,liability|advertising_cac,needs_price_backfill,false,Legal B2B telehealth can be monitored when privacy and CAC are controlled.
online_pharma_cac_privacy_counterexample,PHARMA_CHANNEL_AND_PRIVACY_RISK,ONLINE_CAC_PRIV,Online pharma CAC privacy counterexample,GLOBAL,failed_rerating,BIOTECH_PRE_REVENUE_REGULATORY,REDTEAM_FIRST,red_flag,online_pharmacy,advertising_cac|privacy|illegal_channel,needs_price_backfill,false,DTC pharma channel with CAC/privacy risk remains RedTeam-first.
