theme_tag,large_sector,primary_sub_archetype,canonical_archetype,posture,must_have_evidence,red_flag_evidence,green_policy,theme_is_score_input,production_scoring_changed,source_round
광케이블,INDUSTRIAL_ORDERS_INFRA,AI_DATA_CENTER_INFRASTRUCTURE,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,confirmed_order|data_center_capex|capacity_bottleneck|op_eps_revision,,AI tag alone is not evidence; orders and revision support are required.,false,false,round10
광통신,INDUSTRIAL_ORDERS_INFRA,AI_DATA_CENTER_INFRASTRUCTURE,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,confirmed_order|data_center_capex|capacity_bottleneck|op_eps_revision,,AI tag alone is not evidence; orders and revision support are required.,false,false,round10
냉각시스템,INDUSTRIAL_ORDERS_INFRA,AI_DATA_CENTER_INFRASTRUCTURE,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,confirmed_order|data_center_capex|capacity_bottleneck|op_eps_revision,,AI tag alone is not evidence; orders and revision support are required.,false,false,round10
클린룸,INDUSTRIAL_ORDERS_INFRA,AI_DATA_CENTER_INFRASTRUCTURE,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,confirmed_order|data_center_capex|capacity_bottleneck|op_eps_revision,,AI tag alone is not evidence; orders and revision support are required.,false,false,round10
AI 데이터센터,INDUSTRIAL_ORDERS_INFRA,AI_DATA_CENTER_INFRASTRUCTURE,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,confirmed_order|data_center_capex|capacity_bottleneck|op_eps_revision,,AI tag alone is not evidence; orders and revision support are required.,false,false,round10
방위산업,INDUSTRIAL_ORDERS_INFRA,DEFENSE_GOVERNMENT_BACKLOG,DEFENSE_GOVERNMENT_BACKLOG,GREEN_POSSIBLE,government_customer|multi_year_contract|delivery_schedule|op_eps_revision,,Government backlog can support Green only when delivery and margin visibility are real.,false,false,round10
항공우주,INDUSTRIAL_ORDERS_INFRA,DEFENSE_GOVERNMENT_BACKLOG,DEFENSE_GOVERNMENT_BACKLOG,GREEN_POSSIBLE,government_customer|multi_year_contract|delivery_schedule|op_eps_revision,,Government backlog can support Green only when delivery and margin visibility are real.,false,false,round10
드론,INDUSTRIAL_ORDERS_INFRA,DEFENSE_GOVERNMENT_BACKLOG,DEFENSE_GOVERNMENT_BACKLOG,GREEN_POSSIBLE,government_customer|multi_year_contract|delivery_schedule|op_eps_revision,,Government backlog can support Green only when delivery and margin visibility are real.,false,false,round10
플라잉카,INDUSTRIAL_ORDERS_INFRA,DEFENSE_GOVERNMENT_BACKLOG,DEFENSE_GOVERNMENT_BACKLOG,GREEN_POSSIBLE,government_customer|multi_year_contract|delivery_schedule|op_eps_revision,,Government backlog can support Green only when delivery and margin visibility are real.,false,false,round10
스페이스X 관련주,INDUSTRIAL_ORDERS_INFRA,DEFENSE_GOVERNMENT_BACKLOG,DEFENSE_GOVERNMENT_BACKLOG,GREEN_POSSIBLE,government_customer|multi_year_contract|delivery_schedule|op_eps_revision,,Government backlog can support Green only when delivery and margin visibility are real.,false,false,round10
조선,INDUSTRIAL_ORDERS_INFRA,SHIPBUILDING_OFFSHORE_BACKLOG,SHIPBUILDING_OFFSHORE_BACKLOG,GREEN_POSSIBLE,orderbook_quality|newbuild_price|low_margin_backlog_clearance|op_revision,,"Shipbuilding needs order quality and margin conversion, not backlog headline only.",false,false,round10
조선 기자재,INDUSTRIAL_ORDERS_INFRA,SHIPBUILDING_OFFSHORE_BACKLOG,SHIPBUILDING_OFFSHORE_BACKLOG,GREEN_POSSIBLE,orderbook_quality|newbuild_price|low_margin_backlog_clearance|op_revision,,"Shipbuilding needs order quality and margin conversion, not backlog headline only.",false,false,round10
LNG선 기자재,INDUSTRIAL_ORDERS_INFRA,SHIPBUILDING_OFFSHORE_BACKLOG,SHIPBUILDING_OFFSHORE_BACKLOG,GREEN_POSSIBLE,orderbook_quality|newbuild_price|low_margin_backlog_clearance|op_revision,,"Shipbuilding needs order quality and margin conversion, not backlog headline only.",false,false,round10
엔진,INDUSTRIAL_ORDERS_INFRA,SHIPBUILDING_OFFSHORE_BACKLOG,SHIPBUILDING_OFFSHORE_BACKLOG,GREEN_POSSIBLE,orderbook_quality|newbuild_price|low_margin_backlog_clearance|op_revision,,"Shipbuilding needs order quality and margin conversion, not backlog headline only.",false,false,round10
피팅밸브,INDUSTRIAL_ORDERS_INFRA,SHIPBUILDING_OFFSHORE_BACKLOG,SHIPBUILDING_OFFSHORE_BACKLOG,GREEN_POSSIBLE,orderbook_quality|newbuild_price|low_margin_backlog_clearance|op_revision,,"Shipbuilding needs order quality and margin conversion, not backlog headline only.",false,false,round10
원자력,INDUSTRIAL_ORDERS_INFRA,NUCLEAR_SMR_GRID_POLICY,NUCLEAR_SMR_GRID_POLICY,WATCH_YELLOW_FIRST,binding_contract|permitted_project_timeline|supplier_revenue_visibility,,Policy headlines stay Watch/Yellow until contract economics are binding.,false,false,round10
원전,INDUSTRIAL_ORDERS_INFRA,NUCLEAR_SMR_GRID_POLICY,NUCLEAR_SMR_GRID_POLICY,WATCH_YELLOW_FIRST,binding_contract|permitted_project_timeline|supplier_revenue_visibility,,Policy headlines stay Watch/Yellow until contract economics are binding.,false,false,round10
SMR,INDUSTRIAL_ORDERS_INFRA,NUCLEAR_SMR_GRID_POLICY,NUCLEAR_SMR_GRID_POLICY,WATCH_YELLOW_FIRST,binding_contract|permitted_project_timeline|supplier_revenue_visibility,,Policy headlines stay Watch/Yellow until contract economics are binding.,false,false,round10
스마트그리드,INDUSTRIAL_ORDERS_INFRA,NUCLEAR_SMR_GRID_POLICY,NUCLEAR_SMR_GRID_POLICY,WATCH_YELLOW_FIRST,binding_contract|permitted_project_timeline|supplier_revenue_visibility,,Policy headlines stay Watch/Yellow until contract economics are binding.,false,false,round10
전력망,INDUSTRIAL_ORDERS_INFRA,NUCLEAR_SMR_GRID_POLICY,NUCLEAR_SMR_GRID_POLICY,WATCH_YELLOW_FIRST,binding_contract|permitted_project_timeline|supplier_revenue_visibility,,Policy headlines stay Watch/Yellow until contract economics are binding.,false,false,round10
철도,INDUSTRIAL_ORDERS_INFRA,RAIL_INFRASTRUCTURE,CONTRACT_BACKLOG_INDUSTRIAL,WATCH_YELLOW_FIRST,funded_project|confirmed_order|margin_visibility,,Infrastructure themes need funded projects and supplier revenue evidence.,false,false,round10
우크라 재건,INDUSTRIAL_ORDERS_INFRA,RAIL_INFRASTRUCTURE,CONTRACT_BACKLOG_INDUSTRIAL,WATCH_YELLOW_FIRST,funded_project|confirmed_order|margin_visibility,,Infrastructure themes need funded projects and supplier revenue evidence.,false,false,round10
네옴시티,INDUSTRIAL_ORDERS_INFRA,RAIL_INFRASTRUCTURE,CONTRACT_BACKLOG_INDUSTRIAL,WATCH_YELLOW_FIRST,funded_project|confirmed_order|margin_visibility,,Infrastructure themes need funded projects and supplier revenue evidence.,false,false,round10
대형 인프라,INDUSTRIAL_ORDERS_INFRA,RAIL_INFRASTRUCTURE,CONTRACT_BACKLOG_INDUSTRIAL,WATCH_YELLOW_FIRST,funded_project|confirmed_order|margin_visibility,,Infrastructure themes need funded projects and supplier revenue evidence.,false,false,round10
제조용 로봇,INDUSTRIAL_ORDERS_INFRA,SMART_FACTORY_AUTOMATION,ROBOTICS_FACTORY_AUTOMATION,WATCH_YELLOW_FIRST,customer_adoption|revenue_conversion|opm_improvement,,Automation themes need revenue conversion before high-conviction scoring.,false,false,round10
스마트팩토리,INDUSTRIAL_ORDERS_INFRA,SMART_FACTORY_AUTOMATION,ROBOTICS_FACTORY_AUTOMATION,WATCH_YELLOW_FIRST,customer_adoption|revenue_conversion|opm_improvement,,Automation themes need revenue conversion before high-conviction scoring.,false,false,round10
컨택센터,INDUSTRIAL_ORDERS_INFRA,SMART_FACTORY_AUTOMATION,ROBOTICS_FACTORY_AUTOMATION,WATCH_YELLOW_FIRST,customer_adoption|revenue_conversion|opm_improvement,,Automation themes need revenue conversion before high-conviction scoring.,false,false,round10
키오스크,INDUSTRIAL_ORDERS_INFRA,SMART_FACTORY_AUTOMATION,ROBOTICS_FACTORY_AUTOMATION,WATCH_YELLOW_FIRST,customer_adoption|revenue_conversion|opm_improvement,,Automation themes need revenue conversion before high-conviction scoring.,false,false,round10
HBM,AI_SEMICONDUCTOR_ELECTRONICS,MEMORY_HBM_CAPACITY,MEMORY_HBM_CAPACITY,GREEN_POSSIBLE,memory_price|hbm_demand|supply_discipline|medium_term_revision,,HBM/memory Green needs EPS path and capacity or price evidence.,false,false,round10
반도체-HBM,AI_SEMICONDUCTOR_ELECTRONICS,MEMORY_HBM_CAPACITY,MEMORY_HBM_CAPACITY,GREEN_POSSIBLE,memory_price|hbm_demand|supply_discipline|medium_term_revision,,HBM/memory Green needs EPS path and capacity or price evidence.,false,false,round10
종합반도체,AI_SEMICONDUCTOR_ELECTRONICS,MEMORY_HBM_CAPACITY,MEMORY_HBM_CAPACITY,GREEN_POSSIBLE,memory_price|hbm_demand|supply_discipline|medium_term_revision,,HBM/memory Green needs EPS path and capacity or price evidence.,false,false,round10
CXL,AI_SEMICONDUCTOR_ELECTRONICS,MEMORY_HBM_CAPACITY,MEMORY_HBM_CAPACITY,GREEN_POSSIBLE,memory_price|hbm_demand|supply_discipline|medium_term_revision,,HBM/memory Green needs EPS path and capacity or price evidence.,false,false,round10
뉴로모픽 반도체,AI_SEMICONDUCTOR_ELECTRONICS,MEMORY_HBM_CAPACITY,MEMORY_HBM_CAPACITY,GREEN_POSSIBLE,memory_price|hbm_demand|supply_discipline|medium_term_revision,,HBM/memory Green needs EPS path and capacity or price evidence.,false,false,round10
반도체 전공정 장비,AI_SEMICONDUCTOR_ELECTRONICS,SEMI_EQUIPMENT_CAPEX,SEMI_EQUIPMENT_CAPEX,GREEN_POSSIBLE,customer_capex|orders|revenue_conversion|customer_diversification,,Equipment themes need customer capex and order conversion.,false,false,round10
반도체 후공정 장비,AI_SEMICONDUCTOR_ELECTRONICS,SEMI_EQUIPMENT_CAPEX,SEMI_EQUIPMENT_CAPEX,GREEN_POSSIBLE,customer_capex|orders|revenue_conversion|customer_diversification,,Equipment themes need customer capex and order conversion.,false,false,round10
2차전지 공정장비,AI_SEMICONDUCTOR_ELECTRONICS,SEMI_EQUIPMENT_CAPEX,SEMI_EQUIPMENT_CAPEX,GREEN_POSSIBLE,customer_capex|orders|revenue_conversion|customer_diversification,,Equipment themes need customer capex and order conversion.,false,false,round10
반도체 전공정 소재,AI_SEMICONDUCTOR_ELECTRONICS,SEMI_MATERIALS_PROCESS,SEMI_EQUIPMENT_CAPEX,WATCH_YELLOW_FIRST,customer_qualification|volume_ramp|margin_visibility,,Process materials need qualification and volume ramp evidence.,false,false,round10
반도체 후공정 소재,AI_SEMICONDUCTOR_ELECTRONICS,SEMI_MATERIALS_PROCESS,SEMI_EQUIPMENT_CAPEX,WATCH_YELLOW_FIRST,customer_qualification|volume_ramp|margin_visibility,,Process materials need qualification and volume ramp evidence.,false,false,round10
클린룸,AI_SEMICONDUCTOR_ELECTRONICS,SEMI_MATERIALS_PROCESS,SEMI_EQUIPMENT_CAPEX,WATCH_YELLOW_FIRST,customer_qualification|volume_ramp|margin_visibility,,Process materials need qualification and volume ramp evidence.,false,false,round10
OLED 소재부품,AI_SEMICONDUCTOR_ELECTRONICS,SEMI_MATERIALS_PROCESS,SEMI_EQUIPMENT_CAPEX,WATCH_YELLOW_FIRST,customer_qualification|volume_ramp|margin_visibility,,Process materials need qualification and volume ramp evidence.,false,false,round10
PCB,AI_SEMICONDUCTOR_ELECTRONICS,ADVANCED_PACKAGING_PCB,SEMI_EQUIPMENT_CAPEX,GREEN_POSSIBLE,ai_server_demand|order_visibility|capacity_constraint|op_eps_revision,,PCB/packaging can be Green-eligible with AI server demand and order conversion.,false,false,round10
인쇄회로기판,AI_SEMICONDUCTOR_ELECTRONICS,ADVANCED_PACKAGING_PCB,SEMI_EQUIPMENT_CAPEX,GREEN_POSSIBLE,ai_server_demand|order_visibility|capacity_constraint|op_eps_revision,,PCB/packaging can be Green-eligible with AI server demand and order conversion.,false,false,round10
CXL,AI_SEMICONDUCTOR_ELECTRONICS,ADVANCED_PACKAGING_PCB,SEMI_EQUIPMENT_CAPEX,GREEN_POSSIBLE,ai_server_demand|order_visibility|capacity_constraint|op_eps_revision,,PCB/packaging can be Green-eligible with AI server demand and order conversion.,false,false,round10
유리기판,AI_SEMICONDUCTOR_ELECTRONICS,ADVANCED_PACKAGING_PCB,SEMI_EQUIPMENT_CAPEX,GREEN_POSSIBLE,ai_server_demand|order_visibility|capacity_constraint|op_eps_revision,,PCB/packaging can be Green-eligible with AI server demand and order conversion.,false,false,round10
후공정,AI_SEMICONDUCTOR_ELECTRONICS,ADVANCED_PACKAGING_PCB,SEMI_EQUIPMENT_CAPEX,GREEN_POSSIBLE,ai_server_demand|order_visibility|capacity_constraint|op_eps_revision,,PCB/packaging can be Green-eligible with AI server demand and order conversion.,false,false,round10
AI 서버 PCB,AI_SEMICONDUCTOR_ELECTRONICS,ADVANCED_PACKAGING_PCB,SEMI_EQUIPMENT_CAPEX,GREEN_POSSIBLE,ai_server_demand|order_visibility|capacity_constraint|op_eps_revision,,PCB/packaging can be Green-eligible with AI server demand and order conversion.,false,false,round10
OLED 장비,AI_SEMICONDUCTOR_ELECTRONICS,DISPLAY_OLED_EQUIPMENT,SEMI_EQUIPMENT_CAPEX,WATCH_YELLOW_FIRST,panel_capex|orders|margin_visibility,,Display capex is cyclical; Green needs durable orders and margin support.,false,false,round10
OLED 소재부품,AI_SEMICONDUCTOR_ELECTRONICS,DISPLAY_OLED_EQUIPMENT,SEMI_EQUIPMENT_CAPEX,WATCH_YELLOW_FIRST,panel_capex|orders|margin_visibility,,Display capex is cyclical; Green needs durable orders and margin support.,false,false,round10
디스플레이 이송장비,AI_SEMICONDUCTOR_ELECTRONICS,DISPLAY_OLED_EQUIPMENT,SEMI_EQUIPMENT_CAPEX,WATCH_YELLOW_FIRST,panel_capex|orders|margin_visibility,,Display capex is cyclical; Green needs durable orders and margin support.,false,false,round10
MLCC,AI_SEMICONDUCTOR_ELECTRONICS,ELECTRONIC_COMPONENTS,AUTO_MOBILITY_COMPONENTS,WATCH_YELLOW_FIRST,customer_diversification|content_growth|margin_improvement,,Component tags need content growth and margin proof.,false,false,round10
카메라,AI_SEMICONDUCTOR_ELECTRONICS,ELECTRONIC_COMPONENTS,AUTO_MOBILITY_COMPONENTS,WATCH_YELLOW_FIRST,customer_diversification|content_growth|margin_improvement,,Component tags need content growth and margin proof.,false,false,round10
스마트폰 부품,AI_SEMICONDUCTOR_ELECTRONICS,ELECTRONIC_COMPONENTS,AUTO_MOBILITY_COMPONENTS,WATCH_YELLOW_FIRST,customer_diversification|content_growth|margin_improvement,,Component tags need content growth and margin proof.,false,false,round10
무선충전,AI_SEMICONDUCTOR_ELECTRONICS,ELECTRONIC_COMPONENTS,AUTO_MOBILITY_COMPONENTS,WATCH_YELLOW_FIRST,customer_diversification|content_growth|margin_improvement,,Component tags need content growth and margin proof.,false,false,round10
LED,AI_SEMICONDUCTOR_ELECTRONICS,ELECTRONIC_COMPONENTS,AUTO_MOBILITY_COMPONENTS,WATCH_YELLOW_FIRST,customer_diversification|content_growth|margin_improvement,,Component tags need content growth and margin proof.,false,false,round10
퓨리오사AI 관련주,AI_SEMICONDUCTOR_ELECTRONICS,AI_CHIP_FABRIC_INFRA,AI_DATA_CENTER_INFRASTRUCTURE,REDTEAM_FIRST,direct_exposure|orders_or_revenue|revision_support,,"AI-chip association without exposure is theme risk, not scoring evidence.",false,false,round10
인공지능 AI,AI_SEMICONDUCTOR_ELECTRONICS,AI_CHIP_FABRIC_INFRA,AI_DATA_CENTER_INFRASTRUCTURE,REDTEAM_FIRST,direct_exposure|orders_or_revenue|revision_support,,"AI-chip association without exposure is theme risk, not scoring evidence.",false,false,round10
시스템반도체,AI_SEMICONDUCTOR_ELECTRONICS,AI_CHIP_FABRIC_INFRA,AI_DATA_CENTER_INFRASTRUCTURE,REDTEAM_FIRST,direct_exposure|orders_or_revenue|revision_support,,"AI-chip association without exposure is theme risk, not scoring evidence.",false,false,round10
뉴로모픽 반도체,AI_SEMICONDUCTOR_ELECTRONICS,AI_CHIP_FABRIC_INFRA,AI_DATA_CENTER_INFRASTRUCTURE,REDTEAM_FIRST,direct_exposure|orders_or_revenue|revision_support,,"AI-chip association without exposure is theme risk, not scoring evidence.",false,false,round10
IT보안,AI_SEMICONDUCTOR_ELECTRONICS,CYBER_AI_SECURITY,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,recurring_revenue|security_demand|opm_leverage,,Security themes need recurring revenue and monetization evidence.,false,false,round10
딥페이크,AI_SEMICONDUCTOR_ELECTRONICS,CYBER_AI_SECURITY,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,recurring_revenue|security_demand|opm_leverage,,Security themes need recurring revenue and monetization evidence.,false,false,round10
생체인식,AI_SEMICONDUCTOR_ELECTRONICS,CYBER_AI_SECURITY,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,recurring_revenue|security_demand|opm_leverage,,Security themes need recurring revenue and monetization evidence.,false,false,round10
CCTV,AI_SEMICONDUCTOR_ELECTRONICS,CYBER_AI_SECURITY,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,recurring_revenue|security_demand|opm_leverage,,Security themes need recurring revenue and monetization evidence.,false,false,round10
2차전지 소재,BATTERY_EV_GREEN,BATTERY_MATERIALS_CAPEX_OVERHEAT,BATTERY_MATERIALS_CAPEX_OVERHEAT,REDTEAM_FIRST,contract_quality|price_pass_through|demand_visibility|fcf_after_capex,,"Battery materials are Green-restricted until contract, margin, and demand risks are controlled.",false,false,round10
2차전지 생산·판매,BATTERY_EV_GREEN,BATTERY_MATERIALS_CAPEX_OVERHEAT,BATTERY_MATERIALS_CAPEX_OVERHEAT,REDTEAM_FIRST,contract_quality|price_pass_through|demand_visibility|fcf_after_capex,,"Battery materials are Green-restricted until contract, margin, and demand risks are controlled.",false,false,round10
전고체 배터리,BATTERY_EV_GREEN,BATTERY_MATERIALS_CAPEX_OVERHEAT,BATTERY_MATERIALS_CAPEX_OVERHEAT,REDTEAM_FIRST,contract_quality|price_pass_through|demand_visibility|fcf_after_capex,,"Battery materials are Green-restricted until contract, margin, and demand risks are controlled.",false,false,round10
리튬,BATTERY_EV_GREEN,BATTERY_MATERIALS_CAPEX_OVERHEAT,BATTERY_MATERIALS_CAPEX_OVERHEAT,REDTEAM_FIRST,contract_quality|price_pass_through|demand_visibility|fcf_after_capex,,"Battery materials are Green-restricted until contract, margin, and demand risks are controlled.",false,false,round10
폐배터리,BATTERY_EV_GREEN,BATTERY_MATERIALS_CAPEX_OVERHEAT,BATTERY_MATERIALS_CAPEX_OVERHEAT,REDTEAM_FIRST,contract_quality|price_pass_through|demand_visibility|fcf_after_capex,,"Battery materials are Green-restricted until contract, margin, and demand risks are controlled.",false,false,round10
2차전지 공정장비,BATTERY_EV_GREEN,BATTERY_EQUIPMENT_PARTS,BATTERY_MATERIALS_CAPEX_OVERHEAT,WATCH_YELLOW_FIRST,customer_orders|capex_visibility|margin_visibility,,Battery equipment depends on customer capex; order delays are 4C risks.,false,false,round10
2차전지 부품,BATTERY_EV_GREEN,BATTERY_EQUIPMENT_PARTS,BATTERY_MATERIALS_CAPEX_OVERHEAT,WATCH_YELLOW_FIRST,customer_orders|capex_visibility|margin_visibility,,Battery equipment depends on customer capex; order delays are 4C risks.,false,false,round10
전기차 부품,BATTERY_EV_GREEN,BATTERY_EQUIPMENT_PARTS,BATTERY_MATERIALS_CAPEX_OVERHEAT,WATCH_YELLOW_FIRST,customer_orders|capex_visibility|margin_visibility,,Battery equipment depends on customer capex; order delays are 4C risks.,false,false,round10
전기차 인프라,BATTERY_EV_GREEN,EV_INFRASTRUCTURE,AUTO_MOBILITY_COMPONENTS,WATCH_YELLOW_FIRST,utilization|policy_support|recurring_revenue,,"EV infrastructure needs utilization and revenue, not installation headline only.",false,false,round10
전기차 화재,BATTERY_EV_GREEN,EV_INFRASTRUCTURE,AUTO_MOBILITY_COMPONENTS,WATCH_YELLOW_FIRST,utilization|policy_support|recurring_revenue,,"EV infrastructure needs utilization and revenue, not installation headline only.",false,false,round10
무선충전,BATTERY_EV_GREEN,EV_INFRASTRUCTURE,AUTO_MOBILITY_COMPONENTS,WATCH_YELLOW_FIRST,utilization|policy_support|recurring_revenue,,"EV infrastructure needs utilization and revenue, not installation headline only.",false,false,round10
충전소,BATTERY_EV_GREEN,EV_INFRASTRUCTURE,AUTO_MOBILITY_COMPONENTS,WATCH_YELLOW_FIRST,utilization|policy_support|recurring_revenue,,"EV infrastructure needs utilization and revenue, not installation headline only.",false,false,round10
수소차 연료전지,BATTERY_EV_GREEN,HYDROGEN_FUEL_CELL,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,commercial_revenue|cost_curve|policy_support,,Hydrogen stays RedTeam-first until commercial economics are visible.,false,false,round10
수소차 기타부품,BATTERY_EV_GREEN,HYDROGEN_FUEL_CELL,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,commercial_revenue|cost_curve|policy_support,,Hydrogen stays RedTeam-first until commercial economics are visible.,false,false,round10
수소차 인프라,BATTERY_EV_GREEN,HYDROGEN_FUEL_CELL,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,commercial_revenue|cost_curve|policy_support,,Hydrogen stays RedTeam-first until commercial economics are visible.,false,false,round10
태양광,BATTERY_EV_GREEN,RENEWABLE_ENERGY_POLICY,UTILITIES_REGULATED_TARIFF,WATCH_YELLOW_FIRST,tariff_or_policy|project_backlog|margin_visibility,,Renewable policy needs project economics and margin support.,false,false,round10
풍력,BATTERY_EV_GREEN,RENEWABLE_ENERGY_POLICY,UTILITIES_REGULATED_TARIFF,WATCH_YELLOW_FIRST,tariff_or_policy|project_backlog|margin_visibility,,Renewable policy needs project economics and margin support.,false,false,round10
탄소배출권,BATTERY_EV_GREEN,RENEWABLE_ENERGY_POLICY,UTILITIES_REGULATED_TARIFF,WATCH_YELLOW_FIRST,tariff_or_policy|project_backlog|margin_visibility,,Renewable policy needs project economics and margin support.,false,false,round10
탈 플라스틱,BATTERY_EV_GREEN,RENEWABLE_ENERGY_POLICY,UTILITIES_REGULATED_TARIFF,WATCH_YELLOW_FIRST,tariff_or_policy|project_backlog|margin_visibility,,Renewable policy needs project economics and margin support.,false,false,round10
LNG 발전유통,BATTERY_EV_GREEN,ENERGY_DISTRIBUTION_FUEL,COMMODITY_SPREAD,WATCH_YELLOW_FIRST,spread|inventory_status|demand_visibility,,Fuel distribution is spread/cycle driven and needs cyclicality caps.,false,false,round10
LPG,BATTERY_EV_GREEN,ENERGY_DISTRIBUTION_FUEL,COMMODITY_SPREAD,WATCH_YELLOW_FIRST,spread|inventory_status|demand_visibility,,Fuel distribution is spread/cycle driven and needs cyclicality caps.,false,false,round10
유가 상승 수혜,BATTERY_EV_GREEN,ENERGY_DISTRIBUTION_FUEL,COMMODITY_SPREAD,WATCH_YELLOW_FIRST,spread|inventory_status|demand_visibility,,Fuel distribution is spread/cycle driven and needs cyclicality caps.,false,false,round10
유류도소매,BATTERY_EV_GREEN,ENERGY_DISTRIBUTION_FUEL,COMMODITY_SPREAD,WATCH_YELLOW_FIRST,spread|inventory_status|demand_visibility,,Fuel distribution is spread/cycle driven and needs cyclicality caps.,false,false,round10
윤활유,BATTERY_EV_GREEN,ENERGY_DISTRIBUTION_FUEL,COMMODITY_SPREAD,WATCH_YELLOW_FIRST,spread|inventory_status|demand_visibility,,Fuel distribution is spread/cycle driven and needs cyclicality caps.,false,false,round10
화학,MATERIALS_SPREAD_STRATEGIC,CHEMICAL_SPREAD,COMMODITY_SPREAD,REDTEAM_FIRST,product_spread|inventory_status|capacity_discipline,,Chemical spread alone cannot create structural Green.,false,false,round10
페인트,MATERIALS_SPREAD_STRATEGIC,CHEMICAL_SPREAD,COMMODITY_SPREAD,REDTEAM_FIRST,product_spread|inventory_status|capacity_discipline,,Chemical spread alone cannot create structural Green.,false,false,round10
탈 플라스틱,MATERIALS_SPREAD_STRATEGIC,CHEMICAL_SPREAD,COMMODITY_SPREAD,REDTEAM_FIRST,product_spread|inventory_status|capacity_discipline,,Chemical spread alone cannot create structural Green.,false,false,round10
주정,MATERIALS_SPREAD_STRATEGIC,CHEMICAL_SPREAD,COMMODITY_SPREAD,REDTEAM_FIRST,product_spread|inventory_status|capacity_discipline,,Chemical spread alone cannot create structural Green.,false,false,round10
