target_id,large_sector,canonical_archetype,posture,eps_fcf,structural_visibility,bottleneck_pricing,market_mispricing,valuation,capital_allocation,information_confidence,stage1_signals,stage2_signals,stage3_conditions,stage4b_conditions,stage4c_conditions,green_conditions,red_flags,gate_only,production_scoring_changed,normalization_point
AGRI_DISEASE_AI_MONITORING,EDUCATION_LIFE_AGRI_MISC,AGRI_DISEASE_AI_MONITORING,WATCH_YELLOW_FIRST,14,12,8,10,8,0,5,disease_ai_monitoring|farm_sensor|biosecurity_app|livestock_surveillance,farm_adoption_contract|data_quality|privacy_compliance|repeat_subscription,recurring_monitoring_revenue|low_privacy_risk|fcf_conversion,agri_ai_monitoring_theme_crowded,data_quality_failure|farm_privacy_backlash|no_adoption_contract|subsidy_dependency,farm_contract|repeat_subscription|data_quality|fcf_conversion,data_quality|privacy|adoption_missing|subsidy_dependency,false,false,"Disease AI monitoring needs farm contracts, data quality, privacy compliance, and repeat subscriptions."
EDUCATION_SPECIALTY_SERVICES,EDUCATION_LIFE_AGRI_MISC,EDUCATION_SPECIALTY_SERVICES,WATCH_YELLOW_FIRST,17,16,5,12,10,2,5,ai_training|adult_education|job_training|b2b_education_contract,repeat_enrollment|enterprise_contract|completion_rate|paid_conversion|opm_improvement,b2b_b2g_recurring_revenue|student_roi|low_cac|fcf_conversion|ai_disruption_defense,ai_education_narrative_crowded|valuation_before_profitability,ai_substitutes_core_service|bookings_miss|subscriber_decline|cac_spike|bankruptcy,enterprise_contract|completion_rate|student_roi|opm_improvement|fcf_conversion,ai_disruption|cac|completion_rate|student_roi|debt|bookings_miss,false,false,"Education needs monetization, outcomes, retention, and margin; user growth alone is weak."
EDTECH_AI_MONETIZATION_TRADEOFF,EDUCATION_LIFE_AGRI_MISC,EDTECH_AI_MONETIZATION_TRADEOFF,WATCH_YELLOW_FIRST,16,15,5,12,9,1,5,ai_speaking|ai_tutor|ai_learning_feature,engagement_growth|bookings_growth|paid_conversion|ai_cost_control,bookings_and_margin_together|fcf_conversion|paid_conversion_stable,ai_education_app_narrative_crowded,ai_feature_cost_increase|bookings_miss|monetization_retreat|paid_conversion_slowdown,bookings_growth|paid_conversion|margin_stability|fcf_conversion,ai_cost|bookings_miss|monetization_retreat|paid_conversion_slowdown,false,false,"AI learning features are not enough; bookings, paid conversion, AI cost, margin, and FCF decide escalation."
EDTECH_AI_DISRUPTION,EDUCATION_LIFE_AGRI_MISC,EDTECH_AI_DISRUPTION,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,ai_tutor|ai_answer_engine|homework_help_ai|traffic_risk,ai_defense_contract_or_productivity_needed,normally_blocked_if_core_service_substituted,ai_education_theme_crowded|user_growth_before_monetization,ai_substitutes_core_service|traffic_decline|subscriber_decline|bookings_miss|layoff|strategic_review,b2b_contract|completion_rate|student_roi|fcf_conversion,ai_substitution|traffic_decline|subscriber_decline|bookings_miss|cac_spike,true,false,"AI education is a feature only if it supports outcomes; if it substitutes the core service, it is a RedTeam gate."
EDTECH_AI_SEARCH_DISINTERMEDIATION,EDUCATION_LIFE_AGRI_MISC,EDTECH_AI_SEARCH_DISINTERMEDIATION,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,ai_overviews|search_traffic_decline|homework_help_ai|organic_query_loss,owned_distribution_or_b2b_contract_needed,normally_blocked_if_search_channel_is_disintermediated,traffic_growth_priced_without_search_ai_risk,traffic_decline|subscriber_decline|revenue_decline|paid_conversion_decline|layoff,owned_distribution|enterprise_contract|student_roi|fcf_conversion,search_disintermediation|traffic_decline|subscriber_decline|revenue_decline|paid_conversion_decline,true,false,AI search disintermediation is a separate RedTeam gate from generic AI tutoring substitution.
ONLINE_EDUCATION_OPM_DISTRESS,EDUCATION_LIFE_AGRI_MISC,ONLINE_EDUCATION_OPM_DISTRESS,REDTEAM_FIRST,10,8,4,8,5,0,5,online_degree_platform|bootcamp_growth|opm_revenue_share|edtech_platform,student_roi|completion_rate|partner_retention|fcf_conversion|debt_reduction,repeat_contracts|low_debt_stress|regulatory_compliance|fcf_conversion,online_education_platform_premium|growth_priced_before_roi,chapter11|high_leverage|student_roi_failure|regulatory_scrutiny|partner_concentration_failure,student_roi|completion_rate|partner_retention|fcf_conversion,debt|student_roi|regulatory_oversight|partner_concentration|chapter11,false,false,"Online OPM platforms need student ROI, completion, partner retention, and debt checks before any rerating claim."
HOME_LIVING_APPLIANCE_RENTAL,EDUCATION_LIFE_AGRI_MISC,HOME_LIVING_APPLIANCE_RENTAL,WATCH_YELLOW_FIRST,18,16,6,12,11,2,5,rental_accounts_growth|new_product|overseas_expansion,rental_churn_stable|filter_service_revenue|care_service_revenue|opm_fcf_improvement,recurring_service_revenue_dominates|hardware_cycle_less_important|fcf_conversion,rental_account_growth_crowded|consumer_service_multiple_rerated,replacement_demand_collapse|dividend_suspension|rental_churn_spike|housing_weakness,rental_churn_stable|recurring_service_revenue|opm_fcf_improvement|overseas_margin,replacement_cycle|housing_turnover|churn|hardware_only|dividend_suspension,false,false,"Rental/care revenue can improve quality, but hardware replacement cycles and churn must be checked."
HOME_APPLIANCE_HARDWARE_CYCLE,EDUCATION_LIFE_AGRI_MISC,HOME_APPLIANCE_HARDWARE_CYCLE,WATCH_YELLOW_FIRST,14,10,5,8,6,0,5,replacement_demand|housing_cycle|appliance_export,sales_growth|margin_stability|fcf_guidance,repeat_service_revenue|housing_cycle_buffered|fcf_conversion,hardware_replacement_theme_crowded,replacement_demand_collapse|housing_turnover_weakness|dividend_suspension|guidance_cut|debt_reduction_pressure,repeat_service_revenue|margin_stability|fcf_conversion,replacement_cycle|housing_turnover|dividend_suspension|guidance_cut|debt,false,false,Home-appliance hardware remains a replacement and housing-cycle story unless repeat service revenue changes the economics.
SERVICE_KIOSK_SELF_CHECKOUT,EDUCATION_LIFE_AGRI_MISC,SERVICE_KIOSK_SELF_CHECKOUT,WATCH_YELLOW_FIRST,15,13,7,10,8,0,5,labor_cost_increase|unmanned_store|self_checkout_rollout|kiosk_installation,installed_base|maintenance_revenue|payment_fee_revenue|loss_prevention_effect,recurring_service_revenue|hardware_mix_declines|customer_friction_low,automation_theme_crowded|installed_base_priced_before_service_revenue,retailer_retreat|theft_shrink|customer_friction|employee_workload|one_off_hardware_sales,maintenance_revenue|payment_fee_revenue|loss_prevention_effect|recurring_service_revenue,theft|customer_friction|retailer_retreat|employee_workload|one_off_hardware,false,false,Kiosk adoption needs service/fee economics; installation count alone is not productivity proof.
SELF_CHECKOUT_LOCAL_REGULATION_OVERLAY,EDUCATION_LIFE_AGRI_MISC,SELF_CHECKOUT_LOCAL_REGULATION_OVERLAY,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,local_self_checkout_regulation|item_limit|staffed_lane_requirement,retailer_compliance_cost|store_policy_change,regulatory_risk_resolved,self_checkout_adoption_priced_without_regulation,item_limit|staff_required_per_kiosk|local_ordinance|retailer_retreat,regulation_resolved|maintenance_revenue|retailer_retention,item_limit|staff_required|local_ordinance|retailer_retreat,true,false,"Local self-checkout rules are a RedTeam gate for kiosk economics, especially item limits and staffing requirements."
CONSUMER_REGULATED_PRODUCT,EDUCATION_LIFE_AGRI_MISC,CONSUMER_REGULATED_PRODUCT,WATCH_YELLOW_FIRST,18,15,8,12,10,0,5,fda_approval|dea_rescheduling|regulated_product_license,sales_authorization|channel_access|tax_effect|repeat_consumption,regulatory_stability|repeat_revenue|fcf_conversion,regulatory_approval_rally_crowded|policy_reversal_ignored,approval_revoked|sales_ban|legal_conflict|youth_usage_controversy|public_health_backlash,sales_authorization|channel_access|repeat_consumption|regulatory_stability,public_health|social_backlash|legal_conflict|license_scope|youth_usage,false,false,"Regulated consumer products can rerate on approval, but scope and public-health risks stay high."
NICOTINE_ALTERNATIVE_REGULATED,EDUCATION_LIFE_AGRI_MISC,NICOTINE_ALTERNATIVE_REGULATED,WATCH_YELLOW_FIRST,16,13,8,10,8,0,5,e_cigarette|nicotine_pouch|fda_enforcement_easing|reduced_risk_product,sales_authorization|license_scope|authorized_channel|repeat_consumption,regulatory_stability|repeat_revenue|public_health_risk_contained|fcf_conversion,nicotine_policy_relief_rally|approval_scope_ignored,youth_usage_risk|flavored_product_restriction|public_health_warning|unauthorized_product_status|enforcement_reversal,sales_authorization|license_scope|authorized_channel|repeat_consumption,youth_usage|public_health|flavor_restriction|unauthorized_status,false,false,"Nicotine alternatives have repeat-consumption potential, but youth/public-health and authorization scope gates remain hard."
NICOTINE_POUCH_YOUTH_SAFETY_OVERLAY,EDUCATION_LIFE_AGRI_MISC,NICOTINE_POUCH_YOUTH_SAFETY_OVERLAY,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,nicotine_pouch_growth|youth_usage_warning|flavor_marketing,age_verification|nicotine_limit|advertising_compliance,public_health_risk_contained,nicotine_repeat_consumption_priced_without_youth_risk,youth_addiction_warning|high_nicotine_content|flavor_restriction|advertising_ban|influencer_marketing_risk,age_verification|authorization_scope|public_health_risk_contained,youth_addiction|high_nicotine|flavor|advertising|public_health,true,false,"Nicotine pouch growth is capped until youth-addiction, flavor, advertising, and nicotine-content risks are controlled."
CANNABIS_REGULATED_PRODUCT,EDUCATION_LIFE_AGRI_MISC,CANNABIS_REGULATED_PRODUCT,WATCH_YELLOW_FIRST,16,14,8,11,8,0,5,cannabis_rescheduling|medical_cannabis_policy|dea_registration|state_license,license_scope|tax_effect|sales_channel|compliance_cost_visible,regulatory_stability|repeat_revenue|tax_benefit_realized|fcf_conversion,cannabis_policy_relief_rally|full_legalization_assumed,state_federal_conflict|dea_registration_failure|legal_challenge|public_health_backlash|license_scope_limited,license_scope|sales_channel|tax_effect|regulatory_stability,no_full_legalization|dea_registration_required|state_federal_conflict|legal_challenge,false,false,"Cannabis rescheduling is not full legalization; stage credit requires license scope, channel, tax effect, and FCF."
CANNABIS_PARTIAL_RESCHEDULING_LIMIT,EDUCATION_LIFE_AGRI_MISC,CANNABIS_PARTIAL_RESCHEDULING_LIMIT,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,partial_rescheduling|medical_only_scope|dea_registration_required|state_federal_conflict,tax_effect_verified|license_scope_verified|sales_channel_verified,normally_blocked_if_rescheduling_is_not_commercially_usable,schedule3_rally_priced_as_full_legalization,state_federal_conflict|dea_registration_required|medical_cannabis_only|recreational_benefit_limited|legal_challenge,license_scope|tax_effect|sales_channel|regulatory_stability,no_full_legalization|dea_registration_required|state_federal_conflict|medical_only|limited_recreational_benefit,true,false,Partial cannabis rescheduling is a policy gate unless commercial scope and tax benefit are verified.
DISCLOSURE_CONFIDENCE_CAP,EDUCATION_LIFE_AGRI_MISC,DISCLOSURE_CONFIDENCE_CAP,REDTEAM_FIRST,cap,cap,cap,cap,cap,cap,+,order_headline|rental_account_headline|regulatory_approval_headline|unit_economics_claim,detail_fetch_required|source_detail_confidence_checked,stage3_cap_until_unit_economics_or_scope_detail_verified,headline_priced_before_detail,contract_value_missing|churn_missing|cac_missing|regulatory_scope_missing|unit_economics_missing|parser_confidence_low,,contract_value_missing|churn_missing|cac_missing|regulatory_scope_missing|unit_economics_missing|parser_confidence_low,false,false,"R12 caps Stage 3 until contract value, churn, CAC, recurring revenue, unit economics, regulatory scope, and parser confidence are verified."
