raw_theme_tag,normalized_theme_tag
빈대퇴치,빈대퇴치
수소차-인프라,수소차인프라
전염병-진단,전염병진단
OLED-장비,oled장비
골프,골프
해운,해운
맥신,맥신
MLCC,mlcc
방위산업,방위산업
남북경협-광물자원개발,남북경협광물자원개발
반도체-후공정 장비,반도체후공정장비
코로나19-제약,코로나19제약
취업일자리,취업일자리
토스 관련주,토스
종합반도체,종합반도체
자전거,자전거
희토류,희토류
택배와 종합물류,택배와종합물류
디지털자산-블록체인,디지털자산블록체인
2차전지 생산-판매,2차전지생산판매
컨택센터,컨택센터
남북경협-DMZ,남북경협dmz
원자력(원전),원자력원전
자동차 연비개선-경량화,자동차연비개선경량화
스마트팜,스마트팜
건자재-가구,건자재가구
네옴시티,네옴시티
희귀질환 치료제,희귀질환치료제
건자재-거푸집,건자재거푸집
자율주행,자율주행
유리기판,유리기판
황사미세먼지-공기정화,황사미세먼지공기정화
반도체-전공정 장비,반도체전공정장비
2차전지 공정장비,2차전지공정장비
그래핀,그래핀
육계주,육계주
피팅 밸브,피팅밸브
남북경협-개성공단,남북경협개성공단
황사미세먼지-마스크,황사미세먼지마스크
딥페이크,딥페이크
키오스크,키오스크
생체인식,생체인식
수소차-기타부품,수소차기타부품
제조용 로봇/스마트팩토리,제조용로봇스마트팩토리
국내 상장한 중국 주,국내상장한중국주
뉴로모픽 반도체,뉴로모픽반도체
스페이스X,스페이스x
건설기계,건설기계
IT 보안,it보안
비철금속-구리,비철금속구리
스마트그리드,스마트그리드
광고,광고
항공우주,항공우주
반도체-CXL,반도체cxl
전기차 부품,전기차부품
페라이트,페라이트
면역세포치료제,면역세포치료제
농업-농기계,농업농기계
서비스용 로봇,서비스용로봇
줄기세포치료제,줄기세포치료제
현대-기아차 부품주,현대기아차부품주
반도체-디스플레이-이송장비,반도체디스플레이이송장비
화학-정유,화학정유
5G-6G,5g6g
조선 기자재,조선기자재
엔진(조선-AI),엔진조선ai
광섬유-광케이블-광통신,광섬유광케이블광통신
전력설비,전력설비
수술용 로봇,수술용로봇
LNG선-기자재,lng선기자재
CRO,cro
조선,조선
로봇 부품,로봇부품
양자 기술,양자기술
전선-케이블,전선케이블
