target_id,large_sector,canonical_archetype,posture,eps_fcf,structural_visibility,bottleneck_pricing,market_mispricing,valuation,capital_allocation,information_confidence,stage1_signals,stage2_signals,stage3_conditions,stage4b_conditions,stage4c_conditions,green_conditions,red_flags,gate_only,production_scoring_changed,normalization_point
GOVERNMENT_STOCKPILE_REVENUE_GUIDANCE,POLICY_GEOPOLITICAL_EVENT,GOVERNMENT_STOCKPILE_REVENUE_GUIDANCE,WATCH_YELLOW_FIRST,16,15,8,11,8,0,5,stockpile_need|public_health_emergency|government_procurement_option|security_or_health_inventory,government_order|stockpile_contract|contract_value|guidance_raised_flag|ebitda_margin_guidance_change,repeat_procurement|non_event_revenue|fcf_conversion|budget_visibility,single_stockpile_contract_extrapolated|outbreak_stockpile_theme_crowded,contract_ends|funding_withdrawal|outbreak_normalization|government_purchase_end|inventory_build,stockpile_contract_flag|guidance_raised_flag|government_order_flag|contract_value|repeat_procurement,one_off_stockpile|procurement_uncertainty|funding_withdrawal|demand_normalization,false,false,"Government stockpile contracts are stronger than outbreak headlines when they lift revenue and margin guidance, but recurrence still matters."
PUBLIC_HEALTH_PROCUREMENT_REVERSAL,POLICY_GEOPOLITICAL_EVENT,PUBLIC_HEALTH_PROCUREMENT_REVERSAL,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,barda_or_cepi_funding|public_health_procurement|stockpile_program|vaccine_development_contract,contract_value|funding_amount|trial_stage|procurement_schedule,repeat_procurement|commercialization|fcf_conversion,disease_procurement_expectation_priced|policy_funding_assumed_permanent,government_contract_cancelled|funding_withdrawal|late_stage_trial_funding_gap|clinical_development_delay|procurement_policy_reversal,funding_secured|procurement_schedule|repeat_procurement|commercialization,government_contract_cancelled|funding_withdrawal|procurement_uncertainty|clinical_delay,true,false,Public-health procurement is a RedTeam gate because government funding can reverse before revenue becomes durable.
DIAGNOSTICS_INFECTIOUS_EVENT,POLICY_GEOPOLITICAL_EVENT,DIAGNOSTICS_INFECTIOUS_EVENT,REDTEAM_FIRST,19,5,5,5,5,0,5,diagnostic_test_demand|pandemic_or_outbreak_testing|test_kit_order,diagnostic_revenue_after_event|recurring_non_event_demand|margin_normalization,durable_testing_market|non_event_revenue_base|fcf_conversion,test_kit_rally_after_case_counts|diagnostic_margin_extrapolated,testing_demand_wane|diagnostic_sales_decline|guide_down|inventory_writeoff,non_event_revenue|recurring_testing_demand|margin_normalization|fcf_conversion,covid_like_one_off|sales_decline|guide_down|inventory,false,false,Diagnostic EPS spikes must be tested against post-event revenue normalization.
SPECULATIVE_SCIENCE_THEME,POLICY_GEOPOLITICAL_EVENT,SPECULATIVE_SCIENCE_THEME,REDTEAM_FIRST,5,4,5,5,5,0,3,preprint|lab_claim|sns_video|paper_keyword,independent_replication|peer_review_validation|customer_testing|commercial_product|contract_or_revenue,commercial_revenue|repeat_customer|eps_fcf_conversion,preprint_sns_rally|retail_theme_crowding|paper_to_price_gap,replication_failure|impurity_explanation|peer_review_failure|trading_warning,replication_success|commercial_product|customer_contract|revenue,replication_failure|no_commercial_product|preprint_only|sns_only,false,false,"Science-themes need independent validation, customers, products, and revenue before they become scoring evidence."
ADVANCED_MATERIAL_SPECULATIVE_THEME,POLICY_GEOPOLITICAL_EVENT,ADVANCED_MATERIAL_SPECULATIVE_THEME,REDTEAM_FIRST,7,6,6,8,6,0,3,mxene_or_graphene_claim|quantum_material_news|advanced_material_theme,technical_validation|pilot_customer|supply_contract|revenue_conversion,repeat_order|commercial_scale|margin_visibility,advanced_material_theme_crowding|paper_to_price_gap,validation_failure|no_customer|no_revenue|dilution_or_funding_need,technical_validation|pilot_customer|revenue_conversion|margin_visibility,paper_only|no_customer|no_revenue|funding_need,false,false,Advanced materials are Watch/Red until commercial validation exists.
POLICY_LOCAL_THEME,POLICY_GEOPOLITICAL_EVENT,POLICY_LOCAL_THEME,REDTEAM_FIRST,5,5,5,8,5,0,3,local_policy_headline|administrative_capital_theme|regional_development_policy,budget_approved|contract_awarded|construction_started|revenue_visibility,repeat_project_revenue|margin_visibility|fcf_conversion,local_policy_theme_rally|election_policy_crowding,policy_reversal|budget_cut|project_delay|no_company_exposure,budget_approved|contract_awarded|revenue_visibility|margin_visibility,budget_missing|policy_reversal|project_delay|no_exposure,false,false,"Local policy labels are routing data only until budget, contract, construction, or revenue exists."
TOURISM_POLICY_EVENT,POLICY_GEOPOLITICAL_EVENT,TOURISM_POLICY_EVENT,WATCH_YELLOW_FIRST,8,7,4,10,6,0,5,visa_policy_event|tourism_reopen|group_tour_policy|casino_dutyfree_hotel_basket,tourist_arrivals_after_policy|average_spend_after_policy|casino_drop_after_policy|duty_free_sales_after_policy|hotel_revpar_after_policy,opm_improvement|fcf_conversion|repeat_tourism_demand|policy_period_sustained_spend,tourism_policy_theme_rally|visa_policy_event_priced_before_spend,tourist_mix_weak|average_spend_disappoints|policy_ends|duty_free_sales_disappoint|casino_drop_disappoint,visitor_arrivals|average_spend|casino_drop_amount|duty_free_sales|hotel_revpar|opm_visibility,spend_missing|drop_amount_missing|policy_ends|opm_missing,false,false,"Visa and tourism policies are Stage 1 routing until spend, drop amount, duty-free sales, RevPAR, and OPM are verified."
INDUSTRIAL_POLICY_TARIFF_EVENT,POLICY_GEOPOLITICAL_EVENT,INDUSTRIAL_POLICY_TARIFF_EVENT,WATCH_YELLOW_FIRST,10,10,8,10,7,0,5,tariff_policy|subsidy_policy|import_restriction|industrial_policy_headline,actual_bill_or_rule|budget_allocated|company_contract|company_level_eps_impact,durable_policy_support|margin_visibility|revenue_recognition|fcf_conversion,tariff_or_subsidy_theme_crowded|policy_winner_priced_before_rule,tariff_reversal|subsidy_cut|retaliation|input_cost_increase|policy_delay,actual_rule|budget_allocated|company_eps_fcf_impact|margin_visibility,tariff_reversal|subsidy_cut|policy_delay|input_cost_risk,false,false,Industrial policy and tariff events are Watch because they can help or hurt depending on final rules and company exposure.
ONE_OFF_EVENT_DEMAND,POLICY_GEOPOLITICAL_EVENT,ONE_OFF_EVENT_DEMAND,REDTEAM_FIRST,8,5,5,6,5,0,4,temporary_shortage|event_demand_spike|emergency_purchase,short_term_order|reported_revenue_spike|margin_visible,recurrence_proven|post_event_revenue_base|fcf_conversion,event_demand_extrapolated|peak_margin_crowding,demand_normalization|one_off_purchase_end|asp_or_margin_drop,recurrence_proven|post_event_revenue_base|fcf_conversion,one_off_risk|normalization|purchase_end|margin_reversal,false,false,One-off event demand should normally remain Yellow/Red unless recurrence is proven.
EVENT_TO_CONTRACT_ESCALATION,POLICY_GEOPOLITICAL_EVENT,EVENT_TO_CONTRACT_ESCALATION,WATCH_YELLOW_FIRST,15,14,8,10,8,0,5,event_headline|disease_or_policy_or_rebuild_trigger|theme_price_move,actual_contract|government_order|project_financing|budget_allocated|construction_started,recurring_revenue|margin_visibility|eps_fcf_conversion|repeat_procurement,event_to_contract_rally|single_contract_extrapolated,contract_ends|no_follow_on_order|budget_delay|demand_normalization,actual_contract|budget_or_financing|revenue_recognized|margin_visibility,headline_only|contract_missing|budget_missing|revenue_missing,false,false,"Auxiliary diagnostic target for events that actually become contracts, budgets, orders, or financing."
POLICY_MARKET_SHOCK_EVENT,POLICY_GEOPOLITICAL_EVENT,POLICY_MARKET_SHOCK_EVENT,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,tax_policy_comment|citizen_dividend_comment|corporate_tax_uncertainty|market_wide_selloff,actual_bill|budget_plan|tax_rate_or_regulation_draft|company_level_eps_impact,company_eps_fcf_impact|policy_clarity|risk_premium_normalized,crowded_rally_ignores_policy_risk|tax_policy_uncertainty_priced_late,market_wide_policy_shock|valuation_risk_premium_spike|crowded_trade_unwind,company_eps_fcf_impact|policy_clarity|low_risk_premium,windfall_tax_comment|citizen_dividend_comment|corporate_tax_uncertainty|market_wide_selloff|government_clarification_needed,true,false,Policy/tax market shocks are RedTeam overlays until company-level EPS/FCF impact is measurable.
AI_WINDFALL_CITIZEN_DIVIDEND_POLICY_SHOCK,POLICY_GEOPOLITICAL_EVENT,AI_WINDFALL_CITIZEN_DIVIDEND_POLICY_SHOCK,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,ai_windfall_comment|citizen_dividend_comment|tax_or_redistribution_comment|market_wide_selloff,actual_bill|tax_rate_or_budget_plan|government_clarification|company_level_eps_impact,policy_clarity|company_eps_fcf_impact|risk_premium_normalized,crowded_ai_rally_ignores_policy_risk|policy_comment_hits_price_path,market_wide_policy_shock|valuation_risk_premium_spike|crowded_trade_unwind|government_clarification_needed,policy_clarity|company_level_eps_impact|risk_premium_normalized,windfall_tax_comment|citizen_dividend_comment|corporate_tax_uncertainty|market_wide_selloff,true,false,"AI windfall or citizen-dividend comments are price-path RedTeam overlays, not company cash-flow evidence."
THEME_VALUATION_OVERHEAT,POLICY_GEOPOLITICAL_EVENT,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,price_only_rally|theme_keyword_spike|retail_crowding,real_estimate_or_contract_needed,normally_blocked_without_eps_fcf,valuation_saturation|price_blowoff|crowded_reports,estimate_cut|accounting_or_trust_issue|dilution|theme_unwind,cross_evidence|eps_fcf_path|redteam_low,price_only|crowding|no_cash_flow|dilution,true,false,This is a RedTeam overlay. It gates unsafe Green rather than adding positive score.
DISCLOSURE_CONFIDENCE_CAP,POLICY_GEOPOLITICAL_EVENT,DISCLOSURE_CONFIDENCE_CAP,REDTEAM_FIRST,cap,cap,cap,cap,cap,cap,+,budget_headline|contract_headline|reconstruction_headline|procurement_headline,detail_fetch_required|source_detail_confidence_checked,stage3_cap_until_budget_contract_order_or_construction_detail_verified,headline_priced_before_budget_contract_detail,budget_detail_missing|contract_value_missing|order_detail_missing|construction_start_missing|disclosure_confidence_low,,budget_detail_missing|contract_detail_missing|order_detail_missing|construction_start_missing|parser_confidence_low,false,false,"R11 event headlines cap Stage 3 until budget, contract, order, construction-start, and parser-confidence details are verified."
