theme_tag,large_sector,primary_sub_archetype,canonical_archetype,posture,theme_is_score_input,must_have_evidence,red_flags
전고체 배터리,BATTERY_EV_GREEN,BATTERY_RECYCLING_ESS_SHIFT,BATTERY_MATERIALS_CAPEX_OVERHEAT,WATCH_YELLOW_FIRST,false,ess_demand|recycling_volume|utilization_improvement|fcf_after_capex,ev_headline_only|mineral_price_dependency|recycling_volume_absent|margin_unclear
리튬,BATTERY_EV_GREEN,BATTERY_RECYCLING_ESS_SHIFT,BATTERY_MATERIALS_CAPEX_OVERHEAT,WATCH_YELLOW_FIRST,false,ess_demand|recycling_volume|utilization_improvement|fcf_after_capex,ev_headline_only|mineral_price_dependency|recycling_volume_absent|margin_unclear
ESS,BATTERY_EV_GREEN,BATTERY_RECYCLING_ESS_SHIFT,BATTERY_MATERIALS_CAPEX_OVERHEAT,WATCH_YELLOW_FIRST,false,ess_demand|recycling_volume|utilization_improvement|fcf_after_capex,ev_headline_only|mineral_price_dependency|recycling_volume_absent|margin_unclear
전기차 화재,BATTERY_EV_GREEN,BATTERY_RECYCLING_ESS_SHIFT,BATTERY_MATERIALS_CAPEX_OVERHEAT,WATCH_YELLOW_FIRST,false,ess_demand|recycling_volume|utilization_improvement|fcf_after_capex,ev_headline_only|mineral_price_dependency|recycling_volume_absent|margin_unclear
수소차 연료전지,BATTERY_EV_GREEN,HYDROGEN_FUEL_CELL_INFRA,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,false,actual_capex|production_capacity|customer_demand|op_eps_conversion,policy_only|no_customer|no_revenue|utilization_down
수소차 인프라,BATTERY_EV_GREEN,HYDROGEN_FUEL_CELL_INFRA,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,false,actual_capex|production_capacity|customer_demand|op_eps_conversion,policy_only|no_customer|no_revenue|utilization_down
수소차 기타부품,BATTERY_EV_GREEN,HYDROGEN_FUEL_CELL_INFRA,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,false,actual_capex|production_capacity|customer_demand|op_eps_conversion,policy_only|no_customer|no_revenue|utilization_down
LNG 발전유통,BATTERY_EV_GREEN,HYDROGEN_FUEL_CELL_INFRA,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,false,actual_capex|production_capacity|customer_demand|op_eps_conversion,policy_only|no_customer|no_revenue|utilization_down
태양광,BATTERY_EV_GREEN,RENEWABLE_ENERGY_POLICY,UTILITIES_REGULATED_TARIFF,WATCH_YELLOW_FIRST,false,project_backlog|policy_support|utilization|margin_visibility,policy_dependency|module_oversupply|tariff_risk|subsidy_cut
풍력,BATTERY_EV_GREEN,RENEWABLE_ENERGY_POLICY,UTILITIES_REGULATED_TARIFF,WATCH_YELLOW_FIRST,false,project_backlog|policy_support|utilization|margin_visibility,policy_dependency|module_oversupply|tariff_risk|subsidy_cut
탄소배출권,BATTERY_EV_GREEN,RENEWABLE_ENERGY_POLICY,UTILITIES_REGULATED_TARIFF,WATCH_YELLOW_FIRST,false,project_backlog|policy_support|utilization|margin_visibility,policy_dependency|module_oversupply|tariff_risk|subsidy_cut
스마트그리드,BATTERY_EV_GREEN,RENEWABLE_ENERGY_POLICY,UTILITIES_REGULATED_TARIFF,WATCH_YELLOW_FIRST,false,project_backlog|policy_support|utilization|margin_visibility,policy_dependency|module_oversupply|tariff_risk|subsidy_cut
ESS/BESS,BATTERY_EV_GREEN,RENEWABLE_ENERGY_POLICY,UTILITIES_REGULATED_TARIFF,WATCH_YELLOW_FIRST,false,project_backlog|policy_support|utilization|margin_visibility,policy_dependency|module_oversupply|tariff_risk|subsidy_cut
타이어,MOBILITY_TRANSPORT_LEISURE,TIRE_AUTO_COMPONENT_SPREAD,AUTO_MOBILITY_COMPONENTS,WATCH_YELLOW_FIRST,false,customer_diversification|opm_improvement|raw_material_spread|repeat_supply_visibility,single_customer_dependency|ev_demand_slowdown|factory_fire|recall_quality_cost
현대·기아차 부품주,MOBILITY_TRANSPORT_LEISURE,TIRE_AUTO_COMPONENT_SPREAD,AUTO_MOBILITY_COMPONENTS,WATCH_YELLOW_FIRST,false,customer_diversification|opm_improvement|raw_material_spread|repeat_supply_visibility,single_customer_dependency|ev_demand_slowdown|factory_fire|recall_quality_cost
자동차 경량화,MOBILITY_TRANSPORT_LEISURE,TIRE_AUTO_COMPONENT_SPREAD,AUTO_MOBILITY_COMPONENTS,WATCH_YELLOW_FIRST,false,customer_diversification|opm_improvement|raw_material_spread|repeat_supply_visibility,single_customer_dependency|ev_demand_slowdown|factory_fire|recall_quality_cost
자율주행,MOBILITY_TRANSPORT_LEISURE,TIRE_AUTO_COMPONENT_SPREAD,AUTO_MOBILITY_COMPONENTS,WATCH_YELLOW_FIRST,false,customer_diversification|opm_improvement|raw_material_spread|repeat_supply_visibility,single_customer_dependency|ev_demand_slowdown|factory_fire|recall_quality_cost
카메라,MOBILITY_TRANSPORT_LEISURE,TIRE_AUTO_COMPONENT_SPREAD,AUTO_MOBILITY_COMPONENTS,WATCH_YELLOW_FIRST,false,customer_diversification|opm_improvement|raw_material_spread|repeat_supply_visibility,single_customer_dependency|ev_demand_slowdown|factory_fire|recall_quality_cost
CMO,BIOTECH_HEALTHCARE_DEVICE,CDMO_HEALTHCARE_CONTRACT,CDMO_HEALTHCARE_CONTRACT,GREEN_POSSIBLE,false,multi_year_production_visibility|capacity_utilization|customer_diversification|fcf_conversion,capacity_overbuild|customer_concentration|litigation|price_competition
원료의약품,BIOTECH_HEALTHCARE_DEVICE,CDMO_HEALTHCARE_CONTRACT,CDMO_HEALTHCARE_CONTRACT,GREEN_POSSIBLE,false,multi_year_production_visibility|capacity_utilization|customer_diversification|fcf_conversion,capacity_overbuild|customer_concentration|litigation|price_competition
바이오시밀러,BIOTECH_HEALTHCARE_DEVICE,CDMO_HEALTHCARE_CONTRACT,CDMO_HEALTHCARE_CONTRACT,GREEN_POSSIBLE,false,multi_year_production_visibility|capacity_utilization|customer_diversification|fcf_conversion,capacity_overbuild|customer_concentration|litigation|price_competition
CRO,BIOTECH_HEALTHCARE_DEVICE,CDMO_HEALTHCARE_CONTRACT,CDMO_HEALTHCARE_CONTRACT,GREEN_POSSIBLE,false,multi_year_production_visibility|capacity_utilization|customer_diversification|fcf_conversion,capacity_overbuild|customer_concentration|litigation|price_competition
임상시험수탁,BIOTECH_HEALTHCARE_DEVICE,CDMO_HEALTHCARE_CONTRACT,CDMO_HEALTHCARE_CONTRACT,GREEN_POSSIBLE,false,multi_year_production_visibility|capacity_utilization|customer_diversification|fcf_conversion,capacity_overbuild|customer_concentration|litigation|price_competition
클라우드 컴퓨팅,PLATFORM_CONTENT_SW_SECURITY,PLATFORM_SOFTWARE_INTERNET,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,false,recurring_revenue|arpu|take_rate|opm_leverage,mau_without_monetization|ai_cost_overrun|regulatory_risk|governance_risk
원격근무,PLATFORM_CONTENT_SW_SECURITY,PLATFORM_SOFTWARE_INTERNET,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,false,recurring_revenue|arpu|take_rate|opm_leverage,mau_without_monetization|ai_cost_overrun|regulatory_risk|governance_risk
컨택센터,PLATFORM_CONTENT_SW_SECURITY,PLATFORM_SOFTWARE_INTERNET,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,false,recurring_revenue|arpu|take_rate|opm_leverage,mau_without_monetization|ai_cost_overrun|regulatory_risk|governance_risk
광고,PLATFORM_CONTENT_SW_SECURITY,PLATFORM_SOFTWARE_INTERNET,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,false,recurring_revenue|arpu|take_rate|opm_leverage,mau_without_monetization|ai_cost_overrun|regulatory_risk|governance_risk
AI 소프트웨어,PLATFORM_CONTENT_SW_SECURITY,PLATFORM_SOFTWARE_INTERNET,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,false,recurring_revenue|arpu|take_rate|opm_leverage,mau_without_monetization|ai_cost_overrun|regulatory_risk|governance_risk
IT보안,PLATFORM_CONTENT_SW_SECURITY,SECURITY_IDENTITY_DEEPFAKE,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,false,recurring_contract|security_demand|opm_leverage|legal_risk_low,theme_only_security|no_recurring_revenue|budget_cut|ai_cost_overrun
딥페이크,PLATFORM_CONTENT_SW_SECURITY,SECURITY_IDENTITY_DEEPFAKE,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,false,recurring_contract|security_demand|opm_leverage|legal_risk_low,theme_only_security|no_recurring_revenue|budget_cut|ai_cost_overrun
생체인식,PLATFORM_CONTENT_SW_SECURITY,SECURITY_IDENTITY_DEEPFAKE,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,false,recurring_contract|security_demand|opm_leverage|legal_risk_low,theme_only_security|no_recurring_revenue|budget_cut|ai_cost_overrun
CCTV,PLATFORM_CONTENT_SW_SECURITY,SECURITY_IDENTITY_DEEPFAKE,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,false,recurring_contract|security_demand|opm_leverage|legal_risk_low,theme_only_security|no_recurring_revenue|budget_cut|ai_cost_overrun
스마트홈,PLATFORM_CONTENT_SW_SECURITY,SECURITY_IDENTITY_DEEPFAKE,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,false,recurring_contract|security_demand|opm_leverage|legal_risk_low,theme_only_security|no_recurring_revenue|budget_cut|ai_cost_overrun
피지컬AI,PLATFORM_CONTENT_SW_SECURITY,ROBOTICS_FACTORY_AUTOMATION,ROBOTICS_FACTORY_AUTOMATION,WATCH_YELLOW_FIRST,false,customer_adoption|revenue_conversion|opm_improvement|repeat_revenue,tam_only|mou_poc_only|no_revenue|high_valuation_ipo
휴머노이드,PLATFORM_CONTENT_SW_SECURITY,ROBOTICS_FACTORY_AUTOMATION,ROBOTICS_FACTORY_AUTOMATION,WATCH_YELLOW_FIRST,false,customer_adoption|revenue_conversion|opm_improvement|repeat_revenue,tam_only|mou_poc_only|no_revenue|high_valuation_ipo
제조용 로봇,PLATFORM_CONTENT_SW_SECURITY,ROBOTICS_FACTORY_AUTOMATION,ROBOTICS_FACTORY_AUTOMATION,WATCH_YELLOW_FIRST,false,customer_adoption|revenue_conversion|opm_improvement|repeat_revenue,tam_only|mou_poc_only|no_revenue|high_valuation_ipo
서비스용 로봇,PLATFORM_CONTENT_SW_SECURITY,ROBOTICS_FACTORY_AUTOMATION,ROBOTICS_FACTORY_AUTOMATION,WATCH_YELLOW_FIRST,false,customer_adoption|revenue_conversion|opm_improvement|repeat_revenue,tam_only|mou_poc_only|no_revenue|high_valuation_ipo
수술용 로봇,PLATFORM_CONTENT_SW_SECURITY,ROBOTICS_FACTORY_AUTOMATION,ROBOTICS_FACTORY_AUTOMATION,WATCH_YELLOW_FIRST,false,customer_adoption|revenue_conversion|opm_improvement|repeat_revenue,tam_only|mou_poc_only|no_revenue|high_valuation_ipo
스마트팩토리,PLATFORM_CONTENT_SW_SECURITY,ROBOTICS_FACTORY_AUTOMATION,ROBOTICS_FACTORY_AUTOMATION,WATCH_YELLOW_FIRST,false,customer_adoption|revenue_conversion|opm_improvement|repeat_revenue,tam_only|mou_poc_only|no_revenue|high_valuation_ipo
대형 건설사,CONSTRUCTION_REAL_ESTATE_MATERIALS,CONSTRUCTION_REAL_ESTATE_CREDIT,CONSTRUCTION_REAL_ESTATE_CREDIT,REDTEAM_FIRST,false,pf_exposure_clean|cash_flow|credit_risk_resolved|cost_ratio_stability,pf_stress|liquidity_support_dependency|cost_inflation|unsold_inventory
중소형 건설사,CONSTRUCTION_REAL_ESTATE_MATERIALS,CONSTRUCTION_REAL_ESTATE_CREDIT,CONSTRUCTION_REAL_ESTATE_CREDIT,REDTEAM_FIRST,false,pf_exposure_clean|cash_flow|credit_risk_resolved|cost_ratio_stability,pf_stress|liquidity_support_dependency|cost_inflation|unsold_inventory
부동산 자산 보유,CONSTRUCTION_REAL_ESTATE_MATERIALS,CONSTRUCTION_REAL_ESTATE_CREDIT,CONSTRUCTION_REAL_ESTATE_CREDIT,REDTEAM_FIRST,false,pf_exposure_clean|cash_flow|credit_risk_resolved|cost_ratio_stability,pf_stress|liquidity_support_dependency|cost_inflation|unsold_inventory
개발신탁리츠,CONSTRUCTION_REAL_ESTATE_MATERIALS,CONSTRUCTION_REAL_ESTATE_CREDIT,CONSTRUCTION_REAL_ESTATE_CREDIT,REDTEAM_FIRST,false,pf_exposure_clean|cash_flow|credit_risk_resolved|cost_ratio_stability,pf_stress|liquidity_support_dependency|cost_inflation|unsold_inventory
건자재,CONSTRUCTION_REAL_ESTATE_MATERIALS,BUILDING_MATERIALS_CYCLE,COMMODITY_SPREAD,REDTEAM_FIRST,false,price_hike|shipment_volume|cost_spread|housing_cycle,pf_stress|housing_slowdown|cost_inflation|price_hike_failure
시멘트,CONSTRUCTION_REAL_ESTATE_MATERIALS,BUILDING_MATERIALS_CYCLE,COMMODITY_SPREAD,REDTEAM_FIRST,false,price_hike|shipment_volume|cost_spread|housing_cycle,pf_stress|housing_slowdown|cost_inflation|price_hike_failure
레미콘,CONSTRUCTION_REAL_ESTATE_MATERIALS,BUILDING_MATERIALS_CYCLE,COMMODITY_SPREAD,REDTEAM_FIRST,false,price_hike|shipment_volume|cost_spread|housing_cycle,pf_stress|housing_slowdown|cost_inflation|price_hike_failure
콘크리트,CONSTRUCTION_REAL_ESTATE_MATERIALS,BUILDING_MATERIALS_CYCLE,COMMODITY_SPREAD,REDTEAM_FIRST,false,price_hike|shipment_volume|cost_spread|housing_cycle,pf_stress|housing_slowdown|cost_inflation|price_hike_failure
철근,CONSTRUCTION_REAL_ESTATE_MATERIALS,BUILDING_MATERIALS_CYCLE,COMMODITY_SPREAD,REDTEAM_FIRST,false,price_hike|shipment_volume|cost_spread|housing_cycle,pf_stress|housing_slowdown|cost_inflation|price_hike_failure
거푸집,CONSTRUCTION_REAL_ESTATE_MATERIALS,BUILDING_MATERIALS_CYCLE,COMMODITY_SPREAD,REDTEAM_FIRST,false,price_hike|shipment_volume|cost_spread|housing_cycle,pf_stress|housing_slowdown|cost_inflation|price_hike_failure
가구,CONSTRUCTION_REAL_ESTATE_MATERIALS,BUILDING_MATERIALS_CYCLE,COMMODITY_SPREAD,REDTEAM_FIRST,false,price_hike|shipment_volume|cost_spread|housing_cycle,pf_stress|housing_slowdown|cost_inflation|price_hike_failure
엠폭스,POLICY_GEOPOLITICAL_EVENT,EVENT_DISEASE_PEST_DEMAND,ONE_OFF_EVENT_DEMAND,REDTEAM_FIRST,false,recurring_non_event_demand|post_event_revenue|margin_normalization,one_off_demand|inventory_build|guidance_down|demand_cliff
코로나19,POLICY_GEOPOLITICAL_EVENT,EVENT_DISEASE_PEST_DEMAND,ONE_OFF_EVENT_DEMAND,REDTEAM_FIRST,false,recurring_non_event_demand|post_event_revenue|margin_normalization,one_off_demand|inventory_build|guidance_down|demand_cliff
전염병 진단,POLICY_GEOPOLITICAL_EVENT,EVENT_DISEASE_PEST_DEMAND,ONE_OFF_EVENT_DEMAND,REDTEAM_FIRST,false,recurring_non_event_demand|post_event_revenue|margin_normalization,one_off_demand|inventory_build|guidance_down|demand_cliff
동물백신,POLICY_GEOPOLITICAL_EVENT,EVENT_DISEASE_PEST_DEMAND,ONE_OFF_EVENT_DEMAND,REDTEAM_FIRST,false,recurring_non_event_demand|post_event_revenue|margin_normalization,one_off_demand|inventory_build|guidance_down|demand_cliff
빈대퇴치,POLICY_GEOPOLITICAL_EVENT,EVENT_DISEASE_PEST_DEMAND,ONE_OFF_EVENT_DEMAND,REDTEAM_FIRST,false,recurring_non_event_demand|post_event_revenue|margin_normalization,one_off_demand|inventory_build|guidance_down|demand_cliff
황사마스크,POLICY_GEOPOLITICAL_EVENT,EVENT_DISEASE_PEST_DEMAND,ONE_OFF_EVENT_DEMAND,REDTEAM_FIRST,false,recurring_non_event_demand|post_event_revenue|margin_normalization,one_off_demand|inventory_build|guidance_down|demand_cliff
초전도체,POLICY_GEOPOLITICAL_EVENT,SPECULATIVE_SCIENCE_THEME,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,false,commercial_contract|revenue_conversion|verified_product,paper_only|relatedness_unclear|price_only_rally|commercialization_failure
맥신,POLICY_GEOPOLITICAL_EVENT,SPECULATIVE_SCIENCE_THEME,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,false,commercial_contract|revenue_conversion|verified_product,paper_only|relatedness_unclear|price_only_rally|commercialization_failure
그래핀,POLICY_GEOPOLITICAL_EVENT,SPECULATIVE_SCIENCE_THEME,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,false,commercial_contract|revenue_conversion|verified_product,paper_only|relatedness_unclear|price_only_rally|commercialization_failure
양자 기술,POLICY_GEOPOLITICAL_EVENT,SPECULATIVE_SCIENCE_THEME,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,false,commercial_contract|revenue_conversion|verified_product,paper_only|relatedness_unclear|price_only_rally|commercialization_failure
페라이트,POLICY_GEOPOLITICAL_EVENT,SPECULATIVE_SCIENCE_THEME,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,false,commercial_contract|revenue_conversion|verified_product,paper_only|relatedness_unclear|price_only_rally|commercialization_failure
스페이스X 관련주,POLICY_GEOPOLITICAL_EVENT,SPECULATIVE_SCIENCE_THEME,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,false,commercial_contract|revenue_conversion|verified_product,paper_only|relatedness_unclear|price_only_rally|commercialization_failure
양돈주,EDUCATION_LIFE_AGRI_MISC,AGRI_LIVESTOCK_FOOD_COMMODITY,COMMODITY_SPREAD,REDTEAM_FIRST,false,price_pass_through|feed_cost|inventory_status|op_eps_revision,disease_event_only|feed_cost_squeeze|commodity_reversal|weather_theme
육계주,EDUCATION_LIFE_AGRI_MISC,AGRI_LIVESTOCK_FOOD_COMMODITY,COMMODITY_SPREAD,REDTEAM_FIRST,false,price_pass_through|feed_cost|inventory_status|op_eps_revision,disease_event_only|feed_cost_squeeze|commodity_reversal|weather_theme
배합사료,EDUCATION_LIFE_AGRI_MISC,AGRI_LIVESTOCK_FOOD_COMMODITY,COMMODITY_SPREAD,REDTEAM_FIRST,false,price_pass_through|feed_cost|inventory_status|op_eps_revision,disease_event_only|feed_cost_squeeze|commodity_reversal|weather_theme
대두,EDUCATION_LIFE_AGRI_MISC,AGRI_LIVESTOCK_FOOD_COMMODITY,COMMODITY_SPREAD,REDTEAM_FIRST,false,price_pass_through|feed_cost|inventory_status|op_eps_revision,disease_event_only|feed_cost_squeeze|commodity_reversal|weather_theme
농기계,EDUCATION_LIFE_AGRI_MISC,AGRI_LIVESTOCK_FOOD_COMMODITY,COMMODITY_SPREAD,REDTEAM_FIRST,false,price_pass_through|feed_cost|inventory_status|op_eps_revision,disease_event_only|feed_cost_squeeze|commodity_reversal|weather_theme
스마트팜,EDUCATION_LIFE_AGRI_MISC,AGRI_LIVESTOCK_FOOD_COMMODITY,COMMODITY_SPREAD,REDTEAM_FIRST,false,price_pass_through|feed_cost|inventory_status|op_eps_revision,disease_event_only|feed_cost_squeeze|commodity_reversal|weather_theme
참치 원양어업,EDUCATION_LIFE_AGRI_MISC,AGRI_LIVESTOCK_FOOD_COMMODITY,COMMODITY_SPREAD,REDTEAM_FIRST,false,price_pass_through|feed_cost|inventory_status|op_eps_revision,disease_event_only|feed_cost_squeeze|commodity_reversal|weather_theme
