target_id,large_sector,canonical_archetype,posture,eps_fcf,structural_visibility,bottleneck_pricing,market_mispricing,valuation,capital_allocation,information_confidence,stage1_signals,stage2_signals,stage3_conditions,stage4b_conditions,stage4c_conditions,green_conditions,red_flags,loop10_penalty_axes,hard_gate,production_scoring_changed,normalization_point
CUSTOM_AI_ASIC_MARGIN_CONCENTRATION,AI_SEMICONDUCTOR_ELECTRONICS,CUSTOM_AI_ASIC_MARGIN_CONCENTRATION,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,single_hyperscaler_dependency|custom_chip_low_margin|startup_customer_exposure|asic_project_delay,concentration_risk_detected|custom_chip_margin_unverified|customer_credit_risk_detected,not_applicable_gate_only,custom_ai_asic_visibility_overstated|customer_concentration_ignored,customer_project_delay|customer_loss|margin_miss|startup_customer_default|tsmc_capacity_loss,,customer_concentration|custom_chip_margin_pressure|startup_customer_risk_flag|customer_project_delay,customer_concentration|margin|startup_credit|project_delay,true,false,"Custom ASIC revenue is not HBM-like visibility if customer concentration, lower margin, or startup credit risk dominates."
ADVANCED_PACKAGING_COWOS_EMIB,AI_SEMICONDUCTOR_ELECTRONICS,ADVANCED_PACKAGING_COWOS_EMIB,GREEN_POSSIBLE,22,21,20,14,10,0,5,cowos_s_l|emib|interposer|hbm_gpu_package_bottleneck,packaging_order|lead_time_extended|capacity_shortage|yield_progress,packaging_revenue_growth|op_eps_revision|bottleneck_frame_confirmed,cowos_capacity_fourfold|packaging_consensus_crowded|capacity_expansion,bottleneck_easing|yield_issue|customer_capex_delay,packaging_bottleneck|revenue_growth|op_eps_revision|customer_visibility,bottleneck_normalization|yield_issue|customer_capex_delay,capacity_normalization|yield|capex_cycle,false,false,CoWoS/EMIB stays Green-capable when packaging bottleneck converts into revenue and EPS.
ADVANCED_PACKAGING_PCB,AI_SEMICONDUCTOR_ELECTRONICS,ADVANCED_PACKAGING_PCB,WATCH_YELLOW_FIRST,21,21,19,13,10,0,5,ai_server_pcb|high_layer_pcb|optical_transceiver_pcb|glass_substrate_keyword,pcb_lead_time_extended|order_visibility|capacity_constraint|op_eps_revision,pcb_revenue_conversion|pricing_power|customer_diversification,pcb_theme_crowded|new_capacity|lead_time_normalization,inventory_build|customer_order_delay|yield_issue|theme_without_order,order_visibility|capacity_constraint|op_eps_revision|pricing_power,theme_without_revenue|lead_time_normalization|inventory_build,lead_time_normalization|customer_concentration|inventory,false,false,"AI server PCB can be strong, but glass/CXL substrate keywords are not revenue evidence by themselves."
OPTICAL_NETWORKING_AI_DATACENTER,AI_SEMICONDUCTOR_ELECTRONICS,OPTICAL_NETWORKING_AI_DATACENTER,GREEN_POSSIBLE,22,22,20,12,8,3,8,800g_1_6t_transceiver|laser_supply_constraint|silicon_photonics|ai_datacenter_network,hyperscaler_contract|lead_time_6_weeks_to_6_months|order_visibility,long_term_contract|op_eps_revision|optical_bottleneck_confirmed,optical_pcb_crowded|new_capacity|lead_time_normalization,lead_time_normalization|customer_capex_delay|order_cancellation,hyperscaler_contract|lead_time_extended|op_eps_revision|capacity_constraint,lead_time_normalization|new_capacity|customer_capex_delay,lead_time_normalization|customer_concentration|valuation_crowding,false,false,"Broadcom-style optical/PCB lead-time expansion strengthens this axis, but normalization is a 4B/4C field."
AI_NETWORKING_SWITCHING_INFRA,AI_SEMICONDUCTOR_ELECTRONICS,AI_NETWORKING_SWITCHING_INFRA,WATCH_YELLOW_FIRST,23,22,18,12,8,6,8,ai_datacenter_networking|ethernet_ai_fabric|hyperscaler_switching|ai_infrastructure_orders,ai_networking_orders|hyperscaler_order_value|data_center_switching_order_growth|guidance_raise,orders_to_recurring_revenue|opm_conversion|fcf_conversion|customer_lock_in,ai_networking_narrative_crowded|switching_order_fully_priced|legacy_drag_ignored,hyperscaler_order_delay|legacy_networking_drag|restructuring_cost|margin_miss,ai_networking_orders|guidance_raise|opm_conversion|fcf_conversion,hyperscaler_concentration|legacy_mix|restructuring_cost|order_delay,hyperscaler_concentration|legacy_mix|restructuring|order_delay,false,false,"Cisco-style AI networking orders can support Stage 2, but orders must convert into margin, FCF, and repeat revenue before Green."
PHOTONICS_AI_DATACENTER_CHIPS,AI_SEMICONDUCTOR_ELECTRONICS,PHOTONICS_AI_DATACENTER_CHIPS,WATCH_YELLOW_FIRST,20,22,19,12,8,3,8,silicon_photonics|light_based_data_transfer|ai_datacenter_interconnect|photonics_chip_contract,photonics_chip_contract_value|photonics_delivery_year|customer_name|product_use_case,revenue_recognition|opm_conversion|fcf_conversion|customer_diversification,photonics_theme_crowded|contract_priced_before_delivery,delivery_delay|customer_cancellation|yield_issue|margin_miss,contract_value|delivery_schedule|revenue_recognition|margin_visible,customer_concentration|delivery_delay|margin_unverified|yield_issue,customer_concentration|delivery_delay|yield|margin_unverified,false,false,"Tower-style photonics chip deals are Stage 2 when amount and delivery are known; Stage 3 needs revenue, margin, FCF, and customer diversity."
AI_SERVER_ODM_EMS_SUPPLY_CHAIN,AI_SEMICONDUCTOR_ELECTRONICS,AI_SERVER_ODM_EMS_SUPPLY_CHAIN,WATCH_YELLOW_FIRST,22,18,12,12,7,5,8,ai_server_rack_demand|odm_ems_keyword|server_shipment_growth,ai_server_revenue_mix|rack_shipments|capex_growth|op_eps_revision,ai_server_mix_changes_eps_fcf|margin_stability|customer_diversification|working_capital_control,ai_server_revenue_crowded|inventory_growth|low_margin_ignored,accounting_issue|auditor_resignation|low_margin|inventory_build|customer_concentration,ai_server_revenue_mix|op_eps_revision|margin_stability|inventory_quality,low_margin|consignment_model|inventory_growth|accounting_issue|customer_concentration,low_margin|consignment|inventory|accounting|customer_concentration,false,false,"Foxconn-style rack growth is real revenue evidence, but low margin and consignment economics limit Green."
NEOCLOUD_GPU_RENTAL,AI_SEMICONDUCTOR_ELECTRONICS,NEOCLOUD_GPU_RENTAL,WATCH_YELLOW_FIRST,16,22,15,12,4,2,8,large_gpu_cloud_contract|take_or_pay_contract|gpu_rental_revenue,contract_backlog|revenue_growth|ebitda_improvement|customer_contract,fcf_conversion|debt_to_ebitda_stable|customer_diversification|gpu_depreciation_control,ai_cloud_valuation_overheat|gpu_debt_multiple|ipo_premium,refinancing_pressure|gpu_obsolescence|customer_concentration|fcf_negative|delivery_issue,take_or_pay_backlog|fcf_conversion|debt_stabilization|customer_diversification,high_debt|fcf_negative|gpu_depreciation|customer_concentration|delivery_issue,high_debt|gpu_depreciation|fcf_negative|refinancing|customer_concentration,false,false,"CoreWeave-like neocloud has contract visibility, but debt, FCF, depreciation, and concentration block Green."
AI_DATA_CENTER_COOLING,AI_SEMICONDUCTOR_ELECTRONICS,AI_DATA_CENTER_COOLING,GREEN_POSSIBLE,20,20,18,12,6,3,8,liquid_cooling|direct_to_chip|immersion_cooling|thermal_management,strategic_cooling_customer|cooling_revenue|capacity_constraint|mna_visibility,order_to_revenue_conversion|op_eps_revision|service_revenue|thermal_bottleneck_confirmed,cooling_mna_valuation_crowded|mna_multiple_expansion,ai_capex_delay|mna_overpay|debt_financing|eps_accretion_delay|integration_risk,data_center_customer|thermal_bottleneck|orders|op_eps_revision,mna_overpay|debt_financing|customer_capex_delay|eps_accretion_delay,mna_overpay|debt|ai_capex_delay,false,false,"AI cooling is Green-capable, but CoolIT-style M&A price and EPS accretion timing need validation."
AI_CHIP_FABRIC_INFRA,AI_SEMICONDUCTOR_ELECTRONICS,AI_CHIP_FABRIC_INFRA,WATCH_YELLOW_FIRST,17,14,12,14,9,0,5,custom_asic|tapeout|foundry_yield|domestic_ai_chip,customer_validation|mass_production_plan|foundry_progress,revenue_conversion|gross_margin_visible|repeat_customer,ai_chip_theme_crowded|mou_or_ipo_premium,tapeout_delay|yield_failure|no_revenue|customer_loss,customer_validation|mass_production|revenue_conversion,mou_only|no_revenue|yield_issue|theme_only,customer_validation_missing|yield|no_revenue,false,false,"CXL, glass substrate, neuromorphic, and AI chip tags remain Watch/Red until adoption and revenue are real."
AI_ACCELERATOR_CHIP_PUREPLAY,AI_SEMICONDUCTOR_ELECTRONICS,AI_ACCELERATOR_CHIP_PUREPLAY,WATCH_YELLOW_FIRST,14,14,10,12,3,1,8,ai_accelerator_ipo|nvidia_competition_keyword|wafer_scale_engine,named_customer|commercial_revenue|gross_margin_visible,repeat_customer|software_ecosystem|eps_or_fcf_path,pureplay_valuation_overheat|nvidia_competition_ignored,customer_loss|no_revenue|valuation_compression|funding_need,named_customer|commercial_revenue|gross_margin_visible,valuation_overheat|no_revenue|funding_need,nvidia_competition|valuation_overheat|rd_burn,false,false,"AI accelerator pure-play needs named customers, revenue, margin, and ecosystem before conviction."
DISPLAY_OLED_SUPPLYCHAIN,AI_SEMICONDUCTOR_ELECTRONICS,DISPLAY_OLED_SUPPLYCHAIN,WATCH_YELLOW_FIRST,19,18,12,13,11,0,5,oled_capex|display_customer_capex|lcd_to_oled_shift,panel_capex_order|material_volume_ramp|margin_visible,multi_customer_oled_ramp|op_eps_revision|cycle_risk_controlled,display_capex_crowded|panel_capex_peak,panel_capex_delay|price_pressure|customer_cut,panel_capex_order|volume_ramp|margin_visible,capex_cycle|single_customer|panel_delay,capex_cycle|price_competition|customer_concentration,false,false,"OLED stays cyclical Watch unless volume ramp, margin, and multiple customers are verified."
ELECTRONIC_COMPONENTS_MLCC_SENSOR,AI_SEMICONDUCTOR_ELECTRONICS,ELECTRONIC_COMPONENTS_MLCC_SENSOR,WATCH_YELLOW_FIRST,19,17,13,12,11,1,5,mlcc_sensor_camera_keyword|smartphone_parts_recovery|content_growth,customer_diversification|content_per_device_growth|margin_improvement,recurring_component_growth|op_eps_revision|inventory_normalization,component_cycle_crowded|smartphone_recovery_fully_priced,inventory_build|customer_cut|asp_pressure|china_supply_chain_pressure,content_growth|customer_diversification|margin_improvement,inventory_build|customer_cut|asp_pressure,inventory|customer_concentration|china_supply_chain,false,false,"Components need inventory discipline and content/customer diversification, not only AI-adjacent keywords."
REDTEAM_ACCOUNTING_TRUST_OVERLAY,AI_SEMICONDUCTOR_ELECTRONICS,REDTEAM_ACCOUNTING_TRUST_OVERLAY,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,auditor_resignation|filing_delay|internal_control_issue|related_party_transaction,trust_event_detected,not_applicable_gate_only,not_applicable_gate_only,auditor_resignation|filing_delay|internal_control_weakness|doj_sec_investigation|related_party_transaction,,auditor_resignation|filing_delay|internal_control_weakness|doj_sec_investigation|related_party_transaction,auditor_resignation|filing_delay|internal_control_weakness,true,false,"Supermicro-style accounting trust break is a hard 4C gate, not a score bucket."
AI_CAPEX_CROWDING_OVERLAY,AI_SEMICONDUCTOR_ELECTRONICS,AI_CAPEX_CROWDING_OVERLAY,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,ai_capex_consensus_crowded|price_only_ai_rally|universal_bullish_reports,4b_watch_triggered,not_applicable_overlay,price_multiple_expansion|revision_slowdown|capacity_normalization|hyperscaler_capex_peak,customer_capex_cut|order_pushout|lead_time_normalization|guidance_down,,revision_slowdown|capacity_normalization|customer_capex_cut|order_pushout,crowding|capex_peak|capacity_normalization|revision_slowdown,false,false,"AI CAPEX crowding is a 4B/4C overlay: it must warn, but not fabricate a positive Green score."
CIRCULAR_AI_FINANCING_OVERLAY,AI_SEMICONDUCTOR_ELECTRONICS,CIRCULAR_AI_FINANCING_OVERLAY,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,supplier_equity_stake|customer_equity_stake|capacity_guarantee|related_financing_loop,circular_financing_detected|capacity_purchase_guarantee|equity_linked_customer_contract,not_applicable_overlay,valuation_ignores_circularity|contract_visibility_overstated|funding_loop_crowded,capacity_guarantee_break|refinancing_pressure|customer_contract_loss|supplier_support_withdrawal,,circular_financing|capacity_guarantee_dependence|customer_supplier_investor_overlap|refinancing_pressure,circular_financing|capacity_guarantee|refinancing|customer_supplier_overlap,true,false,"Neocloud circular financing is a RedTeam overlay: customer, supplier, and investor relationships must not be treated as clean demand evidence."
DISCLOSURE_CONFIDENCE_CAP,AI_SEMICONDUCTOR_ELECTRONICS,DISCLOSURE_CONFIDENCE_CAP,REDTEAM_FIRST,cap,cap,cap,cap,cap,cap,+,contract_headline|facility_investment_headline|rights_or_cb_headline|correction_or_cancellation_headline,detail_fetch_required|contract_amount_missing|customer_name_missing|margin_missing,not_applicable_cap_only,list_only_disclosure_over_scored|headline_contract_priced,contract_cancelled|contract_corrected|dilution_detail_bad|audit_or_trading_halt,,detail_missing|amount_missing|counterparty_missing|duration_missing|margin_missing,detail_missing|amount_missing|counterparty_missing|duration_missing|margin_missing,false,false,"OpenDART list-only or headline evidence caps Stage 3 until amount, counterparty, period, margin, and parser confidence are checked."
