label,parent_large_sector,parent_canonical_archetype,posture,parent_theme_hint,evidence_focus,risk_focus,price_validation_focus,theme_is_score_input,production_scoring_changed,notes
OPTICAL_NETWORKING_AI_DATACENTER,AI_SEMICONDUCTOR_ELECTRONICS,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,AI_DATACENTER_INFRA,laser_leadtime|hyperscaler_contract|op_eps_revision,capacity_normalization|hyperscaler_concentration,lead_time_normalization_drawdown|valuation_crowding,false,false,Optical networking needs order and lead-time evidence.
INDUSTRIAL_GASES_SEMICONDUCTOR_INFRA,AI_SEMICONDUCTOR_ELECTRONICS,SEMI_EQUIPMENT_CAPEX,GREEN_POSSIBLE,SEMICONDUCTOR_EQUIPMENT_MATERIALS,onsite_gas_plant|take_or_pay|fab_ramp_schedule,fab_delay|customer_concentration,fab_schedule|capex_payback,false,false,Semiconductor gases are fab utility-like when onsite contracts are explicit.
AI_DATA_CENTER_POWER_EQUIPMENT,AI_SEMICONDUCTOR_ELECTRONICS,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,AI_DATACENTER_INFRA,bookings_growth|backlog_growth|op_margin_improvement,bookings_slowdown|low_margin_project,bookings_growth|gross_margin|valuation_crowding,false,false,Internal data-center power equipment is distinct from grid transformers.
AI_DATA_CENTER_COOLING,AI_SEMICONDUCTOR_ELECTRONICS,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,AI_DATACENTER_INFRA,cooling_capacity|liquid_cooling_order|hyperscaler_customer,capex_delay|thermal_design_shift,contract_to_revenue|margin_conversion,false,false,Cooling is an AI data-center bottleneck only with customer and revenue proof.
POWER_SEMICONDUCTOR_SIC,BATTERY_EV_GREEN,BATTERY_MATERIALS_CAPEX_OVERHEAT,WATCH_YELLOW_FIRST,BATTERY_EQUIPMENT_PARTS,long_term_supply_contract|utilization_up|fcf_improvement,capex_debt|bankruptcy|ev_demand,debt_ebitda|utilization|cash_burn,false,false,"SiC narrative is capped until utilization, FCF, and debt stability are visible."
LITHIUM_BATTERY_RAW_MATERIAL,BATTERY_EV_GREEN,BATTERY_MATERIALS_CAPEX_OVERHEAT,REDTEAM_FIRST,BATTERY_MATERIALS_CAPEX_OVERHEAT,price_pass_through|contract_quality,lithium_price_reversal|capa_overbuild,commodity_peak_drawdown|mae_1y,false,false,Lithium/raw material cycles stay RedTeam-first.
RECYCLING_BATTERY_MATERIAL,BATTERY_EV_GREEN,BATTERY_MATERIALS_CAPEX_OVERHEAT,WATCH_YELLOW_FIRST,BATTERY_MATERIALS_CAPEX_OVERHEAT,collection_volume|metal_recovery_margin,metal_price_drop|low_utilization,volume_to_margin|metal_price_drawdown,false,false,"Battery recycling needs collection volume and margin, not circular-economy label only."
SOLID_STATE_BATTERY_PRE_COMMERCIAL,BATTERY_EV_GREEN,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,BATTERY_MATERIALS_CAPEX_OVERHEAT,commercial_order|manufacturing_yield,precommercial_theme|timeline_slip,event_pop_drawdown|commercialization_delay,false,false,Solid-state remains Green-blocked before commercial orders and yield proof.
CARBON_CREDIT_POLICY,BATTERY_EV_GREEN,UTILITIES_REGULATED_TARIFF,WATCH_YELLOW_FIRST,RENEWABLE_ENERGY_POLICY,regulated_revenue|credit_price|project_economics,policy_dependency|credit_price_reversal,policy_drawdown|credit_price_cycle,false,false,Carbon credit is policy-sensitive; revenue proof is required.
CHEMICAL_SPREAD_CHINA_OVERSUPPLY,MATERIALS_SPREAD_STRATEGIC,COMMODITY_SPREAD,REDTEAM_FIRST,CHEMICAL_SPREAD,product_spread|inventory_status,china_oversupply|spread_reversal,spread_peak_drawdown|inventory_cycle,false,false,Chemical spread is usually cycle/RedTeam-first.
PRECIOUS_METALS_SAFE_HAVEN_MINERS,MATERIALS_SPREAD_STRATEGIC,COMMODITY_SPREAD,WATCH_YELLOW_FIRST,NONFERROUS_STRATEGIC_METALS,realized_price_up|aisc_stable|fcf_growth,gold_price_reversal|mine_disruption,gold_relative_return|drawdown_after_commodity_peak,false,false,"Gold miners need realized price, cost, FCF, and capital return together."
LNG_ENERGY_TRADING,MATERIALS_SPREAD_STRATEGIC,COMMODITY_SPREAD,WATCH_YELLOW_FIRST,REFINING_OIL_SPREAD,spread_capture|inventory_status|contract_book,commodity_reversal|hedge_loss,spread_to_op|commodity_drawdown,false,false,Energy trading/spread cases require explicit book and risk controls.
K_FOOD_EXPORT_RECURRING,CONSUMER_RETAIL_BRAND,EXPORT_RECURRING_CONSUMER,GREEN_POSSIBLE,EXPORT_RECURRING_CONSUMER,export_growth|channel_expansion|repeat_demand|opm_expansion,single_product_fad|recall_regulation,sell_through|opm_sustainability,false,false,"K-food does not need contract quality, but repeat export demand and revision support are required."
K_BEAUTY_EXPORT_CHANNEL,CONSUMER_RETAIL_BRAND,K_BEAUTY_EXPORT_DISTRIBUTION,GREEN_POSSIBLE,K_BEAUTY_EXPORT_DISTRIBUTION,channel_diversification|repeat_orders|opm_roe_improvement,china_dependency|channel_stuffing,inventory|receivables|channel_growth,false,false,K-beauty needs repeat channel evidence and inventory discipline.
COLD_CHAIN_REIT_LOGISTICS,CONSUMER_RETAIL_BRAND,RETAIL_DOMESTIC_CONSUMER,WATCH_YELLOW_FIRST,ECOMMERCE_FRESH_LOGISTICS,occupancy|noi_affo_growth|long_term_tenant_contract,energy_cost|funding_cost,affo_growth|debt_cost|dividend_coverage,false,false,"Cold chain is infrastructure/REIT-like, not simple e-commerce logistics."
SERVICE_KIOSK_SELF_CHECKOUT,CONSUMER_RETAIL_BRAND,RETAIL_DOMESTIC_CONSUMER,WATCH_YELLOW_FIRST,RETAIL_CONVENIENCE_OFFLINE,installed_base_growth|maintenance_recurring_revenue|payment_fee_revenue,theft|customer_friction|retailer_retreat,hardware_vs_recurring_revenue|renewal_rate,false,false,"Kiosk cases need recurring economics, not hardware installation alone."
VALUE_UP_BANK_INSURANCE,FINANCIAL_CAPITAL_DIGITAL,VALUE_UP_SHAREHOLDER_RETURN,GREEN_POSSIBLE,VALUE_UP_SHAREHOLDER_RETURN,roe|capital_ratio|buyback_cancel|dividend_policy,credit_cost|announcement_only,pbr_roe_gap|capital_return_execution,false,false,"Value-up needs execution and ROE support, not index inclusion only."
DIGITAL_ASSET_TOKENIZATION,FINANCIAL_CAPITAL_DIGITAL,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,DIGITAL_ASSET_TOKENIZATION,regulated_revenue|license_or_partner,unregulated_theme|cash_flow_absent,event_pop_drawdown|regulated_volume,false,false,STO/stablecoin tags remain RedTeam-first without regulated revenue.
CRO_CLINICAL_SERVICE,BIOTECH_HEALTHCARE_DEVICE,CDMO_HEALTHCARE_CONTRACT,WATCH_YELLOW_FIRST,CDMO_HEALTHCARE_CONTRACT,backlog|customer_diversification|op_margin,biotech_funding_cycle|cancellation,backlog_to_revenue|funding_cycle_drawdown,false,false,CRO is service/backlog driven but biotech funding cycle sensitive.
DIGITAL_HEALTHCARE_AI,BIOTECH_HEALTHCARE_DEVICE,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,DIGITAL_HEALTHCARE_AI,regulatory_clearance|hospital_contract|reimbursement,poc_only|privacy,contract_to_revenue|privacy_event_drawdown,false,false,Medical AI needs monetization and regulation evidence.
TELEHEALTH_BEHAVIORAL_HEALTH,BIOTECH_HEALTHCARE_DEVICE,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,DIGITAL_HEALTHCARE_AI,employer_or_insurance_contract|repeat_usage|cac_stable,privacy|cac|churn,cac_to_revenue|fcf_margin|privacy_drawdown,false,false,Telehealth needs B2B/B2B2C recurrence and privacy discipline.
GENE_THERAPY_RARE_DISEASE,BIOTECH_HEALTHCARE_DEVICE,BIOTECH_PRE_REVENUE_REGULATORY,REDTEAM_FIRST,BIOTECH_PRE_REVENUE_REGULATORY,approval|reimbursement|commercial_launch,cash_burn|dilution|trial_failure,approval_event_drawdown|cash_runway,false,false,Gene therapy remains Green-blocked before commercialization and cash-flow visibility.
CLOUD_AI_SOFTWARE_INFRA,PLATFORM_CONTENT_SW_SECURITY,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,PLATFORM_SOFTWARE_INTERNET,arr_growth|opm_leverage|low_churn,ai_cost|pricing_pressure,arr_to_fcf|gross_margin,false,false,"AI software needs paid usage, OPM, and FCF, not feature labels."
SECURITY_IDENTITY_DEEPFAKE,PLATFORM_CONTENT_SW_SECURITY,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,SECURITY_IDENTITY_INFRA,recurring_contract|security_demand|op_eps_revision,breach_event|lawsuit,arr_retention|breach_drawdown,false,false,Security demand is structural but trust events are 4C risks.
CONTACT_CENTER_AI_AUTOMATION,PLATFORM_CONTENT_SW_SECURITY,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,AI_SOFTWARE_APPLICATION,paid_usage|cost_savings|enterprise_contract,poc_only|ai_cost,contract_to_arr|opm_leverage,false,false,Contact-center AI needs paid enterprise usage and margin proof.
SATELLITE_CONNECTIVITY_INFRA,MOBILITY_TRANSPORT_LEISURE,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,URBAN_AIR_DRONE,airline_or_defense_contract|recurring_service_revenue|backlog_growth,capex_debt|spacex_theme_only,revenue_growth|ebitda_margin|debt_capex,false,false,Satellite connectivity must separate recurring service revenue from SpaceX labels.
SHIPPING_FREIGHT_CYCLE_RECHECK,MOBILITY_TRANSPORT_LEISURE,SHIPPING_FREIGHT_CYCLE,REDTEAM_FIRST,SHIPPING_FREIGHT_CYCLE,freight_rate|contract_vs_spot,overcapacity|freight_rate_reversal,freight_peak_drawdown|eps_normalization,false,false,Shipping can be cyclical_success but structural Green is heavily restricted.
DATA_CENTER_REIT_INFRA,CONSTRUCTION_REAL_ESTATE_MATERIALS,VALUE_UP_SHAREHOLDER_RETURN,WATCH_YELLOW_FIRST,REIT_DEVELOPMENT_TRUST,tenant_contract|occupancy|affo_growth,funding_cost|capex_burden,affo_growth|debt_cost_drawdown,false,false,"Data-center REIT evidence is tenant, occupancy, AFFO, and funding cost."
EVENT_DISEASE_PEST_DEMAND,POLICY_GEOPOLITICAL_EVENT,ONE_OFF_EVENT_DEMAND,REDTEAM_FIRST,DISASTER_DISEASE_EVENT,temporary_demand|inventory_sales,event_normalization|next_year_reversal,event_pop_drawdown|revenue_retention,false,false,Disease/pest demand is one-off until recurring revenue is proven.
SMART_FARM_AUTOMATION,EDUCATION_LIFE_AGRI_MISC,ROBOTICS_FACTORY_AUTOMATION,WATCH_YELLOW_FIRST,AGRI_FOOD_LIFE_MISC,commercial_installation|repeat_service_revenue,subsidy_dependency|pilot_only,pilot_conversion|service_margin,false,false,Smart farm automation needs installation-to-recurring-service conversion.
