target_id,large_sector,canonical_archetype,posture,eps_fcf,structural_visibility,bottleneck_pricing,market_mispricing,valuation,capital_allocation,information_confidence,stage1_signals,stage2_signals,stage3_conditions,stage4b_conditions,stage4c_conditions,green_conditions,red_flags,loop6_penalty_axes,hard_gate,production_scoring_changed,normalization_point
DEFENSE_LOCAL_PRODUCTION_PLATFORM,INDUSTRIAL_ORDERS_INFRA,DEFENSE_LOCAL_PRODUCTION_PLATFORM,WATCH_YELLOW_FIRST,21,23,16,14,13,2,5,local_production_preference|customer_country_manufacturing|local_content_requirement,local_factory_plan|delivery_batch|multi_year_customer_country_demand|backlog_growth,regional_platform_visibility|repeat_orders|opm_improvement|capex_and_margin_risk_controlled,local_production_platform_story_crowded|capex_ignored_by_rally,local_factory_capex_burden|margin_dilution|political_risk|delivery_delay|dilution_shock,local_production_contract|repeat_customer_demand|delivery_batch|opm_improvement,local_factory_capex|margin_dilution|political_risk|dilution,local_factory_capex|margin_dilution|political_risk|dilution,false,false,"Customer-country production can improve defense visibility, but CAPEX, local cost, and dilution must be checked."
DEFENSE_CAPITAL_ALLOCATION_SHOCK,INDUSTRIAL_ORDERS_INFRA,DEFENSE_CAPITAL_ALLOCATION_SHOCK,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,share_issuance_plan|overseas_factory_capex|unclear_capex_plan,large_equity_issuance|use_of_proceeds_unclear|regulator_revision_request|shareholder_value_shock,not_applicable_until_funding_quality_restored,dilution_ignored_by_defense_backlog_story,large_equity_issuance|dilution|regulator_revision_request|fcf_burden,,large_equity_issuance|dilution|use_of_proceeds_unclear|overseas_factory_capex,capital_allocation_shock|dilution|use_of_proceeds_unclear|regulator_revision_request,true,false,Defense backlog does not override a large unclear capital raise or dilution shock.
DEFENSE_US_SHIPBUILDING_PLATFORM,INDUSTRIAL_ORDERS_INFRA,DEFENSE_US_SHIPBUILDING_PLATFORM,WATCH_YELLOW_FIRST,16,16,12,13,9,1,5,us_shipbuilding_rebuild|naval_mro_option|moa_or_partnership|summit_headline,actual_vessel_contract|mro_order|yard_investment|schedule_visible,repeat_mro_or_newbuild_revenue|margin_visible|yard_execution|op_eps_revision,us_shipbuilding_option_crowded|moa_priced_as_contract,moa_only|yard_capex_uncertain|us_workforce_bottleneck|legal_or_political_condition_failed,actual_contract|revenue_schedule|margin_visible|yard_capacity_funded,moa_only|yard_capex_uncertain|workforce_bottleneck|legal_restriction,moa_only|yard_capex|workforce_bottleneck|legal_restriction,false,false,"US shipbuilding cooperation is an option value path; Stage 3 waits for actual contract, CAPEX, schedule, and margin evidence."
SHIPBUILDING_OFFSHORE_BACKLOG,INDUSTRIAL_ORDERS_INFRA,SHIPBUILDING_OFFSHORE_BACKLOG,GREEN_POSSIBLE,21,22,18,13,13,1,5,newbuilding_price_up|ship_order_recovery|lng_or_offshore_order|ship_engine_or_fitting_valve,large_order|low_margin_backlog_rolloff|high_margin_delivery_start|op_eps_revision,backlog_quality_improves|fy2_fy3_margin_recognition|cost_pressure_controlled,shipbuilder_group_rally|newbuilding_price_narrative_crowded|mro_option_crowded,steel_plate_cost_spike|labor_cost_spike|order_slowdown|contract_cancelled|delivery_delay,newbuilding_price_up|low_margin_backlog_rolloff|high_margin_delivery_start|op_eps_revision,low_margin_backlog|steel_plate_cost|labor_cost|delivery_delay,low_margin_backlog|steel_plate_cost|labor_cost|delivery_delay,false,false,"Shipbuilding needs order quality, newbuilding prices, margin recognition, and cost controls."
SHIPBUILDING_NAVAL_MRO,INDUSTRIAL_ORDERS_INFRA,SHIPBUILDING_NAVAL_MRO,WATCH_YELLOW_FIRST,16,17,11,13,10,1,5,naval_mro_keyword|msra|us_shipyard_acquisition|us_navy_repair_contract,actual_mro_contract|work_period|revenue_recognition,repeat_high_margin_mro|newbuild_or_naval_order|margin_visible,naval_mro_option_crowded|mro_story_priced_as_newbuild,low_margin_mro|newbuild_license_uncertain|us_legal_restriction|shipyard_modernization_capex,repeat_mro|margin_visible|newbuild_order_or_license|revenue_conversion,low_margin_mro|legal_restriction|license_uncertain|capex_burden,mro_option_only|low_margin_mro|legal_restriction,false,false,MRO is Stage 2 reference; Stage 3 needs repeat high-margin MRO or newbuild conversion.
SHIPBUILDING_PROCUREMENT_LEADTIME,INDUSTRIAL_ORDERS_INFRA,SHIPBUILDING_PROCUREMENT_LEADTIME,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,procurement_lead_time_miss|pipe_spool_delay|supplier_delay|engineered_to_order_delay,procurement_delay_confirmed|downstream_block_delay|delivery_delay|margin_penalty,not_applicable_until_procurement_and_delivery_schedule_restored,backlog_quality_ignores_procurement_delay,supplier_delay|pipe_spool_delay|delivery_delay|margin_penalty|warranty_cost,,supplier_delay|pipe_spool_delay|delivery_delay|margin_penalty,procurement_delay|delivery_delay|margin_penalty,true,false,Shipbuilding and plant backlog can break if critical procured items delay downstream work and margin recognition.
RAIL_INFRASTRUCTURE,INDUSTRIAL_ORDERS_INFRA,RAIL_INFRASTRUCTURE,WATCH_YELLOW_FIRST,20,22,12,14,11,1,5,rail_order_news|foreign_rail_investment|urban_or_high_speed_rail_policy,official_contract|contract_amount_to_sales|delivery_schedule,delivery_visibility|margin_visible|op_eps_revision|financing_risk_low,rail_order_expectation_fully_priced,project_delay|financing_failure|margin_miss|warranty_cost|fx_cost,official_contract|contract_amount_to_sales|delivery_schedule|margin_visible|financing_secured,project_delay|margin_uncertainty|financing|warranty_cost,project_delay|financing|warranty_cost|margin_uncertainty,false,false,"Rail contracts can reach Stage 2, but Green needs margin, delivery, warranty, and financing evidence."
NUCLEAR_EXISTING_PPA_RESTART,INDUSTRIAL_ORDERS_INFRA,NUCLEAR_EXISTING_PPA_RESTART,WATCH_YELLOW_FIRST,19,23,13,14,12,2,5,big_tech_clean_power_demand|existing_nuclear_ppa|nuclear_restart|plant_relicense_support,signed_ppa|contract_duration_years|plant_capacity_mw|relicensing_support|restart_capex_visible,long_term_fcf_visibility|ppa_economics_visible|grid_injection_rights|valuation_frame_change,nuclear_ppa_theme_crowded|related_stock_theme_spillover,relicense_failure|plant_outage|policy_change|ppa_economics_break|restart_capex_overrun,signed_ppa|duration|plant_capacity|fcf_visibility|grid_injection_rights,relicense_risk|plant_specific_risk|ppa_economics_unverified|restart_capex,relicense|plant_outage|ppa_economics|restart_capex,false,false,Existing nuclear PPA/restart is stronger than SMR policy because it has clearer cashflow visibility.
NUCLEAR_GRID_INJECTION_RIGHTS,INDUSTRIAL_ORDERS_INFRA,NUCLEAR_GRID_INJECTION_RIGHTS,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,grid_injection_rights|ferc_pjm_gate|nuclear_restart_interconnection|capacity_transfer,ferc_approval|pjm_interconnection|grid_capacity_transfer|ppa_grid_rights_confirmed,not_applicable_until_grid_rights_and_restart_capex_are_confirmed,ppa_or_restart_theme_ignores_grid_rights,grid_rights_failure|ferc_delay|pjm_interconnection_delay|restart_capex_overrun,ferc_approval|pjm_interconnection|grid_rights_confirmed|restart_capex_visible,grid_rights_failure|ferc_delay|pjm_delay|restart_capex,grid_rights_failure|ferc_delay|pjm_delay|restart_capex,true,false,Existing nuclear restart needs grid injection rights and interconnection approval before it can support high-conviction cashflow visibility.
NUCLEAR_SMR_GRID_POLICY,INDUSTRIAL_ORDERS_INFRA,NUCLEAR_SMR_GRID_POLICY,REDTEAM_FIRST,13,12,10,13,7,1,5,smr_policy|ai_power_demand|nuclear_equipment_theme,ppa|customer_subscription|cost_confirmed|permit|financing,actual_construction|supplier_revenue_visibility|cost_and_customer_risk_resolved,smr_theme_crowded|nuclear_policy_premium,cost_overrun|customer_subscription_failure|financing_failure|project_cancelled|permit_delay,ppa|customer_subscription|cost_confirmed|permit|financing|revenue_visibility,cost_overrun|customer_subscription_failure|financing_failure|policy_headline_only,cost_overrun|customer_subscription_failure|financing_failure|project_cancelled,false,false,"SMR policy is Watch/Red until PPA, customer, cost, permit, financing, and revenue visibility are confirmed."
GEOPOLITICAL_RECONSTRUCTION,INDUSTRIAL_ORDERS_INFRA,GEOPOLITICAL_RECONSTRUCTION,WATCH_YELLOW_FIRST,10,8,8,10,7,0,4,ukraine_reconstruction|neom_city_theme|overseas_infra_policy|mou_or_bid_news,binding_contract|revenue_schedule|financing_visible|construction_started,actual_delivery_and_margin|eps_conversion|cash_collection,policy_event_crowded|event_premium_fades,no_contract|project_delay|financing_failure|policy_reversal,binding_contract|revenue_schedule|financing_visible|margin_visible,actual_contract_missing|policy_event_only|mou_only|budget_missing,policy_to_contract_failed|financing_failure|mou_only,false,false,Reconstruction and Neom-style themes remain Event/Watch before binding contracts and revenue schedules.
DATA_CENTER_POWER_WATER_PERMITTING,INDUSTRIAL_ORDERS_INFRA,DATA_CENTER_POWER_WATER_PERMITTING,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,data_center_local_opposition|water_capacity_shortage|water_permitting_delay|grid_interconnection_delay|moratorium|noise_pollution,project_delay_confirmed|permit_delay|community_opposition|water_rights|power_price_backlash|project_withdrawal,not_applicable_until_power_water_project_schedule_and_interconnection_restored,delay_ignored_by_ai_power_order_story,project_cancelled_or_delayed|moratorium|water_permitting_delay|grid_interconnection_delay|order_slowdown,,local_opposition|water_permitting_delay|water_capacity|grid_interconnection_delay|moratorium|project_withdrawal,project_delay|water_permitting|grid_interconnection_delay|moratorium|local_opposition,true,false,"Hard RedTeam gate for data-center local opposition, water capacity/permitting, power interconnection, noise, and moratorium risk."
CAPITAL_ALLOCATION_DILUTION_OVERLAY,INDUSTRIAL_ORDERS_INFRA,CAPITAL_ALLOCATION_DILUTION_OVERLAY,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,share_issuance_plan|large_capex|overseas_factory_capex|mna_funding,dilution|use_of_proceeds_unclear|regulator_revision_request|shareholder_value_shock,not_applicable_until_funding_quality_restored,dilution_ignored_by_backlog_story,large_equity_issuance|dilution|fcf_burden|regulator_revision_request,,large_equity_issuance|dilution|use_of_proceeds_unclear|capex_burden,capital_allocation_shock|dilution|capex_burden,true,false,Capital allocation overlay for order/backlog companies whose expansion funding damages the price path.
DISCLOSURE_CONFIDENCE_CAP,INDUSTRIAL_ORDERS_INFRA,DISCLOSURE_CONFIDENCE_CAP,REDTEAM_FIRST,cap,cap,cap,cap,cap,cap,+,opendart_list_only|contract_headline|high_signal_disclosure,opendart_detail_fetched|contract_amount|counterparty|contract_duration,contract_amount_to_sales|delivery_schedule|margin_visible|multi_source_confirmation,undisclosed_contract_theme_crowded,detail_missing|contract_amount_missing|counterparty_missing|duration_missing|margin_unknown,contract_value|contract_duration|counterparty|delivery_schedule|margin_visible,detail_missing|contract_amount_missing|counterparty_missing|duration_missing|margin_unknown,disclosure_confidence_capped|detail_missing|margin_unknown,false,false,R1 applies the R13 disclosure confidence cap: list-only or headline-only contract evidence cannot support Stage 3-Green.
