target_id,stage1,stage2,stage3,stage4b,stage4c,loop9_penalty_axes,gate_only,production_scoring_changed
BEAUTY_FAST_PRODUCT_CYCLE_RISK,fast_product_cycle|indie_brand_churn|sku_overexpansion|viral_brand_launch,fast_cycle_risk_detected,not_applicable_gate_only,fast_beauty_cycle_overpriced,sku_overexpansion|brand_churn|inventory_growth|receivables_growth|sell_through_failure,sku_overexpansion|brand_churn|inventory|receivables,true,false
RETAIL_CONVENIENCE_OFFLINE,same_store_sales_growth|pb_mix|store_count|overseas_store,store_profitability|pb_mix_ratio|opm_improvement|fcf_stability,same_store_sales|store_profitability|pb_mix|fcf_stability,store_count_story_crowded|defensive_retail_premium_full,same_store_sales_slowdown|rent_wage_pressure|store_density_competition,sssg|pb_mix|store_profitability|rent_wage,false,false
RETAIL_ECOMMERCE_LOGISTICS,gmv_growth|logistics_network_expansion|customer_count_growth,logistics_cost_ratio_down|opm_improvement|fcf_improvement|gross_margin_quality,repeat_customers|cost_leverage|low_regulatory_risk|low_data_security_risk,scale_narrative_crowded|fcf_ignored|trust_risk_ignored,data_breach|supplier_regulation|payment_delay|logistics_cost_increase|fcf_deterioration,data_security|supplier_regulation|logistics_cost|fcf|margin_quality,false,false
ECOMMERCE_FRESH_LOGISTICS,fresh_food_delivery_growth|cold_chain_expansion|repeat_order_growth|ipo_expectation,unit_economics_improvement|waste_rate_control|delivery_cost_control|op_turnaround,repeat_order|cold_chain_efficiency|op_fcf_turnaround|low_waste_rate,fresh_logistics_growth_story_crowded|listing_expectation_premium,delivery_cost_increase|waste_rate_spike|delayed_profitability|cash_burn,waste_rate|delivery_cost|cash_burn,false,false
APPAREL_FAST_FASHION_BRAND_OEM,brand_momentum|fast_fashion_growth|oem_order_growth|overseas_channel,inventory_turnover|discount_rate_control|order_visibility|opm_improvement,repeat_orders|inventory_turnover|brand_pricing_power|fcf_improvement,fashion_brand_hype_crowded|fast_fashion_growth_priced,ip_litigation|product_safety_regulation|supplier_exclusivity_dispute|inventory_markdown|customs_scrutiny,inventory|discount|ip_litigation|product_safety|tariff,false,false
ULTRA_LOW_COST_CROSSBORDER_PLATFORM,crossborder_low_cost_platform_growth|shein_temu_growth|de_minimis|low_price_traffic,unit_economics_improvement|customs_compliance|product_safety_process|supplier_quality,repeat_customer_economics|low_regulatory_risk|opm_fcf_improvement,ultra_low_cost_growth_story_crowded|de_minimis_risk_ignored,unsafe_item_removal|dsa_investigation|ip_litigation|de_minimis_removal|customs_scrutiny,unsafe_items|dsa|de_minimis|ip_litigation|tariff,false,false
FAST_FASHION_IP_SUPPLIER_LITIGATION,ip_litigation|supplier_exclusivity_dispute|competition_law_claim|copyright_claim,legal_supplychain_risk_detected,not_applicable_gate_only,legal_risk_ignored_by_growth_narrative,copyright_litigation|supplier_exclusivity_dispute|competition_law_claim|injunction_risk,ip_litigation|supplier_exclusivity|competition_law,true,false
FAST_FASHION_PRODUCT_SAFETY_DSA,unsafe_item_removal|product_safety_regulation|dsa_investigation|platform_responsibility,product_safety_dsa_risk_detected,not_applicable_gate_only,product_safety_risk_ignored_by_low_price_growth,unsafe_item_removal|dsa_investigation|product_safety_enforcement|customs_scrutiny,unsafe_items|dsa|product_safety|customs,true,false
HOME_LIVING_APPLIANCE_RENTAL,rental_accounts_growth|overseas_accounts_growth|new_product_launch,rental_churn_stable|filter_service_revenue|recurring_service_revenue_ratio|opm_fcf_improvement,recurring_revenue_over_hardware_cycle|low_churn|service_margin|fcf_improvement,rental_account_growth_crowded,replacement_demand_slowdown|hardware_sales_ratio_high|housing_cycle_down|dividend_suspension,churn|overseas_margin|hardware_cycle|quality_recall,false,false
HOME_APPLIANCE_HARDWARE_CYCLE,home_appliance_replacement_demand|housing_turnover|hardware_sales_cycle,guidance_stable|fcf_defense|dividend_supported,not_applicable_without_recurring_service,hardware_replacement_story_crowded,replacement_demand_collapse|housing_turnover_weakness|dividend_suspension|guidance_cut|fcf_cut,replacement_demand|housing|dividend|guidance|fcf,false,false
HOME_CHILD_EDUCATION,kids_product_growth|education_or_childcare_theme|household_product_news,recurring_demand|channel_expansion|opm_improvement,subscription_or_repeat_purchase|policy_risk_low|fcf_path,kids_theme_crowded,low_birth_rate_tam_decline|policy_regulation|one_off_product_cycle|inventory_growth,birth_rate|tam|policy|inventory,false,false
CONSUMER_REGULATED_PRODUCT,regulated_consumer_product_approval|new_market_access|policy_change,legal_revenue|distribution_approval|margin_visibility,regulated_market_open|repeat_revenue|low_social_backlash,regulated_product_theme_crowded,license_reversal|social_backlash|product_safety_issue|regulatory_ban,approval|public_health|regulatory_ban,false,false
FOOD_SAFETY_RECALL_OVERLAY,recall|country_specific_sales_ban|food_safety_issue|capsaicin_or_additive_risk,risk_event_detected,not_applicable_gate_only,not_applicable_gate_only,recall_flag|country_sales_ban|food_safety_flag|single_product_concentration|viral_challenge_safety_issue,food_safety|recall|country_ban,true,false
ECOMMERCE_TRUST_SECURITY,data_breach|privacy_incident|customer_trust_damage|government_investigation,trust_security_risk_detected,not_applicable_gate_only,scale_narrative_ignores_trust_risk,data_breach_flag|affected_customer_count|customer_trust_damage|regulatory_investigation|security_remediation_cost,data_security|privacy|trust_damage|security_cost,true,false
CHANNEL_STUFFING_INVENTORY_OVERLAY,shipment_growth|channel_entry|inventory_growth|sell_through_unverified,shipment_sell_through_gap_detected,not_applicable_gate_only,not_applicable_gate_only,channel_stuffing|inventory_growth|receivables_growth|sell_through_failure|reorder_absent,shipment_vs_sell_through|inventory|receivables|reorder,true,false
ECOMMERCE_SUPPLIER_MARGIN_QUALITY,supplier_pressure|payment_delay|retailer_law_violation|gross_margin_quality_risk,supplier_margin_quality_risk_detected,not_applicable_gate_only,margin_quality_risk_ignored,supplier_pressure_flag|payment_delay_flag|retailer_law_violation_flag|gross_margin_quality_risk,supplier_pressure|payment_delay|margin_quality|regulation,true,false
DISCOUNT_PROMOTION_MARGIN_OVERLAY,discount_promotion|affiliate_commission|creator_cac|viral_sales_dependency,discount_margin_risk_detected,not_applicable_gate_only,not_applicable_gate_only,discount_rate_increase|affiliate_cac_spike|creator_commission_rise|gross_margin_break|viral_fade,discount|affiliate_cac|creator_commission|gross_margin|viral_fade,true,false
DISCLOSURE_CONFIDENCE_CAP,headline_without_detail|channel_entry_without_sell_through|export_growth_without_inventory_detail,detail_gap_detected,not_applicable_cap_only,headline_priced_without_detail,disclosure_detail_missing|parser_confidence_low|sell_through_unverified|margin_detail_missing,disclosure_detail|parser_confidence|sell_through|margin_detail,true,false
