archetype,primary_large_sector,secondary_large_sectors,korean_name,green_permission,green_policy,required_evidence,primary_risks
AUTO_MOBILITY_COMPLETED_VEHICLE,CYCLICAL_SPREAD,,사이클/스프레드,LOW,Green is capped unless the move is more than a spot spread or theme cycle.,spread_or_price_support|cost_curve_or_supply_discipline|revision_support|cycle_risk_control,cycle_normalization|overcapacity|valuation_overheat|demand_slowdown
ROBOTICS_FACTORY_AUTOMATION,THEME_EVENT_GUARDRAIL,PLATFORM_IP_SERVICES,테마/이벤트,RESTRICTED,"Mostly Stage 1/2, Red, 4B, or 4C guardrail; Green requires unusually strong cash-flow conversion.",revenue_conversion|eps_fcf_support|low_one_off_risk|low_crowding,theme_only|price_only_rally|one_off_normalization|valuation_saturation
AI_DATA_CENTER_INFRASTRUCTURE,SEMICONDUCTOR_AI_INFRA,INDUSTRIAL_ORDERS,반도체/AI 인프라,HIGH,"Green possible only with HBM/data-center demand, confirmed orders or pricing, and revision support.",hbm_or_ai_dc_demand|capacity_bottleneck|pricing_or_order_support|medium_term_revision,capex_cut|supply_glut|ai_keyword_only|customer_concentration
NUCLEAR_SMR_GRID_POLICY,INDUSTRIAL_ORDERS,,산업재/수주,HIGH,"Green possible with contract quality, backlog, margin path, and low cancellation/legal risk.",contract_quality|backlog_or_delivery_schedule|op_eps_revision|margin_visibility,contract_cancellation|low_margin_backlog|legal_or_policy_delay|cost_overrun
TRAVEL_LEISURE_REOPENING,DOMESTIC_REOPENING,,내수/리오프닝,LOW,"Green needs repeated OPM/FCF improvement, not only traffic or reopening rebound.",same_store_or_visitor_growth|opm_improvement|inventory_normalization|fixed_cost_leverage,traffic_only_rebound|china_dependency|oil_or_fx_shock|rent_or_wage_pressure
EDUCATION_SPECIALTY_SERVICES,PLATFORM_IP_SERVICES,,플랫폼/IP/서비스,MEDIUM,"Green requires monetization, repeat revenue, OPM/FCF leverage, and low regulation/IP risk.",arpu_or_take_rate|repeat_monetization|opm_or_fcf_leverage|retention_or_ip_repeatability,mau_without_monetization|new_launch_hype|single_ip_dependence|policy_or_governance_risk
RARE_METALS_STRATEGIC_MATERIALS,CYCLICAL_SPREAD,FINANCIAL_CAPITAL_ALLOCATION,사이클/스프레드,LOW,Green is capped unless the move is more than a spot spread or theme cycle.,spread_or_price_support|cost_curve_or_supply_discipline|revision_support|cycle_risk_control,cycle_normalization|overcapacity|valuation_overheat|demand_slowdown
VALUE_UP_SHAREHOLDER_RETURN,FINANCIAL_CAPITAL_ALLOCATION,,금융/자본배분,MEDIUM,"Green requires ROE/PBR, executed capital return, NAV/FCF support, or durable cost restructuring.",roe_or_fcf_improvement|capital_return_execution|balance_sheet_quality|discount_narrowing_catalyst,low_pbr_value_trap|credit_cost|event_premium_only|buyback_without_cancel
PLATFORM_SOFTWARE_INTERNET,PLATFORM_IP_SERVICES,,플랫폼/IP/서비스,MEDIUM,"Green requires monetization, repeat revenue, OPM/FCF leverage, and low regulation/IP risk.",arpu_or_take_rate|repeat_monetization|opm_or_fcf_leverage|retention_or_ip_repeatability,mau_without_monetization|new_launch_hype|single_ip_dependence|policy_or_governance_risk
GAME_CONTENT_IP,PLATFORM_IP_SERVICES,,플랫폼/IP/서비스,MEDIUM,"Green requires monetization, repeat revenue, OPM/FCF leverage, and low regulation/IP risk.",arpu_or_take_rate|repeat_monetization|opm_or_fcf_leverage|retention_or_ip_repeatability,mau_without_monetization|new_launch_hype|single_ip_dependence|policy_or_governance_risk
FINANCIAL_SPREAD_BALANCE_SHEET,FINANCIAL_CAPITAL_ALLOCATION,,금융/자본배분,MEDIUM,"Green requires ROE/PBR, executed capital return, NAV/FCF support, or durable cost restructuring.",roe_or_fcf_improvement|capital_return_execution|balance_sheet_quality|discount_narrowing_catalyst,low_pbr_value_trap|credit_cost|event_premium_only|buyback_without_cancel
BIOTECH_REGULATORY,BIOTECH_HEALTHCARE,,바이오/헬스케어,LOW,"Pre-revenue biotech is Green-blocked; royalty, commercial revenue, or CDMO contract conversion is required.",commercialization_path|royalty_or_revenue|cash_runway|dilution_risk_low,clinical_failure|approval_delay|cb_or_rights_dilution|underutilized_capacity
BIOTECH_PRE_REVENUE_REGULATORY,BIOTECH_HEALTHCARE,,바이오/헬스케어,LOW,"Pre-revenue biotech is Green-blocked; royalty, commercial revenue, or CDMO contract conversion is required.",commercialization_path|royalty_or_revenue|cash_runway|dilution_risk_low,clinical_failure|approval_delay|cb_or_rights_dilution|underutilized_capacity
BIOTECH_ROYALTY_COMMERCIALIZATION,BIOTECH_HEALTHCARE,,바이오/헬스케어,LOW,"Pre-revenue biotech is Green-blocked; royalty, commercial revenue, or CDMO contract conversion is required.",commercialization_path|royalty_or_revenue|cash_runway|dilution_risk_low,clinical_failure|approval_delay|cb_or_rights_dilution|underutilized_capacity
CDMO_HEALTHCARE_CONTRACT,BIOTECH_HEALTHCARE,,바이오/헬스케어,LOW,"Pre-revenue biotech is Green-blocked; royalty, commercial revenue, or CDMO contract conversion is required.",commercialization_path|royalty_or_revenue|cash_runway|dilution_risk_low,clinical_failure|approval_delay|cb_or_rights_dilution|underutilized_capacity
MEDICAL_DEVICE_HEALTHCARE_EXPORT,EXPORT_CONSUMER,BIOTECH_HEALTHCARE,수출 소비재,HIGH,"Green possible when repeat demand, export/channel expansion, OPM, and FY1/FY2 revisions align.",export_growth|channel_expansion|recurring_demand|opm_or_roe_improvement,single_product_fad|inventory_or_receivables|regulatory_or_recall|channel_stuffing
RETAIL_DOMESTIC_CONSUMER,DOMESTIC_REOPENING,,내수/리오프닝,LOW,"Green needs repeated OPM/FCF improvement, not only traffic or reopening rebound.",same_store_or_visitor_growth|opm_improvement|inventory_normalization|fixed_cost_leverage,traffic_only_rebound|china_dependency|oil_or_fx_shock|rent_or_wage_pressure
CONSTRUCTION_REAL_ESTATE_CREDIT,REAL_ESTATE_CREDIT_REGULATED,,부동산/신용/규제자산,RESTRICTED,"Green is very restricted because PF, credit, tariff, debt, and regulation dominate headline growth.",pf_or_debt_risk_resolved|cash_flow_improvement|policy_or_tariff_durability|cost_pass_through,pf_loss|unsold_inventory|tariff_freeze|debt_burden
UTILITIES_REGULATED_TARIFF,REAL_ESTATE_CREDIT_REGULATED,,부동산/신용/규제자산,RESTRICTED,"Green is very restricted because PF, credit, tariff, debt, and regulation dominate headline growth.",pf_or_debt_risk_resolved|cash_flow_improvement|policy_or_tariff_durability|cost_pass_through,pf_loss|unsold_inventory|tariff_freeze|debt_burden
HOLDING_RESTRUCTURING_GOVERNANCE,FINANCIAL_CAPITAL_ALLOCATION,,금융/자본배분,MEDIUM,"Green requires ROE/PBR, executed capital return, NAV/FCF support, or durable cost restructuring.",roe_or_fcf_improvement|capital_return_execution|balance_sheet_quality|discount_narrowing_catalyst,low_pbr_value_trap|credit_cost|event_premium_only|buyback_without_cancel
TURNAROUND_COST_RESTRUCTURING,FINANCIAL_CAPITAL_ALLOCATION,,금융/자본배분,MEDIUM,"Green requires ROE/PBR, executed capital return, NAV/FCF support, or durable cost restructuring.",roe_or_fcf_improvement|capital_return_execution|balance_sheet_quality|discount_narrowing_catalyst,low_pbr_value_trap|credit_cost|event_premium_only|buyback_without_cancel
ONE_OFF_EVENT_DEMAND,THEME_EVENT_GUARDRAIL,,테마/이벤트,RESTRICTED,"Mostly Stage 1/2, Red, 4B, or 4C guardrail; Green requires unusually strong cash-flow conversion.",revenue_conversion|eps_fcf_support|low_one_off_risk|low_crowding,theme_only|price_only_rally|one_off_normalization|valuation_saturation
THEME_VALUATION_OVERHEAT,THEME_EVENT_GUARDRAIL,,테마/이벤트,RESTRICTED,"Mostly Stage 1/2, Red, 4B, or 4C guardrail; Green requires unusually strong cash-flow conversion.",revenue_conversion|eps_fcf_support|low_one_off_risk|low_crowding,theme_only|price_only_rally|one_off_normalization|valuation_saturation
GENERIC_UNCLASSIFIED,THEME_EVENT_GUARDRAIL,,테마/이벤트,RESTRICTED,"Mostly Stage 1/2, Red, 4B, or 4C guardrail; Green requires unusually strong cash-flow conversion.",revenue_conversion|eps_fcf_support|low_one_off_risk|low_crowding,theme_only|price_only_rally|one_off_normalization|valuation_saturation
