case_id,present,company_name,primary_archetype,case_type,price_validation_status
overseas_infra_margin_contract,True,해외 인프라 저마진 계약,CONSTRUCTION_REAL_ESTATE_CREDIT,failed_rerating,needs_price_backfill
korean_air_reopening,True,대한항공 리오프닝,TRAVEL_LEISURE_REOPENING,cyclical_success,needs_price_backfill
dutyfree_china_tourism_only,True,면세 중국 관광 의존,TRAVEL_LEISURE_REOPENING,failed_rerating,needs_price_backfill
naver_platform_candidate,True,NAVER 플랫폼 후보,PLATFORM_SOFTWARE_INTERNET,success_candidate,needs_price_backfill
kakao_governance_risk,True,카카오 거버넌스 리스크,PLATFORM_SOFTWARE_INTERNET,failed_rerating,needs_price_backfill
douzone_saas_candidate,True,더존비즈온 SaaS 후보,PLATFORM_SOFTWARE_INTERNET,success_candidate,needs_price_backfill
mau_only_platform,True,MAU만 늘어난 플랫폼,PLATFORM_SOFTWARE_INTERNET,failed_rerating,needs_price_backfill
krafton_ip_candidate,True,크래프톤 IP 후보,GAME_CONTENT_IP,success_candidate,needs_price_backfill
new_game_hype_fail,True,신작 기대 실패 게임,GAME_CONTENT_IP,failed_rerating,needs_price_backfill
rainbow_robotics_samsung,True,레인보우로보틱스 삼성,ROBOTICS_FACTORY_AUTOMATION,event_premium,needs_price_backfill
robot_tam_no_revenue,True,매출 없는 로봇 TAM,ROBOTICS_FACTORY_AUTOMATION,overheat,needs_price_backfill
megastudy_education,True,메가스터디교육,EDUCATION_SPECIALTY_SERVICES,success_candidate,needs_price_backfill
education_policy_regulation,True,교육 정책 규제,EDUCATION_SPECIALTY_SERVICES,4c_thesis_break,needs_price_backfill
samsung_biologics_cdmo,True,삼성바이오로직스 CDMO,CDMO_HEALTHCARE_CONTRACT,structural_success,needs_price_backfill
celltrion_biosimilar,True,셀트리온 바이오시밀러,BIOTECH_ROYALTY_COMMERCIALIZATION,success_candidate,needs_price_backfill
cdmo_capacity_underutilization,True,CDMO 가동률 미달,CDMO_HEALTHCARE_CONTRACT,failed_rerating,needs_price_backfill
yuhan_lazertinib,True,유한양행 렉라자,BIOTECH_ROYALTY_COMMERCIALIZATION,event_premium,needs_price_backfill
alteogen_royalty,True,알테오젠 로열티,BIOTECH_ROYALTY_COMMERCIALIZATION,success_candidate,needs_price_backfill
prerevenue_clinical_biotech,True,전임상 바이오,BIOTECH_PRE_REVENUE_REGULATORY,overheat,needs_price_backfill
biotech_cb_dilution,True,바이오 CB 희석,BIOTECH_PRE_REVENUE_REGULATORY,4c_thesis_break,needs_price_backfill
seegene_2020_red,True,씨젠,ONE_OFF_EVENT_DEMAND,one_off,needs_price_backfill
smci_2024_accounting,True,SMCI 회계 이슈,THEME_VALUATION_OVERHEAT,4c_thesis_break,needs_price_backfill
