case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,evidence_fields,red_flag_fields,price_validation_status,production_input,notes
gene_therapy_patient_uptake_slow_counterexample,GENE_THERAPY_RARE_DISEASE,GENE_UPTAKE,Gene therapy patient uptake slow counterexample,GLOBAL,failed_rerating,BIOTECH_PRE_REVENUE_REGULATORY,REDTEAM_FIRST,high_price_therapy,patient_uptake_failure|treatment_center_ready,needs_price_backfill,false,Patient identification and centers can bottleneck launch.
gene_therapy_commercialization_success_candidate_if_reimbursement,GENE_THERAPY_RARE_DISEASE,GENE_COMM,Gene therapy commercialization candidate if reimbursement,GLOBAL,success_candidate,BIOTECH_PRE_REVENUE_REGULATORY,REDTEAM_FIRST,patient_uptake|reimbursement_coverage,cash_burn|safety,needs_price_backfill,false,Commercialization can improve only after reimbursement and uptake are visible.
recursion_exscientia_ai_drug_platform_candidate,AI_DRUG_DISCOVERY_PLATFORM,RXRX_EXAI,Recursion Exscientia AI drug platform candidate,US,success_candidate,BIOTECH_PRE_REVENUE_REGULATORY,REDTEAM_FIRST,big_pharma_partnership|cash_runway,platform_hype|clinical_failure,needs_price_backfill,false,Platform consolidation needs milestones and clinical progress.
ai_drug_no_approved_product_counterexample,AI_DRUG_DISCOVERY_PLATFORM,AIDRUG_NOAPP,AI drug no approved product counterexample,GLOBAL,failed_rerating,BIOTECH_PRE_REVENUE_REGULATORY,REDTEAM_FIRST,ai_drug_platform,no_approved_drug|platform_hype,needs_price_backfill,false,AI platform alone is not commercialization evidence.
ai_drug_cash_burn_counterexample,AI_DRUG_DISCOVERY_PLATFORM,AIDRUG_BURN,AI drug cash burn counterexample,GLOBAL,failed_rerating,BIOTECH_PRE_REVENUE_REGULATORY,REDTEAM_FIRST,candidate_discovery,cash_burn|cash_runway_break,needs_price_backfill,false,Cash burn can dominate platform narratives.
ai_drug_big_pharma_milestone_candidate,AI_DRUG_DISCOVERY_PLATFORM,AIDRUG_MILE,AI drug big pharma milestone candidate,GLOBAL,success_candidate,BIOTECH_PRE_REVENUE_REGULATORY,REDTEAM_FIRST,milestone_revenue|clinical_entry,data_quality|clinical_failure,needs_price_backfill,false,Milestone revenue is stronger than platform description.
five9_contact_center_software_candidate,CONTACT_CENTER_AI_AUTOMATION,FIVN,Five9 contact center software candidate,US,success_candidate,PLATFORM_SOFTWARE_INTERNET,GREEN_POSSIBLE,ccaas|arr_growth|enterprise_retention,churn|it_budget,needs_price_backfill,false,Contact-center software needs recurring revenue and retention.
minerva_cq_agent_assist_case_candidate,CONTACT_CENTER_AI_AUTOMATION,MINERVA_CQ,Minerva CQ agent assist case candidate,US,success_candidate,PLATFORM_SOFTWARE_INTERNET,GREEN_POSSIBLE,agent_assist|cost_saving_roi,poc_only|ai_error,needs_price_backfill,false,Agent-assist is useful only when ROI translates to recurring software revenue.
contact_center_ai_no_arr_counterexample,CONTACT_CENTER_AI_AUTOMATION,CCAI_NOARR,Contact center AI no ARR counterexample,GLOBAL,failed_rerating,PLATFORM_SOFTWARE_INTERNET,GREEN_POSSIBLE,contact_center_ai,poc_only|seat_contraction,needs_price_backfill,false,AI demo without ARR or seat expansion stays capped.
ai_customer_service_privacy_error_4c,CONTACT_CENTER_AI_AUTOMATION,CCAI_PRIV_4C,AI customer service privacy error 4C,GLOBAL,4c_thesis_break,PLATFORM_SOFTWARE_INTERNET,GREEN_POSSIBLE,ai_bot,privacy_incident|ai_error_liability,needs_price_backfill,false,Privacy or AI-answer error can break enterprise adoption.
computer_vision_self_checkout_candidate,SERVICE_KIOSK_SELF_CHECKOUT,CV_CHECKOUT,Computer vision self-checkout candidate,GLOBAL,success_candidate,RETAIL_DOMESTIC_CONSUMER,WATCH_YELLOW_FIRST,computer_vision_checkout|loss_prevention_effect,theft|customer_friction,needs_price_backfill,false,Self-checkout needs loss-prevention and customer experience proof.
self_checkout_theft_counterexample,SERVICE_KIOSK_SELF_CHECKOUT,SELF_THEFT,Self-checkout theft counterexample,GLOBAL,failed_rerating,RETAIL_DOMESTIC_CONSUMER,WATCH_YELLOW_FIRST,self_checkout,theft_loss_spike|retailer_rollbacks,needs_price_backfill,false,Theft can reverse self-checkout adoption.
pseudo_automation_workload_counterexample,SERVICE_KIOSK_SELF_CHECKOUT,PSEUDO_AUTO,Pseudo automation workload counterexample,GLOBAL,failed_rerating,RETAIL_DOMESTIC_CONSUMER,WATCH_YELLOW_FIRST,retail_automation,pseudo_automation|customer_backlash,needs_price_backfill,false,Automation that shifts labor to customers or staff should not score like productivity.
kiosk_one_off_hardware_counterexample,SERVICE_KIOSK_SELF_CHECKOUT,KIOSK_HW,Kiosk one-off hardware counterexample,GLOBAL,failed_rerating,RETAIL_DOMESTIC_CONSUMER,WATCH_YELLOW_FIRST,kiosk_installation,one_off_hardware|maintenance_cost,needs_price_backfill,false,One-time hardware sales lack recurring visibility.
abbvie_rinvoq_skyrizi_successor_candidate,BIOSIMILAR_ORIGINATOR_DEFENSE,ABBV_SUCCESSOR,AbbVie Rinvoq Skyrizi successor candidate,US,success_candidate,BIOTECH_ROYALTY_COMMERCIALIZATION,WATCH_YELLOW_FIRST,successor_drug|successor_revenue_growth,pricing_pressure|pipeline_failure,needs_price_backfill,false,Successor drug revenue can offset patent cliff erosion.
humira_biosimilar_erosion_counterexample,BIOSIMILAR_ORIGINATOR_DEFENSE,HUMIRA_EROSION,Humira biosimilar erosion counterexample,US,failed_rerating,BIOTECH_ROYALTY_COMMERCIALIZATION,WATCH_YELLOW_FIRST,patent_cliff,biosimilar_erosion|pricing_power_loss,needs_price_backfill,false,Patent cliff can erode originator pricing power.
patent_cliff_no_successor_4c,BIOSIMILAR_ORIGINATOR_DEFENSE,PATENT_NO_SUCC_4C,Patent cliff no successor 4C,GLOBAL,4c_thesis_break,BIOTECH_ROYALTY_COMMERCIALIZATION,WATCH_YELLOW_FIRST,originator_defense,successor_failure|rapid_revenue_erosion,needs_price_backfill,false,No successor drug turns patent cliff into thesis break.
pipeline_transition_success_case,BIOSIMILAR_ORIGINATOR_DEFENSE,PIPE_TRANS,Pipeline transition success case,GLOBAL,success_candidate,BIOTECH_ROYALTY_COMMERCIALIZATION,WATCH_YELLOW_FIRST,pipeline_transition|eps_fcf_defense,pipeline_setback|pricing_pressure,needs_price_backfill,false,"Pipeline transition needs EPS/FCF defense, not just trial news."
compounded_glp1_quality_risk_4c,PHARMA_PLATFORM_REGULATORY_RISK,CMPD_GLP1_4C,Compounded GLP-1 quality risk 4C,US,4c_thesis_break,BIOTECH_PRE_REVENUE_REGULATORY,REDTEAM_FIRST,compounded_drug,fda_warning|quality_failure,needs_price_backfill,false,Compounded drug quality risk can break channel narrative.
online_pharmacy_illegal_risk_counterexample,PHARMA_PLATFORM_REGULATORY_RISK,ONLINE_PHARM,Online pharmacy illegal risk counterexample,GLOBAL,failed_rerating,BIOTECH_PRE_REVENUE_REGULATORY,REDTEAM_FIRST,online_pharmacy,illegal_distribution|liability_claim,needs_price_backfill,false,Illegal pharmacy exposure is not scalable recurring revenue.
legal_telehealth_prescription_channel_candidate,PHARMA_PLATFORM_REGULATORY_RISK,TELEHEALTH_LEGAL,Legal telehealth prescription channel candidate,US,success_candidate,BIOTECH_PRE_REVENUE_REGULATORY,REDTEAM_FIRST,telehealth_prescription|legal_distribution_channel,advertising_rule|liability,needs_price_backfill,false,Legal channel plus quality control can become a monitored commercialization path.
pharma_advertising_regulation_4c,PHARMA_PLATFORM_REGULATORY_RISK,PHARMA_AD_4C,Pharma advertising regulation 4C,GLOBAL,4c_thesis_break,BIOTECH_PRE_REVENUE_REGULATORY,REDTEAM_FIRST,pharma_marketing,advertising_halt|advertising_rule,needs_price_backfill,false,Advertising or promotion restriction can break a channel-growth thesis.
