target_id,stage1,stage2,stage3,stage4b,stage4c,production_scoring_changed
GOVERNMENT_STOCKPILE_REVENUE_GUIDANCE,stockpile_need|public_health_emergency|government_procurement_option|security_or_health_inventory,government_order|stockpile_contract|contract_value|guidance_raised_flag|ebitda_margin_guidance_change,repeat_procurement|non_event_revenue|fcf_conversion|budget_visibility,single_stockpile_contract_extrapolated|outbreak_stockpile_theme_crowded,contract_ends|funding_withdrawal|outbreak_normalization|government_purchase_end|inventory_build,false
PUBLIC_HEALTH_PROCUREMENT_REVERSAL,barda_or_cepi_funding|public_health_procurement|stockpile_program|vaccine_development_contract,contract_value|funding_amount|trial_stage|procurement_schedule,repeat_procurement|commercialization|fcf_conversion,disease_procurement_expectation_priced|policy_funding_assumed_permanent,government_contract_cancelled|funding_withdrawal|late_stage_trial_funding_gap|clinical_development_delay|procurement_policy_reversal,false
DIAGNOSTICS_INFECTIOUS_EVENT,diagnostic_test_demand|pandemic_or_outbreak_testing|test_kit_order,diagnostic_revenue_after_event|recurring_non_event_demand|margin_normalization,durable_testing_market|non_event_revenue_base|fcf_conversion,test_kit_rally_after_case_counts|diagnostic_margin_extrapolated,testing_demand_wane|diagnostic_sales_decline|guide_down|inventory_writeoff,false
SPECULATIVE_SCIENCE_THEME,preprint|lab_claim|sns_video|paper_keyword,independent_replication|peer_review_validation|customer_testing|commercial_product|contract_or_revenue,commercial_revenue|repeat_customer|eps_fcf_conversion,preprint_sns_rally|retail_theme_crowding|paper_to_price_gap,replication_failure|impurity_explanation|peer_review_failure|trading_warning,false
ADVANCED_MATERIAL_SPECULATIVE_THEME,mxene_or_graphene_claim|quantum_material_news|advanced_material_theme,technical_validation|pilot_customer|supply_contract|revenue_conversion,repeat_order|commercial_scale|margin_visibility,advanced_material_theme_crowding|paper_to_price_gap,validation_failure|no_customer|no_revenue|dilution_or_funding_need,false
POLICY_LOCAL_THEME,local_policy_headline|administrative_capital_theme|regional_development_policy,budget_approved|contract_awarded|construction_started|revenue_visibility,repeat_project_revenue|margin_visibility|fcf_conversion,local_policy_theme_rally|election_policy_crowding,policy_reversal|budget_cut|project_delay|no_company_exposure,false
TOURISM_POLICY_EVENT,visa_policy_event|tourism_reopen|group_tour_policy|casino_dutyfree_hotel_basket,tourist_arrivals_after_policy|average_spend_after_policy|casino_drop_after_policy|duty_free_sales_after_policy|hotel_revpar_after_policy,opm_improvement|fcf_conversion|repeat_tourism_demand|policy_period_sustained_spend,tourism_policy_theme_rally|visa_policy_event_priced_before_spend,tourist_mix_weak|average_spend_disappoints|policy_ends|duty_free_sales_disappoint|casino_drop_disappoint,false
INDUSTRIAL_POLICY_TARIFF_EVENT,tariff_policy|subsidy_policy|import_restriction|industrial_policy_headline,actual_bill_or_rule|budget_allocated|company_contract|company_level_eps_impact,durable_policy_support|margin_visibility|revenue_recognition|fcf_conversion,tariff_or_subsidy_theme_crowded|policy_winner_priced_before_rule,tariff_reversal|subsidy_cut|retaliation|input_cost_increase|policy_delay,false
ONE_OFF_EVENT_DEMAND,temporary_shortage|event_demand_spike|emergency_purchase,short_term_order|reported_revenue_spike|margin_visible,recurrence_proven|post_event_revenue_base|fcf_conversion,event_demand_extrapolated|peak_margin_crowding,demand_normalization|one_off_purchase_end|asp_or_margin_drop,false
EVENT_TO_CONTRACT_ESCALATION,event_headline|disease_or_policy_or_rebuild_trigger|theme_price_move,actual_contract|government_order|project_financing|budget_allocated|construction_started,recurring_revenue|margin_visibility|eps_fcf_conversion|repeat_procurement,event_to_contract_rally|single_contract_extrapolated,contract_ends|no_follow_on_order|budget_delay|demand_normalization,false
POLICY_MARKET_SHOCK_EVENT,tax_policy_comment|citizen_dividend_comment|corporate_tax_uncertainty|market_wide_selloff,actual_bill|budget_plan|tax_rate_or_regulation_draft|company_level_eps_impact,company_eps_fcf_impact|policy_clarity|risk_premium_normalized,crowded_rally_ignores_policy_risk|tax_policy_uncertainty_priced_late,market_wide_policy_shock|valuation_risk_premium_spike|crowded_trade_unwind,false
AI_WINDFALL_CITIZEN_DIVIDEND_POLICY_SHOCK,ai_windfall_comment|citizen_dividend_comment|tax_or_redistribution_comment|market_wide_selloff,actual_bill|tax_rate_or_budget_plan|government_clarification|company_level_eps_impact,policy_clarity|company_eps_fcf_impact|risk_premium_normalized,crowded_ai_rally_ignores_policy_risk|policy_comment_hits_price_path,market_wide_policy_shock|valuation_risk_premium_spike|crowded_trade_unwind|government_clarification_needed,false
THEME_VALUATION_OVERHEAT,price_only_rally|theme_keyword_spike|retail_crowding,real_estimate_or_contract_needed,normally_blocked_without_eps_fcf,valuation_saturation|price_blowoff|crowded_reports,estimate_cut|accounting_or_trust_issue|dilution|theme_unwind,false
DISCLOSURE_CONFIDENCE_CAP,budget_headline|contract_headline|reconstruction_headline|procurement_headline,detail_fetch_required|source_detail_confidence_checked,stage3_cap_until_budget_contract_order_or_construction_detail_verified,headline_priced_before_budget_contract_detail,budget_detail_missing|contract_value_missing|order_detail_missing|construction_start_missing|disclosure_confidence_low,false
