target_id,stage1,stage2,stage3,stage4b,stage4c,loop10_penalty_axes,hard_gate,production_scoring_changed
PHOTONICS_AI_DATACENTER_CHIPS,silicon_photonics|light_based_data_transfer|ai_datacenter_interconnect|photonics_chip_contract,photonics_chip_contract_value|photonics_delivery_year|customer_name|product_use_case,revenue_recognition|opm_conversion|fcf_conversion|customer_diversification,photonics_theme_crowded|contract_priced_before_delivery,delivery_delay|customer_cancellation|yield_issue|margin_miss,customer_concentration|delivery_delay|yield|margin_unverified,false,false
AI_SERVER_ODM_EMS_SUPPLY_CHAIN,ai_server_rack_demand|odm_ems_keyword|server_shipment_growth,ai_server_revenue_mix|rack_shipments|capex_growth|op_eps_revision,ai_server_mix_changes_eps_fcf|margin_stability|customer_diversification|working_capital_control,ai_server_revenue_crowded|inventory_growth|low_margin_ignored,accounting_issue|auditor_resignation|low_margin|inventory_build|customer_concentration,low_margin|consignment|inventory|accounting|customer_concentration,false,false
NEOCLOUD_GPU_RENTAL,large_gpu_cloud_contract|take_or_pay_contract|gpu_rental_revenue,contract_backlog|revenue_growth|ebitda_improvement|customer_contract,fcf_conversion|debt_to_ebitda_stable|customer_diversification|gpu_depreciation_control,ai_cloud_valuation_overheat|gpu_debt_multiple|ipo_premium,refinancing_pressure|gpu_obsolescence|customer_concentration|fcf_negative|delivery_issue,high_debt|gpu_depreciation|fcf_negative|refinancing|customer_concentration,false,false
AI_DATA_CENTER_COOLING,liquid_cooling|direct_to_chip|immersion_cooling|thermal_management,strategic_cooling_customer|cooling_revenue|capacity_constraint|mna_visibility,order_to_revenue_conversion|op_eps_revision|service_revenue|thermal_bottleneck_confirmed,cooling_mna_valuation_crowded|mna_multiple_expansion,ai_capex_delay|mna_overpay|debt_financing|eps_accretion_delay|integration_risk,mna_overpay|debt|ai_capex_delay,false,false
AI_CHIP_FABRIC_INFRA,custom_asic|tapeout|foundry_yield|domestic_ai_chip,customer_validation|mass_production_plan|foundry_progress,revenue_conversion|gross_margin_visible|repeat_customer,ai_chip_theme_crowded|mou_or_ipo_premium,tapeout_delay|yield_failure|no_revenue|customer_loss,customer_validation_missing|yield|no_revenue,false,false
AI_ACCELERATOR_CHIP_PUREPLAY,ai_accelerator_ipo|nvidia_competition_keyword|wafer_scale_engine,named_customer|commercial_revenue|gross_margin_visible,repeat_customer|software_ecosystem|eps_or_fcf_path,pureplay_valuation_overheat|nvidia_competition_ignored,customer_loss|no_revenue|valuation_compression|funding_need,nvidia_competition|valuation_overheat|rd_burn,false,false
DISPLAY_OLED_SUPPLYCHAIN,oled_capex|display_customer_capex|lcd_to_oled_shift,panel_capex_order|material_volume_ramp|margin_visible,multi_customer_oled_ramp|op_eps_revision|cycle_risk_controlled,display_capex_crowded|panel_capex_peak,panel_capex_delay|price_pressure|customer_cut,capex_cycle|price_competition|customer_concentration,false,false
ELECTRONIC_COMPONENTS_MLCC_SENSOR,mlcc_sensor_camera_keyword|smartphone_parts_recovery|content_growth,customer_diversification|content_per_device_growth|margin_improvement,recurring_component_growth|op_eps_revision|inventory_normalization,component_cycle_crowded|smartphone_recovery_fully_priced,inventory_build|customer_cut|asp_pressure|china_supply_chain_pressure,inventory|customer_concentration|china_supply_chain,false,false
REDTEAM_ACCOUNTING_TRUST_OVERLAY,auditor_resignation|filing_delay|internal_control_issue|related_party_transaction,trust_event_detected,not_applicable_gate_only,not_applicable_gate_only,auditor_resignation|filing_delay|internal_control_weakness|doj_sec_investigation|related_party_transaction,auditor_resignation|filing_delay|internal_control_weakness,true,false
AI_CAPEX_CROWDING_OVERLAY,ai_capex_consensus_crowded|price_only_ai_rally|universal_bullish_reports,4b_watch_triggered,not_applicable_overlay,price_multiple_expansion|revision_slowdown|capacity_normalization|hyperscaler_capex_peak,customer_capex_cut|order_pushout|lead_time_normalization|guidance_down,crowding|capex_peak|capacity_normalization|revision_slowdown,false,false
CIRCULAR_AI_FINANCING_OVERLAY,supplier_equity_stake|customer_equity_stake|capacity_guarantee|related_financing_loop,circular_financing_detected|capacity_purchase_guarantee|equity_linked_customer_contract,not_applicable_overlay,valuation_ignores_circularity|contract_visibility_overstated|funding_loop_crowded,capacity_guarantee_break|refinancing_pressure|customer_contract_loss|supplier_support_withdrawal,circular_financing|capacity_guarantee|refinancing|customer_supplier_overlap,true,false
DISCLOSURE_CONFIDENCE_CAP,contract_headline|facility_investment_headline|rights_or_cb_headline|correction_or_cancellation_headline,detail_fetch_required|contract_amount_missing|customer_name_missing|margin_missing,not_applicable_cap_only,list_only_disclosure_over_scored|headline_contract_priced,contract_cancelled|contract_corrected|dilution_detail_bad|audit_or_trading_halt,detail_missing|amount_missing|counterparty_missing|duration_missing|margin_missing,false,false
