case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,validation_group,evidence_fields,red_flag_fields,price_alignment_hint,price_validation_status,production_input,notes
coreweave_high_debt_customer_concentration_counterexample,NEOCLOUD_GPU_RENTAL,CRWV_DEBT,CoreWeave high debt customer concentration counterexample,US,failed_rerating,AI_DATA_CENTER_INFRASTRUCTURE,WATCH_YELLOW_FIRST,high_debt_infra,revenue_growth,debt|customer_concentration|fcf_negative,false_positive_score,needs_price_backfill,false,Debt and customer concentration can offset revenue visibility.
gpu_obsolescence_funding_cost_4c,NEOCLOUD_GPU_RENTAL,GPU_OBS_4C,GPU obsolescence funding cost 4C,GLOBAL,4c_thesis_break,AI_DATA_CENTER_INFRASTRUCTURE,WATCH_YELLOW_FIRST,high_debt_infra,gpu_deployment,gpu_obsolescence|funding_cost_spike|refinancing_stress,thesis_break,needs_price_backfill,false,GPU generation changes and funding cost can break the neocloud model.
nvidia_cowos_l_packaging_bottleneck_candidate,ADVANCED_PACKAGING_COWOS_EMIB,NVDA_COWOS,Nvidia CoWoS-L packaging bottleneck candidate,US,success_candidate,SEMI_EQUIPMENT_CAPEX,GREEN_POSSIBLE,ai_packaging_bottleneck,cowos|hbm_packaging|ai_packaging_bottleneck,bottleneck_normalization|customer_concentration,needs_backfill,needs_price_backfill,false,"CoWoS-L demand shows packaging bottleneck, but supplier exposure must be validated."
applied_materials_packaging_growth_candidate,ADVANCED_PACKAGING_COWOS_EMIB,AMAT_PACK,Applied Materials packaging growth candidate,US,success_candidate,SEMI_EQUIPMENT_CAPEX,GREEN_POSSIBLE,ai_packaging_bottleneck,packaging_revenue_growth|op_eps_revision,capex_cycle|customer_capex_delay,needs_backfill,needs_price_backfill,false,Packaging revenue growth can validate AI packaging bottleneck exposure.
packaging_bottleneck_normalization_4b,ADVANCED_PACKAGING_COWOS_EMIB,PACK_NORM_4B,Packaging bottleneck normalization 4B,GLOBAL,4b_watch,SEMI_EQUIPMENT_CAPEX,GREEN_POSSIBLE,ai_packaging_bottleneck,ai_packaging_bottleneck,bottleneck_normalization|valuation_unwind,unknown,needs_price_backfill,false,Capacity expansion can turn a bottleneck winner into 4B-watch.
customer_capex_delay_packaging_4c,ADVANCED_PACKAGING_COWOS_EMIB,PACK_CAPEX_4C,Customer capex delay packaging 4C,GLOBAL,4c_thesis_break,SEMI_EQUIPMENT_CAPEX,GREEN_POSSIBLE,ai_packaging_bottleneck,customer_capex,customer_capex_delay|order_pushout,thesis_break,needs_price_backfill,false,Customer capex delay can break packaging order conversion.
applied_materials_ai_capex_guidance_candidate,SEMI_EQUIPMENT_AI_CAPEX,AMAT_CAPEX,Applied Materials AI capex guidance candidate,US,success_candidate,SEMI_EQUIPMENT_CAPEX,GREEN_POSSIBLE,ai_capex_equipment,ai_fab_capex|guidance_raise|eps_revision,customer_capex|export_control,needs_backfill,needs_price_backfill,false,AI capex guidance must be validated through order and EPS path.
equipment_order_backlog_success_candidate,SEMI_EQUIPMENT_AI_CAPEX,EQUIP_BACKLOG,Equipment order backlog success candidate,GLOBAL,success_candidate,SEMI_EQUIPMENT_CAPEX,GREEN_POSSIBLE,ai_capex_equipment,equipment_backlog|backlog_to_revenue,order_delay|customer_capex,needs_backfill,needs_price_backfill,false,Backlog-to-revenue conversion is the core equipment success path.
capex_peak_equipment_4c,SEMI_EQUIPMENT_AI_CAPEX,EQUIP_PEAK_4C,Capex peak equipment 4C,GLOBAL,4c_thesis_break,SEMI_EQUIPMENT_CAPEX,GREEN_POSSIBLE,ai_capex_equipment,advanced_packaging_capex,capex_peak|customer_capex_cut,thesis_break,needs_price_backfill,false,Capex peak can break equipment rerating.
export_control_equipment_counterexample,SEMI_EQUIPMENT_AI_CAPEX,EQUIP_EXPORT,Export control equipment counterexample,GLOBAL,failed_rerating,SEMI_EQUIPMENT_CAPEX,GREEN_POSSIBLE,ai_capex_equipment,equipment_order,export_control|order_pushout,false_positive_score,needs_price_backfill,false,Export controls can block order conversion despite demand.
wolfspeed_chapter11_restructuring_4c,POWER_SEMICONDUCTOR_SIC,WOLF_CH11,Wolfspeed Chapter 11 restructuring 4C,US,4c_thesis_break,BATTERY_MATERIALS_CAPEX_OVERHEAT,WATCH_YELLOW_FIRST,cycle_capex_debt,sic_demand,chapter11|capex_debt|cash_burn,thesis_break,needs_price_backfill,false,Chapter 11 is a hard counterexample to narrative-only SiC Green.
wolfspeed_stock_92pct_decline_counterexample,POWER_SEMICONDUCTOR_SIC,WOLF_DD,Wolfspeed stock 92pct decline counterexample,US,failed_rerating,BATTERY_MATERIALS_CAPEX_OVERHEAT,WATCH_YELLOW_FIRST,cycle_capex_debt,wide_bandgap,demand_warning|capex_debt,false_positive_score,needs_price_backfill,false,"Long-term SiC narrative failed when demand, debt, and capex did not align."
sic_low_utilization_counterexample,POWER_SEMICONDUCTOR_SIC,SIC_UTIL,SiC low utilization counterexample,GLOBAL,failed_rerating,BATTERY_MATERIALS_CAPEX_OVERHEAT,WATCH_YELLOW_FIRST,cycle_capex_debt,fab_ramp,utilization_drop|cash_burn,false_positive_score,needs_price_backfill,false,Fab ramp without utilization and FCF should be capped.
sic_long_term_contract_success_candidate_if_fcf,POWER_SEMICONDUCTOR_SIC,SIC_CONTRACT,SiC long-term contract success candidate if FCF,GLOBAL,success_candidate,BATTERY_MATERIALS_CAPEX_OVERHEAT,WATCH_YELLOW_FIRST,cycle_capex_debt,long_term_supply_contract|fcf_improvement,ev_demand|pricing,needs_backfill,needs_price_backfill,false,SiC can improve only if long-term contract evidence converts into FCF.
broadcom_optical_pcb_leadtime_bottleneck_candidate,OPTICAL_NETWORKING_AI_DATACENTER,AVGO_OPTICAL,Broadcom optical PCB leadtime bottleneck candidate,US,success_candidate,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,ai_network_bottleneck,laser_leadtime|pcb_leadtime|ai_datacenter_network,capacity_normalization|hyperscaler_concentration,needs_backfill,needs_price_backfill,false,Optical/PCB lead time can be a real AI data-center bottleneck.
optical_networking_capacity_normalization_4b,OPTICAL_NETWORKING_AI_DATACENTER,OPTICAL_NORM_4B,Optical networking capacity normalization 4B,GLOBAL,4b_watch,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,ai_network_bottleneck,lead_time_extended,capacity_normalization|valuation_crowding,unknown,needs_price_backfill,false,Lead-time normalization is a 4B-watch signal.
optical_hyperscaler_customer_concentration_counterexample,OPTICAL_NETWORKING_AI_DATACENTER,OPTICAL_CONC,Optical hyperscaler customer concentration counterexample,GLOBAL,failed_rerating,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,ai_network_bottleneck,hyperscaler_contract,hyperscaler_concentration|customer_loss,false_positive_score,needs_price_backfill,false,Hyperscaler concentration can offset bottleneck quality.
optical_theme_no_order_counterexample,OPTICAL_NETWORKING_AI_DATACENTER,OPTICAL_THEME,Optical theme no order counterexample,GLOBAL,failed_rerating,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,ai_network_bottleneck,optical_transceiver,unclear_ai_dc_exposure|theme_only,price_moved_without_evidence,needs_price_backfill,false,Optical theme without order evidence is not score evidence.
