target_id,priority,canonical_archetype,query,purpose,guardrail
DIGITAL_ASSET_TOKENIZATION,REDTEAM_DEFENSE,THEME_VALUATION_OVERHEAT,토큰증권 실제 매출 라이선스 PDF,case_success_counterexample_deep_search,do_not_use_theme_or_case_label_as_score_evidence
ROBOTICS_REVENUE_CONVERSION,REDTEAM_DEFENSE,ROBOTICS_FACTORY_AUTOMATION,로봇 수주 매출 전환 OPM 리포트,case_success_counterexample_deep_search,do_not_use_theme_or_case_label_as_score_evidence
ROBOTICS_REVENUE_CONVERSION,REDTEAM_DEFENSE,ROBOTICS_FACTORY_AUTOMATION,휴머노이드 로봇 TAM 무실적 테마 반례,case_success_counterexample_deep_search,do_not_use_theme_or_case_label_as_score_evidence
PLATFORM_GOVERNANCE_MONETIZATION,REDTEAM_DEFENSE,PLATFORM_SOFTWARE_INTERNET,플랫폼 ARPU OPM FCF 거버넌스 리스크 리포트,case_success_counterexample_deep_search,do_not_use_theme_or_case_label_as_score_evidence
PLATFORM_GOVERNANCE_MONETIZATION,REDTEAM_DEFENSE,PLATFORM_SOFTWARE_INTERNET,카카오 거버넌스 리스크 valuation rerating 반례,case_success_counterexample_deep_search,do_not_use_theme_or_case_label_as_score_evidence
WASTE_RECYCLING_ENVIRONMENT,THIN_BACKFILL,UTILITIES_REGULATED_TARIFF,폐기물 재활용 처리량 가동률 FCF 리포트,case_success_counterexample_deep_search,do_not_use_theme_or_case_label_as_score_evidence
WASTE_RECYCLING_ENVIRONMENT,THIN_BACKFILL,UTILITIES_REGULATED_TARIFF,폐배터리 재활용 volume utilization margin PDF,case_success_counterexample_deep_search,do_not_use_theme_or_case_label_as_score_evidence
CRO_CLINICAL_SERVICE,THIN_BACKFILL,CDMO_HEALTHCARE_CONTRACT,CRO 임상서비스 계약 물량 가동률 리포트,case_success_counterexample_deep_search,do_not_use_theme_or_case_label_as_score_evidence
CRO_CLINICAL_SERVICE,THIN_BACKFILL,CDMO_HEALTHCARE_CONTRACT,임상시험 수탁 서비스 OPM FCF PDF,case_success_counterexample_deep_search,do_not_use_theme_or_case_label_as_score_evidence
DIGITAL_HEALTHCARE_AI,THIN_BACKFILL,MEDICAL_DEVICE_HEALTHCARE_EXPORT,디지털 헬스케어 AI 허가 수가 병원 도입 리포트,case_success_counterexample_deep_search,do_not_use_theme_or_case_label_as_score_evidence
DIGITAL_HEALTHCARE_AI,THIN_BACKFILL,MEDICAL_DEVICE_HEALTHCARE_EXPORT,의료 AI 반복매출 OPM PDF,case_success_counterexample_deep_search,do_not_use_theme_or_case_label_as_score_evidence
SECURITY_IDENTITY_DEEPFAKE,THIN_BACKFILL,PLATFORM_SOFTWARE_INTERNET,딥페이크 보안 반복계약 규제수요 리포트,case_success_counterexample_deep_search,do_not_use_theme_or_case_label_as_score_evidence
SECURITY_IDENTITY_DEEPFAKE,THIN_BACKFILL,PLATFORM_SOFTWARE_INTERNET,IT보안 매출 성장 OPM recurring contract PDF,case_success_counterexample_deep_search,do_not_use_theme_or_case_label_as_score_evidence
CLOUD_AI_SOFTWARE_INFRA,THIN_BACKFILL,PLATFORM_SOFTWARE_INTERNET,클라우드 AI SaaS recurring revenue ARPU OPM 리포트,case_success_counterexample_deep_search,do_not_use_theme_or_case_label_as_score_evidence
CLOUD_AI_SOFTWARE_INFRA,THIN_BACKFILL,PLATFORM_SOFTWARE_INTERNET,AI 소프트웨어 유료 사용량 FCF PDF,case_success_counterexample_deep_search,do_not_use_theme_or_case_label_as_score_evidence
APPAREL_BRAND_OEM,THIN_BACKFILL,EXPORT_RECURRING_CONSUMER,의류 OEM 주문 재고 OPM 리포트,case_success_counterexample_deep_search,do_not_use_theme_or_case_label_as_score_evidence
APPAREL_BRAND_OEM,THIN_BACKFILL,EXPORT_RECURRING_CONSUMER,의류 브랜드 수출 반복주문 inventory PDF,case_success_counterexample_deep_search,do_not_use_theme_or_case_label_as_score_evidence
BUILDING_MATERIALS_CYCLE,THIN_BACKFILL,CONSTRUCTION_REAL_ESTATE_CREDIT,건자재 가격전가 원가 스프레드 리포트,case_success_counterexample_deep_search,do_not_use_theme_or_case_label_as_score_evidence
BUILDING_MATERIALS_CYCLE,THIN_BACKFILL,CONSTRUCTION_REAL_ESTATE_CREDIT,시멘트 건자재 물량 현금흐름 PDF,case_success_counterexample_deep_search,do_not_use_theme_or_case_label_as_score_evidence
REIT_DEVELOPMENT_TRUST,THIN_BACKFILL,HOLDING_RESTRUCTURING_GOVERNANCE,리츠 임대율 차입 리파이낸싱 NAV 리포트,case_success_counterexample_deep_search,do_not_use_theme_or_case_label_as_score_evidence
REIT_DEVELOPMENT_TRUST,THIN_BACKFILL,HOLDING_RESTRUCTURING_GOVERNANCE,부동산신탁 credit risk 배당 PDF,case_success_counterexample_deep_search,do_not_use_theme_or_case_label_as_score_evidence
RAIL_INFRASTRUCTURE,THIN_BACKFILL,CONTRACT_BACKLOG_INDUSTRIAL,철도 인프라 수주 funded project margin 리포트,case_success_counterexample_deep_search,do_not_use_theme_or_case_label_as_score_evidence
RAIL_INFRASTRUCTURE,THIN_BACKFILL,CONTRACT_BACKLOG_INDUSTRIAL,철도 차량 신호 시스템 장기계약 PDF,case_success_counterexample_deep_search,do_not_use_theme_or_case_label_as_score_evidence
SERVICE_KIOSK_AUTOMATION,THIN_BACKFILL,ROBOTICS_FACTORY_AUTOMATION,키오스크 자동화 반복 서비스 매출 OPM 리포트,case_success_counterexample_deep_search,do_not_use_theme_or_case_label_as_score_evidence
SERVICE_KIOSK_AUTOMATION,THIN_BACKFILL,ROBOTICS_FACTORY_AUTOMATION,서비스 자동화 유지보수 매출 PDF,case_success_counterexample_deep_search,do_not_use_theme_or_case_label_as_score_evidence
URBAN_AIR_DRONE,THIN_BACKFILL,DEFENSE_GOVERNMENT_BACKLOG,드론 방산 수주 매출 전환 리포트,case_success_counterexample_deep_search,do_not_use_theme_or_case_label_as_score_evidence
URBAN_AIR_DRONE,THIN_BACKFILL,DEFENSE_GOVERNMENT_BACKLOG,UAM 규제 승인 상업 수주 PDF,case_success_counterexample_deep_search,do_not_use_theme_or_case_label_as_score_evidence
POLICY_EVENT_DISASTER_THEMES,EVENT_POLICY_GUARDRAIL,ONE_OFF_EVENT_DEMAND,정책 이벤트 테마 매출화 실패 반례,case_success_counterexample_deep_search,do_not_use_theme_or_case_label_as_score_evidence
POLICY_EVENT_DISASTER_THEMES,EVENT_POLICY_GUARDRAIL,ONE_OFF_EVENT_DEMAND,전염병 진단 일회성 수요 EPS 정상화 사례,case_success_counterexample_deep_search,do_not_use_theme_or_case_label_as_score_evidence
